,what,is,a,new,trend,in,teaching,?
co-teaching,0.3287157118320465,0.22932370007038116,0.2910955548286438,0.2783741354942322,0.2743707299232483,0.3246855139732361,0.9256465435028076,0.2545979619026184
has,0.20338068902492523,0.5668748617172241,0.4670248031616211,0.20920851826667786,0.25676625967025757,0.4173259735107422,0.17087559401988983,0.15994466841220856
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.30404865741729736,0.21974898874759674,0.5073733329772949,0.25489214062690735,0.21848613023757935
become,0.27134042978286743,0.2983444035053253,0.3215816617012024,0.26596391201019287,0.2500738501548767,0.23238378763198853,0.18018567562103271,0.19511328637599945
a,0.3320399522781372,0.658733606338501,1.0,0.3214259147644043,0.2678647041320801,0.539380669593811,0.21643459796905518,0.23916715383529663
new,0.2130378633737564,0.2208656519651413,0.3214259147644043,0.9999999403953552,0.23116867244243622,0.3758552670478821,0.2190188467502594,0.14782847464084625
trend,0.22732172906398773,0.19070231914520264,0.2678647041320801,0.23116867244243622,1.0,0.19545964896678925,0.18198353052139282,0.10325077921152115
amongst,0.20627230405807495,0.21106897294521332,0.129265695810318,0.1412409096956253,0.15418139100074768,0.30727991461753845,0.27790752053260803,0.16806721687316895
educational,0.2158561795949936,0.22074756026268005,0.25668084621429443,0.23322561383247375,0.19927531480789185,0.29241177439689636,0.5160700082778931,0.20904642343521118
institutions,0.22018329799175262,0.14988303184509277,0.20288343727588654,0.23552779853343964,0.22270938754081726,0.2592448890209198,0.39473846554756165,0.19119486212730408
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.35031336545944214,0.23819147050380707,0.5591574311256409,0.26479530334472656,0.4130953550338745
