,on,what,scale,would,scientists,show,measurements,of,vegetation,?
the,0.5107308030128479,0.42745697498321533,0.1833842247724533,0.4133751392364502,0.25988271832466125,0.319829523563385,0.2816277742385864,0.733189046382904,0.27478766441345215,0.22068053483963013
measurement,0.19465982913970947,0.29204270243644714,0.3981412947177887,0.24411393702030182,0.41223350167274475,0.19746416807174683,0.9331248998641968,0.26198503375053406,0.19815148413181305,0.18654219806194305
is,0.3635730445384979,0.28837618231773376,0.18123696744441986,0.33626067638397217,0.24610774219036102,0.2144283652305603,0.24401028454303741,0.4854315221309662,0.2515494227409363,0.22961433231830597
technically,0.20595653355121613,0.32626014947891235,0.179464653134346,0.34451788663864136,0.12996383011341095,0.11151514947414398,0.2246333509683609,0.26906076073646545,0.20093375444412231,0.2409483939409256
difficult,0.22092533111572266,0.37928828597068787,0.22726841270923615,0.3915402293205261,0.28725868463516235,0.1831783652305603,0.3046501576900482,0.2539307773113251,0.2195076048374176,0.20408590137958527
owing,0.2213292419910431,0.289824515581131,0.22828684747219086,0.3138836622238159,0.15989869832992554,0.21095915138721466,0.2487591803073883,0.3555062711238861,0.3005957007408142,0.1274413764476776
to,0.41031414270401,0.455847829580307,0.18474817276000977,0.5965728163719177,0.27814680337905884,0.29833272099494934,0.2815989851951599,0.41548454761505127,0.2658894658088684,0.29463258385658264
the,0.5107308030128479,0.42745697498321533,0.1833842247724533,0.4133751392364502,0.25988271832466125,0.319829523563385,0.2816277742385864,0.733189046382904,0.27478766441345215,0.22068053483963013
low,0.23674005270004272,0.20743566751480103,0.25224071741104126,0.21881912648677826,0.17713402211666107,0.13327540457248688,0.2625381648540497,0.27171993255615234,0.30434876680374146,0.10658930987119675
signal-to-noise,0.25175967812538147,0.31054818630218506,0.19737106561660767,0.2586890161037445,0.22970691323280334,0.19634222984313965,0.3420041799545288,0.2726135849952698,0.24860887229442596,0.2468058168888092
ratio,0.20167215168476105,0.19170942902565002,0.28623005747795105,0.20375816524028778,0.1567358523607254,0.20088975131511688,0.4153444468975067,0.23306086659431458,0.18592388927936554,0.13298895955085754
and,0.4077630043029785,0.31309178471565247,0.23044463992118835,0.34921059012413025,0.20514336228370667,0.3455478549003601,0.2663172781467438,0.5116966962814331,0.30153927206993103,0.20544172823429108
the,0.5107308030128479,0.42745697498321533,0.1833842247724533,0.4133751392364502,0.25988271832466125,0.319829523563385,0.2816277742385864,0.733189046382904,0.27478766441345215,0.22068053483963013
physical,0.19125182926654816,0.27895045280456543,0.24439534544944763,0.19919970631599426,0.23998039960861206,0.17763367295265198,0.3617483377456665,0.3124530017375946,0.19683456420898438,0.11781801283359528
structure,0.21283137798309326,0.27351704239845276,0.2705414891242981,0.21445108950138092,0.2694786489009857,0.1315920203924179,0.3809410333633423,0.2599511742591858,0.2722981572151184,0.1770772784948349
of,0.3966929316520691,0.33290785551071167,0.19989530742168427,0.3353942930698395,0.20474955439567566,0.21383242309093475,0.2575634717941284,1.0,0.2547335922718048,0.1826142966747284
vegetation,0.2765808701515198,0.2184489667415619,0.22385011613368988,0.22948171198368073,0.19044649600982666,0.1307787150144577,0.2004593312740326,0.2547335922718048,1.0000001192092896,0.10736152529716492
;,-0.017878999933600426,0.10986888408660889,0.056870218366384506,0.06441773474216461,0.11591900885105133,0.04267780855298042,0.06719647347927094,0.054534342139959335,0.0965525284409523,0.10349778085947037
but,0.3584071099758148,0.5029441118240356,0.1825980693101883,0.5366146564483643,0.2651747465133667,0.2724117040634155,0.26751768589019775,0.39942997694015503,0.3396512269973755,0.27921953797340393
it,0.4529881477355957,0.45803478360176086,0.16769419610500336,0.36398744583129883,0.27276167273521423,0.2669452726840973,0.27056387066841125,0.38761502504348755,0.26897484064102173,0.25732165575027466
has,0.34604379534721375,0.20338068902492523,0.0681828111410141,0.3014826476573944,0.2104426771402359,0.2685723900794983,0.22828327119350433,0.3909035325050354,0.1763431578874588,0.15994466841220856
been,0.29937630891799927,0.2567804455757141,0.14899204671382904,0.3617405891418457,0.262005090713501,0.23647178709506989,0.20906402170658112,0.31685134768486023,0.1956852227449417,0.24354910850524902
proposed,0.2377385050058365,0.22754324972629547,0.18992988765239716,0.38949111104011536,0.24247178435325623,0.10075004398822784,0.20271889865398407,0.26188141107559204,0.1749117225408554,0.24553193151950836
as,0.36047765612602234,0.31749409437179565,0.19821296632289886,0.3824005722999573,0.15537254512310028,0.30768129229545593,0.2349712997674942,0.3886612355709076,0.21736261248588562,0.27043893933296204
a,0.3848365545272827,0.3320399522781372,0.2199064940214157,0.398599237203598,0.21906225383281708,0.24886544048786163,0.25912022590637207,0.5052502155303955,0.2304568737745285,0.23916715383529663
possible,0.2587844133377075,0.3281886577606201,0.24506011605262756,0.4802806079387665,0.25657087564468384,0.21867963671684265,0.34448161721229553,0.3314395844936371,0.24456045031547546,0.3059970438480377
method,0.17949727177619934,0.25476205348968506,0.2587432265281677,0.19136357307434082,0.29339224100112915,0.1536352038383484,0.3600015938282013,0.22896558046340942,0.2478683888912201,0.2194802314043045
of,0.3966929316520691,0.33290785551071167,0.19989530742168427,0.3353942930698395,0.20474955439567566,0.21383242309093475,0.2575634717941284,1.0,0.2547335922718048,0.1826142966747284
