,the,all-channel,receiver,act,mandated,the,support,of,what,kind,of,tuning,?
until,0.37191009521484375,0.18576250970363617,0.07553707808256149,0.15846122801303864,0.29758891463279724,0.37191009521484375,0.19316132366657257,0.2787701487541199,0.2693650424480438,0.08819688856601715,0.2787701487541199,0.1079837903380394,0.20304496586322784
the,1.0,0.2870676815509796,0.21850530803203583,0.28682878613471985,0.3191532492637634,1.0,0.22984638810157776,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.18692044913768768,0.22068053483963013
all-channel,0.2870676815509796,1.0000001192092896,0.29480278491973877,0.2120153158903122,0.25504976511001587,0.2870676815509796,0.1513562649488449,0.1848633587360382,0.22816726565361023,0.17616257071495056,0.1848633587360382,0.2644278407096863,0.23276181519031525
receiver,0.21850530803203583,0.29480278491973877,1.0000001192092896,0.08841504156589508,0.10067152231931686,0.21850530803203583,0.1586272418498993,0.13342490792274475,0.17021551728248596,0.12434694170951843,0.13342490792274475,0.27546456456184387,0.11587938666343689
act,0.28682878613471985,0.2120153158903122,0.08841504156589508,1.0,0.25433382391929626,0.28682878613471985,0.22037717700004578,0.2802577316761017,0.2622668445110321,0.199745774269104,0.2802577316761017,0.14991700649261475,0.1482519507408142
(,0.33289089798927307,0.20242099463939667,0.27558115124702454,0.1613895297050476,0.20632529258728027,0.33289089798927307,0.23303374648094177,0.35032153129577637,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.17667879164218903,0.40561532974243164
passed,0.3173406720161438,0.12803997099399567,0.18991504609584808,0.4205443859100342,0.24074463546276093,0.3173406720161438,0.21987107396125793,0.2703755795955658,0.22233739495277405,0.103326715528965,0.2703755795955658,0.15122738480567932,0.12064517289400101
by,0.4408751428127289,0.22639678418636322,0.15964515507221222,0.19227443635463715,0.19864727556705475,0.4408751428127289,0.16184203326702118,0.3646814823150635,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.1273125857114792,0.17966607213020325
congress,0.27082565426826477,0.13683860003948212,0.17620904743671417,0.3640654981136322,0.31232011318206787,0.27082565426826477,0.23202289640903473,0.2447044849395752,0.16679982841014862,0.06711462885141373,0.2447044849395752,0.08826395124197006,0.2020287960767746
in,0.6662389636039734,0.22815707325935364,0.16248875856399536,0.22050046920776367,0.2376839816570282,0.6662389636039734,0.17618270218372345,0.5696388483047485,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.13109512627124786,0.20430970191955566
1961,0.0738944262266159,0.040323562920093536,0.03581931069493294,0.06895255297422409,-0.005670804064720869,0.0738944262266159,0.01935182698071003,0.07470385730266571,-0.03442762792110443,-0.0024022681172937155,0.07470385730266571,-0.07379898428916931,0.009729373268783092
),0.3456730246543884,0.24165931344032288,0.26491695642471313,0.15869061648845673,0.20715467631816864,0.3456730246543884,0.2624157965183258,0.3680361211299896,0.26259949803352356,0.17504733800888062,0.3680361211299896,0.19732458889484406,0.42300865054130554
mandated,0.3191532492637634,0.25504976511001587,0.10067152231931686,0.25433382391929626,1.0000001192092896,0.3191532492637634,0.26185548305511475,0.2336343377828598,0.25988516211509705,0.07229159772396088,0.2336343377828598,0.1743077039718628,0.2235630303621292
the,1.0,0.2870676815509796,0.21850530803203583,0.28682878613471985,0.3191532492637634,1.0,0.22984638810157776,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.18692044913768768,0.22068053483963013
inclusion,0.28706976771354675,0.19569024443626404,0.15105879306793213,0.20818966627120972,0.3127824664115906,0.28706976771354675,0.4013913571834564,0.3120681345462799,0.37293192744255066,0.1623304933309555,0.3120681345462799,0.19131247699260712,0.34393295645713806
of,0.733189046382904,0.1848633587360382,0.13342490792274475,0.2802577316761017,0.2336343377828598,0.733189046382904,0.2307697981595993,1.0,0.33290785551071167,0.2285657674074173,1.0,0.1618167608976364,0.1826142966747284
uhf,0.22236087918281555,0.49640968441963196,0.3753056526184082,0.16335374116897583,0.1190095767378807,0.22236087918281555,0.2177465260028839,0.13080306351184845,0.2442881017923355,0.2075634002685547,0.13080306351184845,0.24266564846038818,0.18061190843582153
tuning,0.18692044913768768,0.2644278407096863,0.27546456456184387,0.14991700649261475,0.1743077039718628,0.18692044913768768,0.18304872512817383,0.1618167608976364,0.28757166862487793,0.2506226897239685,0.1618167608976364,0.9999999403953552,0.20187924802303314
",",0.4933079481124878,0.22978174686431885,0.25716352462768555,0.1787904053926468,0.2704651653766632,0.4933079481124878,0.2733234167098999,0.4946078956127167,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.24087262153625488,0.31091248989105225
most,0.47635307908058167,0.17088623344898224,0.19807840883731842,0.151287242770195,0.14932483434677124,0.47635307908058167,0.2125915139913559,0.4178851246833801,0.3219912350177765,0.3164631724357605,0.4178851246833801,0.20381173491477966,0.2107497900724411
viewers,0.24207380414009094,0.36625686287879944,0.27518969774246216,0.1724453866481781,0.1705114096403122,0.24207380414009094,0.1634765863418579,0.1391541063785553,0.29856956005096436,0.08980239182710648,0.1391541063785553,0.1548875868320465,0.2274174839258194
needed,0.3064746856689453,0.1856430619955063,0.19034947454929352,0.19031214714050293,0.27524814009666443,0.3064746856689453,0.4515909254550934,0.27215874195098877,0.3631289601325989,0.3115479350090027,0.27215874195098877,0.23765699565410614,0.2863257825374603
