,when,was,the,ming,dynasty,in,power,?
he,0.39115971326828003,0.5410010814666748,0.4571082592010498,0.21046634018421173,0.20496657490730286,0.41690486669540405,0.20515447854995728,0.2089974731206894
fled,0.2553989887237549,0.30835461616516113,0.27857163548469543,0.2841472625732422,0.2626008987426758,0.28289681673049927,0.2537442743778229,0.13968057930469513
north,0.21003669500350952,0.29020047187805176,0.36298373341560364,0.1797545701265335,0.18835356831550598,0.39050599932670593,0.16308823227882385,0.11829731613397598
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.18901729583740234,0.1214921623468399,0.45010748505592346,0.27001675963401794,0.29463258385658264
shangdu,0.24371665716171265,0.28156501054763794,0.34795916080474854,0.5021284222602844,0.4202859699726105,0.33149299025535583,0.18648551404476166,0.1533007174730301
from,0.405669629573822,0.31171464920043945,0.40150508284568787,0.12136124819517136,0.17493854463100433,0.4274188280105591,0.21385204792022705,0.19969791173934937
khanbaliq,0.14380545914173126,0.21765540540218353,0.20302322506904602,0.3924890458583832,0.4394320249557495,0.17308667302131653,0.24746212363243103,0.20082160830497742
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.15025265514850616,0.15119072794914246,0.3087427020072937,0.18972817063331604,0.40561532974243164
present-day,0.24245044589042664,0.2928279638290405,0.36770060658454895,0.18963590264320374,0.26454809308052063,0.3419967591762543,0.11422073841094971,0.24972984194755554
beijing,0.18897603452205658,0.2369360625743866,0.2713945806026459,0.4742595851421356,0.3558209538459778,0.2894909381866455,0.09040506929159164,0.16358482837677002
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.16566495597362518,0.17090870440006256,0.3326910734176636,0.20355020463466644,0.42300865054130554
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.1995493769645691,0.15246383845806122,1.0,0.16666220128536224,0.20430970191955566
1368,0.17528362572193146,0.0071029216051101685,0.04799409210681915,0.19455739855766296,0.16210947930812836,0.04013853892683983,0.08418769389390945,0.1273658275604248
after,0.5331412553787231,0.49306565523147583,0.4565047025680542,0.26166394352912903,0.19166739284992218,0.44050168991088867,0.22973893582820892,0.16608688235282898
the,0.5091903209686279,0.48711544275283813,1.0,0.26838383078575134,0.26267939805984497,0.6662389636039734,0.2647338807582855,0.22068053483963013
approach,0.16516521573066711,0.16375517845153809,0.1999826431274414,0.10981229692697525,0.07962093502283096,0.17494414746761322,0.09959408640861511,0.181949645280838
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.24246343970298767,0.285645067691803,0.5696388483047485,0.25273123383522034,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.26838383078575134,0.26267939805984497,0.6662389636039734,0.2647338807582855,0.22068053483963013
forces,0.2460811883211136,0.22620010375976562,0.3134811818599701,0.27875539660453796,0.26261192560195923,0.2565164566040039,0.28719639778137207,0.16984491050243378
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.24246343970298767,0.285645067691803,0.5696388483047485,0.25273123383522034,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.26838383078575134,0.26267939805984497,0.6662389636039734,0.2647338807582855,0.22068053483963013
míng,0.2801665961742401,0.27850496768951416,0.2903843820095062,0.5411409139633179,0.39167147874832153,0.31024840474128723,0.20813554525375366,0.3132564425468445
dynasty,0.16945278644561768,0.24324211478233337,0.26267939805984497,0.5487013459205627,1.0,0.15246383845806122,0.19966445863246918,0.15884074568748474
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.15025265514850616,0.15119072794914246,0.3087427020072937,0.18972817063331604,0.40561532974243164
1368–1644,-0.06293436139822006,-0.15993955731391907,-0.11277364939451218,-0.043804287910461426,-0.1537802815437317,0.017709318548440933,-0.14394932985305786,-0.20335617661476135
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.16566495597362518,0.17090870440006256,0.3326910734176636,0.20355020463466644,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21641366183757782,0.1976536363363266,0.5201468467712402,0.2231994867324829,0.31091248989105225
founded,0.16657374799251556,0.36917948722839355,0.2840350568294525,0.1988745629787445,0.2449459433555603,0.24877111613750458,0.12405458837747574,0.09119737893342972
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.22125616669654846,0.198152095079422,0.370934396982193,0.21582826972007751,0.17966607213020325
zhu,0.15504854917526245,0.13751497864723206,0.18920078873634338,0.5742473602294922,0.4193112552165985,0.13218623399734497,0.1173974946141243,0.1967044323682785
yuanzhang,0.22261449694633484,0.2804602086544037,0.32153812050819397,0.646867036819458,0.5782411098480225,0.2414039522409439,0.22216926515102386,0.21080102026462555
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.1995493769645691,0.15246383845806122,1.0,0.16666220128536224,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.26838383078575134,0.26267939805984497,0.6662389636039734,0.2647338807582855,0.22068053483963013
south,0.18115942180156708,0.2792486846446991,0.3129390776157379,0.2237531989812851,0.25719618797302246,0.33642083406448364,0.16445565223693848,0.12336621433496475
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.19900411367416382,0.20616187155246735,0.5591574311256409,0.2141435295343399,0.4130953550338745
