,what,is,left,of,the,dinophysis,chloroplasts,?
however,0.4480680823326111,0.33769986033439636,0.25140586495399475,0.3800618350505829,0.49814513325691223,0.31244370341300964,0.28503310680389404,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.2448868453502655,0.4946078956127167,0.4933079481124878,0.3152828812599182,0.20794041454792023,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.33113980293273926,0.733189046382904,1.0,0.2750833332538605,0.23062430322170258,0.22068053483963013
cryptophyte,0.23500515520572662,0.28574585914611816,0.17495420575141907,0.2433902770280838,0.215342178940773,0.5876845717430115,0.5807510614395142,0.18001990020275116
is,0.28837618231773376,1.0,0.15889094769954681,0.4854315221309662,0.5823672413825989,0.22289857268333435,0.22550933063030243,0.22961433231830597
not,0.5449194312095642,0.3776007890701294,0.259565144777298,0.3307090103626251,0.4310511648654938,0.25250664353370667,0.3099190890789032,0.41942933201789856
an,0.2821882665157318,0.4654068350791931,0.16185352206230164,0.32280945777893066,0.4207492768764496,0.2269008755683899,0.15571507811546326,0.19793890416622162
endosymbiont—only,0.28814566135406494,0.3280586302280426,0.13288722932338715,0.30086347460746765,0.32346367835998535,0.5883191823959351,0.7358990907669067,0.253040611743927
the,0.42745697498321533,0.5823672413825989,0.33113980293273926,0.733189046382904,1.0,0.2750833332538605,0.23062430322170258,0.22068053483963013
chloroplast,0.23505516350269318,0.20798198878765106,0.1606103479862213,0.2069506198167801,0.21317854523658752,0.4566666781902313,0.9777651429176331,0.12532055377960205
seems,0.41127294301986694,0.37194547057151794,0.20415115356445312,0.24281619489192963,0.29218462109565735,0.21084357798099518,0.2264959216117859,0.43843233585357666
to,0.455847829580307,0.42745086550712585,0.2724500000476837,0.41548454761505127,0.535392165184021,0.20064643025398254,0.23370109498500824,0.29463258385658264
have,0.39808809757232666,0.3613572418689728,0.18994800746440887,0.3802283704280853,0.40389683842658997,0.31422847509384155,0.29091566801071167,0.32991164922714233
been,0.2567804455757141,0.39566612243652344,0.16426676511764526,0.31685134768486023,0.3563927710056305,0.23804883658885956,0.24714602530002594,0.24354910850524902
taken,0.26014965772628784,0.19185791909694672,0.23534122109413147,0.2889742851257324,0.3309854567050934,0.19927896559238434,0.1520092636346817,0.17662954330444336
",",0.3087472915649414,0.4691906273365021,0.2448868453502655,0.4946078956127167,0.4933079481124878,0.3152828812599182,0.20794041454792023,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.2571277916431427,0.5116966962814331,0.5171257257461548,0.2286616861820221,0.21511349081993103,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,0.33113980293273926,0.733189046382904,1.0,0.2750833332538605,0.23062430322170258,0.22068053483963013
chloroplast,0.23505516350269318,0.20798198878765106,0.1606103479862213,0.2069506198167801,0.21317854523658752,0.4566666781902313,0.9777651429176331,0.12532055377960205
has,0.20338068902492523,0.5668748617172241,0.1626708060503006,0.3909035325050354,0.4177538752555847,0.20084311068058014,0.1872786581516266,0.15994466841220856
been,0.2567804455757141,0.39566612243652344,0.16426676511764526,0.31685134768486023,0.3563927710056305,0.23804883658885956,0.24714602530002594,0.24354910850524902
stripped,0.16210010647773743,0.11828522384166718,0.15637102723121643,0.22195997834205627,0.24013200402259827,0.07356609404087067,0.1286352574825287,0.1636997014284134
of,0.33290785551071167,0.4854315221309662,0.2218635529279709,1.0,0.733189046382904,0.32083624601364136,0.23179760575294495,0.1826142966747284
its,0.30393704771995544,0.4447362422943115,0.14614467322826385,0.48690423369407654,0.559237003326416,0.21260182559490204,0.24104106426239014,0.15103481709957123
nucleomorph,0.24200671911239624,0.26545408368110657,0.10060472786426544,0.24189028143882751,0.22753146290779114,0.4454742968082428,0.6451056599617004,0.17996221780776978
and,0.31309178471565247,0.3859752118587494,0.2571277916431427,0.5116966962814331,0.5171257257461548,0.2286616861820221,0.21511349081993103,0.20544172823429108
outermost,0.277549147605896,0.33833736181259155,0.2047504335641861,0.39162787795066833,0.4106951653957367,0.3436822295188904,0.49975666403770447,0.10393527150154114
two,0.23363454639911652,0.2315155267715454,0.2500832974910736,0.37726253271102905,0.43858039379119873,0.20949451625347137,0.2635502219200134,0.19645625352859497
membranes,0.18834297358989716,0.20728234946727753,0.11230450123548508,0.23994219303131104,0.2330547422170639,0.3919675350189209,0.6635266542434692,0.20524227619171143
",",0.3087472915649414,0.4691906273365021,0.2448868453502655,0.4946078956127167,0.4933079481124878,0.3152828812599182,0.20794041454792023,0.31091248989105225
leaving,0.2528557777404785,0.2243812382221222,0.46359458565711975,0.28646329045295715,0.35353413224220276,0.13992787897586823,0.18973886966705322,0.11571593582630157
just,0.5854880809783936,0.369599312543869,0.2473597675561905,0.35124439001083374,0.40061673521995544,0.18077576160430908,0.19605068862438202,0.4144178032875061
a,0.3320399522781372,0.658733606338501,0.19688890874385834,0.5052502155303955,0.5829201340675354,0.25442346930503845,0.24622295796871185,0.23916715383529663
two-membraned,0.22942210733890533,0.24145165085792542,0.1902172863483429,0.2899698317050934,0.3079831302165985,0.3531079590320587,0.6007574796676636,0.2797212302684784
chloroplast,0.23505516350269318,0.20798198878765106,0.1606103479862213,0.2069506198167801,0.21317854523658752,0.4566666781902313,0.9777651429176331,0.12532055377960205
.,0.3567904531955719,0.4569662809371948,0.28830423951148987,0.5352458953857422,0.5934505462646484,0.2896459400653839,0.23868323862552643,0.4130953550338745
