,how,much,of,the,protein,products,of,transferred,genes,do,n't,go,back,to,chloroplasts,?
curiously,0.2564716637134552,0.2500258684158325,0.1845751851797104,0.2592857778072357,0.11173710972070694,0.10790106654167175,0.1845751851797104,0.10026413947343826,0.18425408005714417,0.22051900625228882,0.07025539129972458,0.19583018124103546,0.203658789396286,0.25778287649154663,0.1643640398979187,0.36644208431243896
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.19672410190105438,0.2251427173614502,0.4946078956127167,0.27208399772644043,0.1833837628364563,0.3283645510673523,0.11016341298818588,0.3043581247329712,0.3066370487213135,0.44245919585227966,0.20794041454792023,0.31091248989105225
around,0.3297552764415741,0.3766762316226959,0.3296394646167755,0.40085816383361816,0.14513380825519562,0.2187284380197525,0.3296394646167755,0.18628397583961487,0.12816837430000305,0.2358471304178238,-0.09471096098423004,0.2352917492389679,0.36141902208328247,0.3591267168521881,0.23327584564685822,0.14729668200016022
half,0.19052551686763763,0.31262141466140747,0.2784358561038971,0.3189295828342438,0.1594254970550537,0.11203473061323166,0.2784358561038971,0.155996635556221,0.1516752541065216,0.13905537128448486,-4.296833503758535e-05,0.17501750588417053,0.24607571959495544,0.21248666942119598,0.18135704100131989,0.07471233606338501
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.24403050541877747,0.21450084447860718,1.0,0.33309000730514526,0.20000982284545898,0.26150479912757874,-0.021397603675723076,0.21881330013275146,0.23051875829696655,0.41548454761505127,0.23179760575294495,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.22310464084148407,0.2547704577445984,0.733189046382904,0.34201255440711975,0.20576688647270203,0.30239659547805786,-0.11449059844017029,0.29801803827285767,0.3612101674079895,0.535392165184021,0.23062430322170258,0.22068053483963013
protein,0.24576620757579803,0.22721527516841888,0.24403050541877747,0.22310464084148407,1.0000001192092896,0.3577280044555664,0.24403050541877747,0.18459738790988922,0.5893606543540955,0.1999005228281021,0.016601720824837685,0.08663588762283325,0.10451763868331909,0.18705467879772186,0.5884734988212585,0.169142946600914
products,0.2456190288066864,0.2510487139225006,0.21450084447860718,0.2547704577445984,0.3577280044555664,0.9999998807907104,0.21450084447860718,0.12040547281503677,0.25861552357673645,0.24249263107776642,-0.10821529477834702,0.16424460709095,0.10087528824806213,0.2591564655303955,0.31732597947120667,0.20429900288581848
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.24403050541877747,0.21450084447860718,1.0,0.33309000730514526,0.20000982284545898,0.26150479912757874,-0.021397603675723076,0.21881330013275146,0.23051875829696655,0.41548454761505127,0.23179760575294495,0.1826142966747284
transferred,0.14769014716148376,0.1853288859128952,0.33309000730514526,0.34201255440711975,0.18459738790988922,0.12040547281503677,0.33309000730514526,1.0000001192092896,0.09828480333089828,0.14275336265563965,-0.03313702344894409,0.17643728852272034,0.3582495450973511,0.2984115183353424,0.24380236864089966,0.1139405146241188
genes,0.29535597562789917,0.2449120730161667,0.20000982284545898,0.20576688647270203,0.5893606543540955,0.25861552357673645,0.20000982284545898,0.09828480333089828,0.9999999403953552,0.20058055222034454,-0.0019134870963171124,0.13020794093608856,0.09910386800765991,0.22930821776390076,0.5287688374519348,0.19798170030117035
are,0.311818927526474,0.2937524914741516,0.39081433415412903,0.40399202704429626,0.279949426651001,0.34028032422065735,0.39081433415412903,0.1236063614487648,0.27272170782089233,0.41111594438552856,-0.1517762839794159,0.24194620549678802,0.18491026759147644,0.3504326641559601,0.3103833794593811,0.24591213464736938
n't,-0.09568241238594055,-0.08298172056674957,-0.021397603675723076,-0.11449059844017029,0.016601720824837685,-0.10821529477834702,-0.021397603675723076,-0.03313702344894409,-0.0019134870963171124,-0.08343347162008286,1.0,-0.10142754763364792,-0.10933267325162888,-0.14541994035243988,-0.03901694342494011,0.07068326324224472
even,0.40660160779953003,0.5521572232246399,0.34735506772994995,0.37996912002563477,0.20153896510601044,0.23969615995883942,0.34735506772994995,0.14688871800899506,0.19787798821926117,0.4404686391353607,-0.12558503448963165,0.3562262952327728,0.27455011010169983,0.46467068791389465,0.2301943302154541,0.30082517862319946
targeted,0.16472363471984863,0.17806614935398102,0.21197061240673065,0.2634218633174896,0.2774142920970917,0.27607983350753784,0.21197061240673065,0.24903137981891632,0.2654975652694702,0.17275641858577728,0.026701966300606728,0.09353015571832657,0.11568079888820648,0.2470245659351349,0.22840961813926697,0.1849984973669052
back,0.2557322680950165,0.31865203380584717,0.23051875829696655,0.3612101674079895,0.10451763868331909,0.10087528824806213,0.23051875829696655,0.3582495450973511,0.09910386800765991,0.2184148132801056,-0.10933267325162888,0.374642014503479,0.9999999403953552,0.4675939381122589,0.13913729786872864,0.2397768795490265
to,0.44169697165489197,0.40610215067863464,0.41548454761505127,0.535392165184021,0.18705467879772186,0.2591564655303955,0.41548454761505127,0.2984115183353424,0.22930821776390076,0.38876664638519287,-0.14541994035243988,0.384844571352005,0.4675939381122589,1.0,0.23370109498500824,0.29463258385658264
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.22310464084148407,0.2547704577445984,0.733189046382904,0.34201255440711975,0.20576688647270203,0.30239659547805786,-0.11449059844017029,0.29801803827285767,0.3612101674079895,0.535392165184021,0.23062430322170258,0.22068053483963013
chloroplast,0.23138970136642456,0.21006491780281067,0.2069506198167801,0.21317854523658752,0.5824171304702759,0.30174893140792847,0.2069506198167801,0.24921798706054688,0.5101798176765442,0.2310386300086975,-0.03544950857758522,0.09858863800764084,0.15045152604579926,0.22531428933143616,0.9777651429176331,0.12532055377960205
.,0.3287222981452942,0.3374604284763336,0.5352458953857422,0.5934505462646484,0.24917416274547577,0.223800927400589,0.5352458953857422,0.2828300893306732,0.24675390124320984,0.3613996207714081,0.01884327083826065,0.3313661813735962,0.3154444992542267,0.4645031690597534,0.23868323862552643,0.4130953550338745
