,who,funds,the,ipcc,'s,secretary,?
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
ipcc,0.21932992339134216,0.22941353917121887,0.24925659596920013,1.0000001192092896,0.010160183534026146,0.27420851588249207,0.22295254468917847
receives,0.16410404443740845,0.21700051426887512,0.3246961534023285,0.16232241690158844,-0.04852302372455597,0.20548687875270844,0.05022738128900528
funding,0.26179713010787964,0.730065643787384,0.3006567358970642,0.3656329810619354,0.013703925535082817,0.26839685440063477,0.1842934638261795
through,0.17793183028697968,0.17393535375595093,0.44071322679519653,0.165289044380188,-0.020649312064051628,0.10351597517728806,0.16913433372974396
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
ipcc,0.21932992339134216,0.22941353917121887,0.24925659596920013,1.0000001192092896,0.010160183534026146,0.27420851588249207,0.22295254468917847
trust,0.26026591658592224,0.3690270483493805,0.1622215360403061,0.2939307987689972,-0.026765592396259308,0.14537879824638367,0.22135582566261292
fund,0.23413541913032532,0.7014157772064209,0.25521403551101685,0.2741919159889221,0.04831458255648613,0.2620646357536316,0.1883198469877243
",",0.3365725874900818,0.20136137306690216,0.4933079481124878,0.15590040385723114,-0.0016132977325469255,0.24522995948791504,0.31091248989105225
established,0.20118318498134613,0.232526957988739,0.33092597126960754,0.17164510488510132,-0.05163693428039551,0.18557579815387726,0.15917523205280304
in,0.2792111933231354,0.20235127210617065,0.6662389636039734,0.1257958561182022,-0.037580832839012146,0.22551915049552917,0.20430970191955566
1989,-0.03504699468612671,-0.03626476228237152,-0.009533590637147427,0.001188402296975255,0.06551578640937805,0.12609827518463135,0.08110656589269638
by,0.39727845788002014,0.18905934691429138,0.4408751428127289,0.18031758069992065,-0.010884488001465797,0.16481569409370422,0.17966607213020325
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
united,0.21193812787532806,0.23257064819335938,0.34367692470550537,0.18249520659446716,-0.03853745758533478,0.3797130286693573,0.17266890406608582
nations,0.2393599897623062,0.33523091673851013,0.3506215214729309,0.3838126063346863,0.03843874856829643,0.39454665780067444,0.20999202132225037
environment,0.14066772162914276,0.20389892160892487,0.25819888710975647,0.3423258364200592,0.00273244665004313,0.24062134325504303,0.19478057324886322
programme,0.2317163497209549,0.3299749195575714,0.23601844906806946,0.337318480014801,0.11070065200328827,0.2366194874048233,0.139840766787529
(,0.2443375140428543,0.13228437304496765,0.33289089798927307,0.13946431875228882,0.0012731997994706035,0.23081141710281372,0.40561532974243164
unep,0.12486115097999573,0.29866668581962585,0.22770221531391144,0.5018112659454346,0.013054649345576763,0.2665594220161438,0.1842699944972992
),0.2457384318113327,0.11678647249937057,0.3456730246543884,0.12562119960784912,0.021107977256178856,0.21933183073997498,0.42300865054130554
and,0.41279885172843933,0.24975134432315826,0.5171257257461548,0.20790739357471466,0.06895173341035843,0.2080061286687851,0.20544172823429108
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
world,0.25158336758613586,0.22252999246120453,0.33604270219802856,0.24100589752197266,0.11877062171697617,0.22498919069766998,0.17579582333564758
meteorological,0.13748957216739655,0.17970366775989532,0.3060455918312073,0.41662874817848206,0.010543318465352058,0.23907744884490967,0.1928279548883438
organization,0.2852892577648163,0.3462114930152893,0.311172217130661,0.3586319088935852,0.033295970410108566,0.30311188101768494,0.2069297879934311
(,0.2443375140428543,0.13228437304496765,0.33289089798927307,0.13946431875228882,0.0012731997994706035,0.23081141710281372,0.40561532974243164
wmo,0.18600276112556458,0.31556400656700134,0.2798992991447449,0.48331883549690247,0.004422921687364578,0.29682984948158264,0.24371813237667084
),0.2457384318113327,0.11678647249937057,0.3456730246543884,0.12562119960784912,0.021107977256178856,0.21933183073997498,0.42300865054130554
",",0.3365725874900818,0.20136137306690216,0.4933079481124878,0.15590040385723114,-0.0016132977325469255,0.24522995948791504,0.31091248989105225
costs,0.14388014376163483,0.4331464171409607,0.2180386483669281,0.30495911836624146,0.08472989499568939,0.13834039866924286,0.19150719046592712
of,0.2827862501144409,0.24558281898498535,0.733189046382904,0.20174051821231842,-0.03817026689648628,0.21537087857723236,0.1826142966747284
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
secretary,0.2019355148077011,0.25283578038215637,0.23160062730312347,0.27420851588249207,-0.007464706432074308,0.9999999403953552,0.10113837569952011
and,0.41279885172843933,0.24975134432315826,0.5171257257461548,0.20790739357471466,0.06895173341035843,0.2080061286687851,0.20544172823429108
of,0.2827862501144409,0.24558281898498535,0.733189046382904,0.20174051821231842,-0.03817026689648628,0.21537087857723236,0.1826142966747284
housing,0.18532173335552216,0.38099461793899536,0.24837790429592133,0.24632491171360016,0.015778662636876106,0.34978538751602173,0.11872038245201111
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
secretariat,0.16216164827346802,0.30854156613349915,0.29265260696411133,0.3796730041503906,0.006662019062787294,0.7817699909210205,0.11597823351621628
are,0.27294138073921204,0.1764296293258667,0.40399202704429626,0.20066511631011963,-0.008927806280553341,0.06351467221975327,0.24591213464736938
provided,0.18789203464984894,0.3220707178115845,0.304488867521286,0.23290275037288666,0.01738812029361725,0.17500904202461243,0.16893617808818817
by,0.39727845788002014,0.18905934691429138,0.4408751428127289,0.18031758069992065,-0.010884488001465797,0.16481569409370422,0.17966607213020325
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
wmo,0.18600276112556458,0.31556400656700134,0.2798992991447449,0.48331883549690247,0.004422921687364578,0.29682984948158264,0.24371813237667084
",",0.3365725874900818,0.20136137306690216,0.4933079481124878,0.15590040385723114,-0.0016132977325469255,0.24522995948791504,0.31091248989105225
while,0.4068111777305603,0.21643199026584625,0.39804592728614807,0.17934004962444305,0.0011869525769725442,0.13687962293624878,0.21076419949531555
unep,0.12486115097999573,0.29866668581962585,0.22770221531391144,0.5018112659454346,0.013054649345576763,0.2665594220161438,0.1842699944972992
meets,0.23571878671646118,0.12538738548755646,0.28454074263572693,0.15996287763118744,-0.08653715252876282,0.20276808738708496,0.16143257915973663
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
cost,0.12277812510728836,0.40900251269340515,0.23177006840705872,0.22989997267723083,0.10079976916313171,0.11527062952518463,0.17823095619678497
of,0.2827862501144409,0.24558281898498535,0.733189046382904,0.20174051821231842,-0.03817026689648628,0.21537087857723236,0.1826142966747284
the,0.3733934462070465,0.23871955275535583,1.0,0.24925659596920013,-0.01540423184633255,0.23160062730312347,0.22068053483963013
depute,0.3270050287246704,0.18979749083518982,0.28630685806274414,0.23426227271556854,0.002134155947715044,0.5317448973655701,0.1058938205242157
secretary,0.2019355148077011,0.25283578038215637,0.23160062730312347,0.27420851588249207,-0.007464706432074308,0.9999999403953552,0.10113837569952011
.,0.3541337847709656,0.19765421748161316,0.5934505462646484,0.20098818838596344,-0.003708066651597619,0.2235480397939682,0.4130953550338745
