,what,is,the,lake,known,as,which,was,created,by,the,rise,of,the,andes,mountains,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.20241601765155792,0.4815765619277954,1.0,0.41006597876548767,0.3677520453929901,0.25030744075775146,0.3815547823905945,0.48381632566452026,0.19899694621562958,0.3886612355709076,0.48381632566452026,0.13583093881607056,0.13326235115528107,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.24325428903102875,0.3624623417854309,0.48381632566452026,0.6521818041801453,0.48711544275283813,0.3539263904094696,0.4408751428127289,1.0,0.3404741883277893,0.733189046382904,1.0,0.3295658826828003,0.27269288897514343,0.22068053483963013
andes,0.16930995881557465,0.2326672226190567,0.3295658826828003,0.2448846846818924,0.14867658913135529,0.13583093881607056,0.2641521692276001,0.1443025916814804,0.16108886897563934,0.14487721025943756,0.3295658826828003,0.23680391907691956,0.3059753477573395,0.3295658826828003,0.9999999403953552,0.4612232744693756,0.11163628101348877
mountains,0.1498076319694519,0.2538272738456726,0.27269288897514343,0.35578399896621704,0.17125630378723145,0.13326235115528107,0.21144159138202667,0.15521857142448425,0.11748076230287552,0.1825466752052307,0.27269288897514343,0.13787029683589935,0.22132478654384613,0.27269288897514343,0.4612232744693756,1.0000001192092896,0.08633821457624435
rose,0.13161541521549225,0.20399169623851776,0.28326278924942017,0.15575730800628662,0.16029994189739227,0.15731482207775116,0.15265808999538422,0.2609468102455139,0.12533873319625854,0.1757958084344864,0.28326278924942017,0.2558457851409912,0.2557028830051422,0.28326278924942017,0.1605503410100937,0.16071252524852753,0.11847885698080063
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2802521586418152,0.3604377806186676,0.48816442489624023,0.3658004403114319,0.45456063747406006,0.2755771577358246,0.3680937886238098,0.4933079481124878,0.2350703477859497,0.4946078956127167,0.4933079481124878,0.24108771979808807,0.2542361319065094,0.31091248989105225
however,0.4480680823326111,0.33769986033439636,0.49814513325691223,0.21111707389354706,0.2911214530467987,0.4668710231781006,0.5545716285705566,0.37327632308006287,0.23596230149269104,0.34889668226242065,0.49814513325691223,0.2834555506706238,0.3800618350505829,0.49814513325691223,0.19401411712169647,0.22263948619365692,0.2152075469493866
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2802521586418152,0.3604377806186676,0.48816442489624023,0.3658004403114319,0.45456063747406006,0.2755771577358246,0.3680937886238098,0.4933079481124878,0.2350703477859497,0.4946078956127167,0.4933079481124878,0.24108771979808807,0.2542361319065094,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20924630761146545,0.30882248282432556,0.39550232887268066,0.56894451379776,0.4508470594882965,0.30777761340141296,0.32094135880470276,0.5829201340675354,0.2110608071088791,0.5052502155303955,0.5829201340675354,0.2076280266046524,0.1995611935853958,0.23916715383529663
large,0.2017821967601776,0.2971126437187195,0.3828733265399933,0.24516057968139648,0.24581857025623322,0.24282054603099823,0.46308431029319763,0.21717436611652374,0.194413959980011,0.2555539309978485,0.3828733265399933,0.24384860694408417,0.3569655418395996,0.3828733265399933,0.2492832988500595,0.22949665784835815,0.1355665624141693
basin,0.1565224826335907,0.2273138016462326,0.24553915858268738,0.47134092450141907,0.13602635264396667,0.14660397171974182,0.24229559302330017,0.1841808706521988,0.17468512058258057,0.19840280711650848,0.24553915858268738,0.1477656215429306,0.2557278275489807,0.24553915858268738,0.327819287776947,0.4230736196041107,0.14685653150081635
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.1820499300956726,0.35203275084495544,0.3677520453929901,0.2830964922904968,1.0000001192092896,0.3592788577079773,0.4752357602119446,0.48711544275283813,0.1483619064092636,0.4069072902202606,0.48711544275283813,0.1443025916814804,0.15521857142448425,0.18412111699581146
created,0.20714101195335388,0.28467464447021484,0.3539263904094696,0.13566730916500092,0.21803982555866241,0.25030744075775146,0.3362928330898285,0.3592788577079773,1.0,0.3492257595062256,0.3539263904094696,0.14338566362857819,0.32043445110321045,0.3539263904094696,0.16108886897563934,0.11748076230287552,0.21177415549755096
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.22043050825595856,0.20813259482383728,0.4735107421875,0.6894589066505432,0.33670201897621155,0.3583657741546631,0.37496164441108704,0.5473989248275757,0.26001712679862976,0.41498205065727234,0.5473989248275757,0.20403023064136505,0.15560296177864075,0.32716336846351624
enclosed,0.10634869337081909,0.20655357837677002,0.2709352374076843,0.15357637405395508,0.13611459732055664,0.24818044900894165,0.310746967792511,0.11202684044837952,0.15165171027183533,0.21272502839565277,0.2709352374076843,0.12139800935983658,0.20824147760868073,0.2709352374076843,0.16591128706932068,0.15132270753383636,0.10430170595645905
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.20924630761146545,0.30882248282432556,0.39550232887268066,0.56894451379776,0.4508470594882965,0.30777761340141296,0.32094135880470276,0.5829201340675354,0.2110608071088791,0.5052502155303955,0.5829201340675354,0.2076280266046524,0.1995611935853958,0.23916715383529663
