,what,long,term,agenda,was,the,acts,of,plundering,muslim,lands,by,the,west,?
he,0.3114890456199646,0.2111329436302185,0.22617298364639282,0.22945697605609894,0.5410010814666748,0.4571082592010498,0.20250098407268524,0.38706058263778687,0.22242239117622375,0.2504630386829376,0.20364686846733093,0.2485479861497879,0.4571082592010498,0.2795044779777527,0.2089974731206894
believed,0.32626157999038696,0.18683739006519318,0.22693879902362823,0.21767625212669373,0.3758357763290405,0.324635773897171,0.16198104619979858,0.2945859134197235,0.23547640442848206,0.24337656795978546,0.2000075727701187,0.3129139244556427,0.324635773897171,0.17112798988819122,0.17606885731220245
that,0.6297725439071655,0.34424030780792236,0.2833994925022125,0.33524173498153687,0.33670201897621155,0.5473989248275757,0.25283968448638916,0.41498205065727234,0.30166342854499817,0.24297045171260834,0.1969892978668213,0.37496164441108704,0.5473989248275757,0.14288705587387085,0.32716336846351624
complete,0.29213884472846985,0.29523417353630066,0.11594033986330032,0.0950956791639328,0.13758507370948792,0.277624249458313,0.24399174749851227,0.3009350895881653,0.13187377154827118,0.14329086244106293,0.04130839556455612,0.16281484067440033,0.277624249458313,0.06846240162849426,0.11962060630321503
imitation,0.24823179841041565,0.1810653954744339,0.21337226033210754,0.17219378054141998,0.15336443483829498,0.20034609735012054,0.20592880249023438,0.22411632537841797,0.2521878778934479,0.12079828232526779,0.09008976072072983,0.2145254909992218,0.20034609735012054,0.11971539258956909,0.19225932657718658
of,0.33290785551071167,0.2567519545555115,0.26047757267951965,0.21928389370441437,0.4069072902202606,0.733189046382904,0.26445579528808594,1.0,0.268602579832077,0.267849862575531,0.2730972170829773,0.3646814823150635,0.733189046382904,0.2891985774040222,0.1826142966747284
the,0.42745697498321533,0.3075225353240967,0.2740369141101837,0.24096648395061493,0.48711544275283813,1.0,0.2568269371986389,0.733189046382904,0.28343576192855835,0.28099653124809265,0.3190511167049408,0.4408751428127289,1.0,0.32918402552604675,0.22068053483963013
prophet,0.30057501792907715,0.08502805233001709,0.16093671321868896,0.18377742171287537,0.21951255202293396,0.19251945614814758,0.15592239797115326,0.1674121618270874,0.29730477929115295,0.48761457204818726,0.10970168560743332,0.15918122231960297,0.19251945614814758,0.15458986163139343,0.22816047072410583
mohammad,0.19056081771850586,0.12318138033151627,0.16961462795734406,0.13085563480854034,0.2611331641674042,0.21050898730754852,0.188133105635643,0.20559412240982056,0.19235271215438843,0.5344241857528687,0.08968865126371384,0.1353425234556198,0.21050898730754852,0.19566184282302856,0.12592719495296478
and,0.31309178471565247,0.3395216166973114,0.22272127866744995,0.2819797396659851,0.3740963041782379,0.5171257257461548,0.20423464477062225,0.5116966962814331,0.29357147216796875,0.255716472864151,0.2984853982925415,0.4289871156215668,0.5171257257461548,0.273951917886734,0.20544172823429108
his,0.26976513862609863,0.18129055202007294,0.1899632215499878,0.1529691517353058,0.4405253231525421,0.4394008219242096,0.19607792794704437,0.38364991545677185,0.2896655797958374,0.22091786563396454,0.23819734156131744,0.3107621967792511,0.4394008219242096,0.21003775298595428,0.18075084686279297
