,when,did,the,yuan,begin,using,bronze,printing,plates,for,its,money,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2548272907733917,0.34293439984321594,0.28364112973213196,0.2526973485946655,0.24993151426315308,0.2566349506378174,0.4739971458911896,0.559237003326416,0.2699695825576782,0.22068053483963013
yuan,0.14659123122692108,0.1467057168483734,0.2548272907733917,1.0,0.11465755105018616,0.16475147008895874,0.18310245871543884,0.17042331397533417,0.09961649030447006,0.12319284677505493,0.17185570299625397,0.2605736255645752,0.12871281802654266
government,0.23078718781471252,0.2792121469974518,0.31798112392425537,0.3044860064983368,0.18588171899318695,0.15433147549629211,0.07488365471363068,0.2671220302581787,0.08317696303129196,0.23902073502540588,0.27754512429237366,0.41245928406715393,0.18851417303085327
used,0.3272556662559509,0.30443844199180603,0.3718377649784088,0.15345971286296844,0.20957617461681366,0.6102309226989746,0.19291990995407104,0.2680712938308716,0.20461417734622955,0.4236139953136444,0.294392853975296,0.19211451709270477,0.22430120408535004
woodblocks,0.21645912528038025,0.13351377844810486,0.22397193312644958,0.3316573202610016,0.1492605358362198,0.3317081332206726,0.26449933648109436,0.4664331376552582,0.2788465917110443,0.1917070746421814,0.12212543189525604,0.19905078411102295,0.17215727269649506
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.1499021351337433,0.33302420377731323,0.3678804934024811,0.16390153765678406,0.1891471892595291,0.1708442121744156,0.4451248347759247,0.3691340684890747,0.3124290704727173,0.29463258385658264
print,0.18077883124351501,0.22203360497951508,0.1922312080860138,0.1801619678735733,0.11390917748212814,0.27606964111328125,0.1484539806842804,0.7343410849571228,0.20566952228546143,0.15006189048290253,0.13712352514266968,0.23244664072990417,0.19833904504776
paper,0.2627309560775757,0.2034338414669037,0.2077420949935913,0.2533162534236908,0.15810464322566986,0.2438076138496399,0.14071275293827057,0.49951937794685364,0.23048172891139984,0.22010697424411774,0.18298761546611786,0.26961252093315125,0.12693770229816437
money,0.261506587266922,0.3498571217060089,0.2699695825576782,0.2605736255645752,0.18800139427185059,0.17186908423900604,0.1495082676410675,0.2878860831260681,0.15285781025886536,0.3105318546295166,0.22928516566753387,0.9999998807907104,0.2069680541753769
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.27304404973983765,0.27050045132637024,0.2434660792350769,0.25780928134918213,0.17598696053028107,0.4464869201183319,0.33157986402511597,0.24156853556632996,0.31091248989105225
but,0.5599016547203064,0.49033689498901367,0.4859698414802551,0.21263279020786285,0.27360019087791443,0.3726519048213959,0.17662785947322845,0.22846007347106934,0.2041480988264084,0.45162561535835266,0.39362356066703796,0.30705881118774414,0.27921953797340393
switched,0.28628528118133545,0.23191606998443604,0.25324228405952454,0.09517676383256912,0.19740785658359528,0.3223874568939209,0.12564587593078613,0.21230092644691467,0.14308105409145355,0.22717007994651794,0.13960599899291992,0.19490277767181396,0.12736737728118896
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.1499021351337433,0.33302420377731323,0.3678804934024811,0.16390153765678406,0.1891471892595291,0.1708442121744156,0.4451248347759247,0.3691340684890747,0.3124290704727173,0.29463258385658264
bronze,0.20644283294677734,0.11514069885015488,0.2526973485946655,0.18310245871543884,0.090744249522686,0.14725884795188904,0.9999999403953552,0.21974804997444153,0.2680804431438446,0.18907371163368225,0.17239078879356384,0.1495082676410675,0.12390820682048798
plates,0.22362764179706573,0.1313653439283371,0.2566349506378174,0.09961649030447006,0.09798774123191833,0.1860087662935257,0.2680804431438446,0.3389008045196533,1.0000001192092896,0.13969239592552185,0.2324407398700714,0.15285781025886536,0.15258446335792542
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.14850552380084991,0.2903634011745453,0.2717311978340149,0.1848762184381485,0.22161865234375,0.17680886387825012,0.4322226941585541,0.3793783485889435,0.2393328845500946,0.20430970191955566
1275,-0.3178602457046509,-0.2680094540119171,-0.2902671694755554,-0.13239401578903198,-0.2483883649110794,-0.20735014975070953,-0.18793509900569916,-0.18178217113018036,-0.1867848038673401,-0.22159530222415924,-0.23366998136043549,-0.20348119735717773,-0.151746466755867
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.17233723402023315,0.24827922880649567,0.3629456162452698,0.21327440440654755,0.3019598126411438,0.19715885818004608,0.4726039469242096,0.3566088080406189,0.2570818066596985,0.4130953550338745
