,what,may,explain,why,some,americans,who,'ve,become,rich,may,have,had,a,head,start,?
according,0.2776208221912384,0.15347103774547577,0.3083910346031189,0.1806025505065918,0.20096933841705322,0.19246500730514526,0.22336459159851074,0.09648160636425018,0.1681850105524063,0.19016025960445404,0.15347103774547577,0.23988237977027893,0.3028804361820221,0.239227756857872,0.1878301352262497,0.12025215476751328,0.21173474192619324
to,0.455847829580307,0.391582727432251,0.3735564351081848,0.4100138247013092,0.4636894166469574,0.30128014087677,0.42656609416007996,0.328372597694397,0.36996012926101685,0.2667584717273712,0.391582727432251,0.4544740617275238,0.37984350323677063,0.45503583550453186,0.2177244871854782,0.33345553278923035,0.29463258385658264
the,0.42745697498321533,0.2694292366504669,0.24376994371414185,0.30742117762565613,0.4566698372364044,0.3275100290775299,0.3733934462070465,0.23887036740779877,0.31731709837913513,0.2007024586200714,0.2694292366504669,0.40389683842658997,0.3875846862792969,0.5829201340675354,0.3079071640968323,0.3656389117240906,0.22068053483963013
new,0.2130378633737564,0.19349534809589386,0.17501015961170197,0.15616938471794128,0.3095579743385315,0.2500934302806854,0.2378052920103073,0.22373057901859283,0.26596391201019287,0.21395844221115112,0.19349534809589386,0.2689777910709381,0.28327175974845886,0.3214259147644043,0.18110334873199463,0.29805898666381836,0.14782847464084625
york,0.15652963519096375,0.16990967094898224,0.13028684258460999,0.15536683797836304,0.18836680054664612,0.3351759910583496,0.23077517747879028,0.16255402565002441,0.15509076416492462,0.2155449092388153,0.16990967094898224,0.17621928453445435,0.222146138548851,0.205710306763649,0.12818942964076996,0.17550554871559143,0.15262620151042938
times,0.21414996683597565,0.22239290177822113,0.1897827833890915,0.21185258030891418,0.2114299237728119,0.23454371094703674,0.24510560929775238,0.19260799884796143,0.1666330248117447,0.18413954973220825,0.22239290177822113,0.3492240011692047,0.31343862414360046,0.2745400369167328,0.09994009137153625,0.17564836144447327,0.18880689144134521
on,0.34226128458976746,0.3428080081939697,0.21967485547065735,0.2698206305503845,0.31474894285202026,0.20607639849185944,0.2340552806854248,0.24454697966575623,0.17756444215774536,0.15688900649547577,0.3428080081939697,0.36494916677474976,0.36692994832992554,0.3848365545272827,0.22092439234256744,0.2699633240699768,0.2714994251728058
july,0.22688010334968567,0.4987334609031677,0.1590810865163803,0.18612083792686462,0.09327211230993271,0.20506222546100616,0.2606464624404907,0.2026929259300232,0.17459383606910706,0.07191794365644455,0.4987334609031677,0.16455811262130737,0.26664862036705017,0.23807190358638763,0.15079480409622192,0.15341021120548248,0.2897891402244568
22,0.02076123282313347,0.014700324274599552,0.04660992696881294,0.08872154355049133,0.0774141326546669,0.005271816160529852,-0.02495800331234932,-0.0018704269314184785,0.01110492367297411,-0.05491992086172104,0.014700324274599552,0.04577421769499779,-0.025334645062685013,-0.028262944892048836,-0.015378992073237896,-0.011987890116870403,0.06663474440574646
",",0.3087472915649414,0.5007920861244202,0.22081054747104645,0.2827242314815521,0.42400437593460083,0.2545861303806305,0.3365725874900818,0.28305867314338684,0.29676204919815063,0.272274911403656,0.5007920861244202,0.3541618287563324,0.35487717390060425,0.427140474319458,0.2711189091205597,0.2934366464614868,0.31091248989105225
