,what,did,josel,of,rosheim,claimed,that,luther,said,of,those,who,might,aid,the,jews,?
josel,0.14145724475383759,0.17029181122779846,1.0,0.21895205974578857,0.4620577096939087,0.20549623668193817,0.14892227947711945,0.2696872353553772,0.21145662665367126,0.21895205974578857,0.14135226607322693,0.2247287482023239,0.1277943104505539,0.12491986155509949,0.23822356760501862,0.1992202252149582,0.09231944382190704
of,0.33290785551071167,0.2513895630836487,0.21895205974578857,1.0,0.25779151916503906,0.25888603925704956,0.41498205065727234,0.1719115972518921,0.29014745354652405,1.0,0.37935635447502136,0.2827862501144409,0.2900311052799225,0.20153990387916565,0.733189046382904,0.2207300066947937,0.1826142966747284
rosheim,0.15419231355190277,0.11256112158298492,0.4620577096939087,0.25779151916503906,1.0,0.1266661286354065,0.15961170196533203,0.3351822793483734,0.15846265852451324,0.25779151916503906,0.14800241589546204,0.1795799434185028,0.12229800224304199,0.0967288538813591,0.2593145966529846,0.36508098244667053,0.17173978686332703
",",0.3087472915649414,0.3015086054801941,0.28542959690093994,0.4946078956127167,0.29806461930274963,0.24827811121940613,0.4137537479400635,0.23255878686904907,0.34496036171913147,0.4946078956127167,0.39574649930000305,0.3365725874900818,0.2533247768878937,0.1953202486038208,0.4933079481124878,0.27184903621673584,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.23822356760501862,0.733189046382904,0.2593145966529846,0.2761930227279663,0.5473989248275757,0.1759674996137619,0.3024602234363556,0.733189046382904,0.42861196398735046,0.3733934462070465,0.32504433393478394,0.21952909231185913,1.0,0.24901628494262695,0.22068053483963013
jewish,0.1696387529373169,0.19554156064987183,0.2701442539691925,0.14794707298278809,0.41065511107444763,0.1573789119720459,0.22501161694526672,0.27001291513442993,0.2062409371137619,0.14794707298278809,0.16486985981464386,0.27238789200782776,0.17340505123138428,0.1297364979982376,0.19492539763450623,0.6836509108543396,0.15521590411663055
spokesman,0.19941633939743042,0.23368580639362335,0.18872655928134918,0.16398678719997406,0.23655593395233154,0.308380663394928,0.2356446534395218,0.24337241053581238,0.3621765971183777,0.16398678719997406,0.1608191579580307,0.30797427892684937,0.2044929713010788,0.2037801444530487,0.24552905559539795,0.18620344996452332,0.13802309334278107
who,0.40942975878715515,0.34038686752319336,0.2247287482023239,0.2827862501144409,0.1795799434185028,0.32327672839164734,0.45444270968437195,0.21013082563877106,0.391315758228302,0.2827862501144409,0.44778117537498474,0.9999998807907104,0.3188989460468292,0.31013068556785583,0.3733934462070465,0.3023342192173004,0.26220351457595825
tried,0.2904773950576782,0.5812815427780151,0.1735958307981491,0.2511886954307556,0.14162927865982056,0.34457361698150635,0.2951739430427551,0.18349534273147583,0.42700567841529846,0.2511886954307556,0.29696303606033325,0.3592184782028198,0.3692179322242737,0.22721579670906067,0.29431280493736267,0.19034408032894135,0.21770204603672028
to,0.455847829580307,0.4452643394470215,0.16891537606716156,0.41548454761505127,0.1665969341993332,0.2575981914997101,0.5436353087425232,0.18029534816741943,0.34274402260780334,0.41548454761505127,0.47350940108299255,0.42656609416007996,0.5153919458389282,0.2690417766571045,0.535392165184021,0.22399327158927917,0.29463258385658264
