,where,did,jebe,die,?
genghis,0.1839626133441925,0.18339850008487701,0.38717931509017944,0.21610862016677856,0.18813461065292358
khan,0.1568954735994339,0.155345618724823,0.3338758945465088,0.10392314195632935,0.12862591445446014
recalled,0.2524174749851227,0.3526061773300171,0.11327224969863892,0.1429445892572403,0.1700260043144226
subutai,0.2718629539012909,0.14015702903270721,0.34225112199783325,0.1558430939912796,0.1578579694032669
back,0.373447060585022,0.2601068317890167,0.1442699283361435,0.18160593509674072,0.2397768795490265
to,0.47735077142715454,0.4452643394470215,0.16959594190120697,0.14746613800525665,0.29463258385658264
mongolia,0.2137911468744278,0.15721069276332855,0.2931709587574005,0.12687568366527557,0.12165829539299011
soon,0.32082125544548035,0.35734426975250244,0.1291632056236267,0.23956792056560516,0.17460282146930695
afterwards,0.370015025138855,0.33363255858421326,0.1137067899107933,0.26891836524009705,0.16511626541614532
",",0.3149496018886566,0.3015086054801941,0.30109918117523193,0.23915338516235352,0.31091248989105225
and,0.43859338760375977,0.34479495882987976,0.2566799223423004,0.15050403773784637,0.20544172823429108
jebe,0.1792648732662201,0.14259633421897888,1.0,0.24159552156925201,0.1268274188041687
died,0.14638052880764008,0.2759808599948883,0.2203054279088974,0.3548888862133026,0.15254227817058563
on,0.37630224227905273,0.2670976221561432,0.21980929374694824,0.16166727244853973,0.2714994251728058
the,0.5003893971443176,0.34736719727516174,0.272458553314209,0.2242266982793808,0.22068053483963013
road,0.18542753159999847,0.10854122787714005,0.16960878670215607,0.07566940039396286,0.10894691944122314
back,0.373447060585022,0.2601068317890167,0.1442699283361435,0.18160593509674072,0.2397768795490265
to,0.47735077142715454,0.4452643394470215,0.16959594190120697,0.14746613800525665,0.29463258385658264
samarkand,0.24729785323143005,0.15214397013187408,0.3311193585395813,0.18029046058654785,0.14516572654247284
.,0.41390106081962585,0.35288307070732117,0.2529311776161194,0.2658497095108032,0.4130953550338745
