,in,what,show,did,murray,gold,modify,the,closing,credits,theme,?
for,0.4322226941585541,0.3017193675041199,0.3141973614692688,0.318512886762619,0.22748664021492004,0.2409525066614151,0.23606161773204803,0.4739971458911896,0.2750873267650604,0.2572024464607239,0.23964181542396545,0.264628142118454
the,0.6662389636039734,0.42745697498321533,0.319829523563385,0.34736719727516174,0.23582130670547485,0.27136439085006714,0.20982474088668823,1.0,0.29856032133102417,0.2230195701122284,0.2470158040523529,0.22068053483963013
return,0.1852470338344574,0.18344242870807648,0.255397766828537,0.21141748130321503,0.1502438336610794,0.12450934946537018,0.20019829273223877,0.2543797492980957,0.19759200513362885,0.20475518703460693,0.1004454493522644,0.14655634760856628
of,0.5696388483047485,0.33290785551071167,0.21383242309093475,0.2513895630836487,0.18884317576885223,0.2101457566022873,0.1423967033624649,0.733189046382904,0.18359942734241486,0.17005175352096558,0.17537155747413635,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.319829523563385,0.34736719727516174,0.23582130670547485,0.27136439085006714,0.20982474088668823,1.0,0.29856032133102417,0.2230195701122284,0.2470158040523529,0.22068053483963013
series,0.2914260923862457,0.17328087985515594,0.41789430379867554,0.15581852197647095,0.20803673565387726,0.15606050193309784,0.17757472395896912,0.31376904249191284,0.08957453817129135,0.23514628410339355,0.3285406529903412,0.1709602326154709
in,1.0,0.30808621644973755,0.27595704793930054,0.2593238651752472,0.25037676095962524,0.21206732094287872,0.1691151261329651,0.6662389636039734,0.2585218548774719,0.06298324465751648,0.21164380013942719,0.20430970191955566
2005,0.009931974112987518,0.0704459398984909,-0.037941694259643555,0.11135691404342651,0.003775515127927065,0.012679794803261757,-0.01472395844757557,0.037273142486810684,0.05539901927113533,0.12600553035736084,0.06360690295696259,0.10709824413061142
",",0.5201468467712402,0.3087472915649414,0.31928569078445435,0.3015086054801941,0.3188571631908417,0.28787803649902344,0.15651823580265045,0.4933079481124878,0.27284765243530273,0.19072526693344116,0.21865783631801605,0.31091248989105225
murray,0.25037676095962524,0.09951125830411911,0.17029862105846405,0.16583757102489471,1.0,0.2159954160451889,0.1487920880317688,0.23582130670547485,0.09028840810060501,0.11492689698934555,0.1072499230504036,0.17931228876113892
gold,0.21206732094287872,0.15779642760753632,0.14333128929138184,0.1811094880104065,0.2159954160451889,0.9999999403953552,0.03539383411407471,0.27136439085006714,0.12970803678035736,0.18448977172374725,0.1178743913769722,0.11542754620313644
provided,0.19033823907375336,0.2206064909696579,0.26980867981910706,0.2778315246105194,0.17791153490543365,0.12247274816036224,0.2600345015525818,0.304488867521286,0.13176891207695007,0.3513467013835907,0.15859627723693848,0.16893617808818817
a,0.539380669593811,0.3320399522781372,0.24886544048786163,0.2552328109741211,0.16061973571777344,0.22218312323093414,0.1631201058626175,0.5829201340675354,0.22376655042171478,0.19052836298942566,0.2278088480234146,0.23916715383529663
new,0.3758552670478821,0.2130378633737564,0.20937778055667877,0.227974995970726,0.1612738072872162,0.1722966879606247,0.1624833345413208,0.3845241069793701,0.1505194753408432,0.16988646984100342,0.20022907853126526,0.14782847464084625
arrangement,0.20867182314395905,0.22868703305721283,0.1764574497938156,0.2237335443496704,0.09131249040365219,0.159328430891037,0.27685803174972534,0.290839284658432,0.19121341407299042,0.14120759069919586,0.30165839195251465,0.11038770526647568
which,0.4840516746044159,0.5261979103088379,0.32096749544143677,0.2750149369239807,0.15963657200336456,0.2007036805152893,0.22454895079135895,0.6521818041801453,0.2832934260368347,0.2114848494529724,0.25756725668907166,0.25814583897590637
featured,0.2658694386482239,0.20330384373664856,0.3722992241382599,0.2333149015903473,0.20962995290756226,0.19190490245819092,0.2076195925474167,0.28660184144973755,0.16218383610248566,0.35166770219802856,0.37877461314201355,0.2944096624851227
samples,0.13152313232421875,0.23286624252796173,0.2661087214946747,0.1458299607038498,0.20569714903831482,0.1927192360162735,0.16545060276985168,0.2069351226091385,0.14268191158771515,0.2859134078025818,0.15215466916561127,0.1777840405702591
from,0.4274188280105591,0.2737620174884796,0.2004580795764923,0.20248863101005554,0.17756228148937225,0.18462617695331573,0.13418373465538025,0.40150508284568787,0.16283760964870453,0.24854986369609833,0.18822719156742096,0.19969791173934937
the,0.6662389636039734,0.42745697498321533,0.319829523563385,0.34736719727516174,0.23582130670547485,0.27136439085006714,0.20982474088668823,1.0,0.29856032133102417,0.2230195701122284,0.2470158040523529,0.22068053483963013
1963,0.09972909837961197,-0.01284969411790371,-0.014388238079845905,0.022874606773257256,0.06587203592061996,0.08539707958698273,-0.037962306290864944,0.03728247061371803,-0.11185762286186218,-0.07573673874139786,0.055739764124155045,0.03411978855729103
original,0.2534193694591522,0.24651947617530823,0.22450028359889984,0.2664784789085388,0.169025257229805,0.11883752048015594,0.21212849020957947,0.4037000238895416,0.23459286987781525,0.28329670429229736,0.29133370518684387,0.17256900668144226
