,how,are,green,chloroplasts,',plastoglobuli,arranged,?
in,0.2601168751716614,0.3841303884983063,0.22731968760490417,0.21141497790813446,0.4158826768398285,0.26680368185043335,0.20203842222690582,0.20430970191955566
normal,0.33218955993652344,0.3182310163974762,0.17225506901741028,0.25289034843444824,0.20239782333374023,0.2700785994529724,0.180409774184227,0.19617988169193268
green,0.15918397903442383,0.21746626496315002,1.0,0.32718849182128906,0.1710139513015747,0.2376667708158493,0.16729332506656647,0.11409882456064224
chloroplasts,0.2384049892425537,0.3103833794593811,0.32718849182128906,0.9999999403953552,0.0804409459233284,0.708579957485199,0.2528531849384308,0.13049766421318054
",",0.22659391164779663,0.4062570035457611,0.2583938241004944,0.20794041454792023,0.5178600549697876,0.2822408080101013,0.2789522111415863,0.31091248989105225
the,0.33890387415885925,0.40399202704429626,0.24099771678447723,0.23062430322170258,0.474788099527359,0.29747703671455383,0.26620063185691833,0.22068053483963013
vast,0.22346404194831848,0.30015555024147034,0.18373094499111176,0.25740256905555725,0.08769985288381577,0.2847658097743988,0.18319259583950043,0.12112510949373245
majority,0.20073412358760834,0.3146342635154724,0.18107786774635315,0.1763368844985962,0.1550203114748001,0.2502974569797516,0.13412724435329437,0.220119908452034
of,0.2480744868516922,0.39081433415412903,0.2225196659564972,0.23179760575294495,0.39136970043182373,0.3235050141811371,0.33214297890663147,0.1826142966747284
plastoglobuli,0.22687989473342896,0.39545711874961853,0.2376667708158493,0.708579957485199,0.18080419301986694,0.9999999403953552,0.2530685067176819,0.205425426363945
occur,0.17423073947429657,0.3900270164012909,0.10414358973503113,0.3405669629573822,0.1801706701517105,0.3695952296257019,0.17848388850688934,0.17999543249607086
singularly,0.2509400546550751,0.39758816361427307,0.12889689207077026,0.30298271775245667,0.21546337008476257,0.35400325059890747,0.18594802916049957,0.24368500709533691
",",0.22659391164779663,0.4062570035457611,0.2583938241004944,0.20794041454792023,0.5178600549697876,0.2822408080101013,0.2789522111415863,0.31091248989105225
attached,0.17565982043743134,0.2273169308900833,0.1785527467727661,0.3468863070011139,0.12619756162166595,0.3541686534881592,0.23070187866687775,0.10888541489839554
directly,0.38373512029647827,0.322107195854187,0.1601443886756897,0.30000126361846924,0.1498008370399475,0.24680280685424805,0.18156084418296814,0.2187996357679367
to,0.44169697165489197,0.3504326641559601,0.2122364193201065,0.23370109498500824,0.34544456005096436,0.24701064825057983,0.2805038392543793,0.29463258385658264
their,0.3316696584224701,0.46887820959091187,0.1598123162984848,0.2906811833381653,0.20297467708587646,0.2755817472934723,0.28077396750450134,0.1898253709077835
parent,0.17630039155483246,0.22318822145462036,0.09218820929527283,0.2645833492279053,0.26485636830329895,0.2544984519481659,0.20329035818576813,0.19855059683322906
thylakoid,0.19070076942443848,0.3156659007072449,0.2231808453798294,0.632928192615509,0.1445702612400055,0.6463375091552734,0.17682820558547974,0.19202344119548798
.,0.3287222981452942,0.3452940285205841,0.23737919330596924,0.23868323862552643,0.4806240200996399,0.31105032563209534,0.22968827188014984,0.4130953550338745
