,which,company,has,held,contests,for,fans,to,create,their,own,ad,for,the,company,?
it,0.616637647151947,0.3082790970802307,0.41962623596191406,0.23581157624721527,0.21864727139472961,0.32171204686164856,0.2518351376056671,0.513711154460907,0.2902435064315796,0.3067983090877533,0.2588726878166199,0.20261158049106598,0.32171204686164856,0.6251175999641418,0.3082790970802307,0.25732165575027466
was,0.2830964922904968,0.2293137013912201,0.40313825011253357,0.30231067538261414,0.2024780660867691,0.3863949179649353,0.27087780833244324,0.3636345863342285,0.17767828702926636,0.2396296262741089,0.19632458686828613,0.22054366767406464,0.3863949179649353,0.48711544275283813,0.2293137013912201,0.18412111699581146
also,0.6566565632820129,0.21313920617103577,0.505894660949707,0.23488673567771912,0.2691006660461426,0.5373267531394958,0.27079445123672485,0.5348826050758362,0.3051093518733978,0.4181114733219147,0.36576277017593384,0.1446426957845688,0.5373267531394958,0.6021018624305725,0.21313920617103577,0.21848613023757935
the,0.6521818041801453,0.26591673493385315,0.4177538752555847,0.32185450196266174,0.29410862922668457,0.4739971458911896,0.2338283360004425,0.535392165184021,0.25265660881996155,0.516537070274353,0.334675133228302,0.24233382940292358,0.4739971458911896,1.0,0.26591673493385315,0.22068053483963013
final,0.27655747532844543,0.07612226158380508,0.15146847069263458,0.1546432226896286,0.29416847229003906,0.25346213579177856,0.2022010236978531,0.26099109649658203,0.14198337495326996,0.2108406126499176,0.20727448165416718,0.12888769805431366,0.25346213579177856,0.3543182611465454,0.07612226158380508,0.17315025627613068
year,0.242343008518219,0.1253320872783661,0.2526876926422119,0.2161356508731842,0.20285069942474365,0.29294124245643616,0.21313194930553436,0.23523004353046417,0.1955469697713852,0.20591455698013306,0.10865867882966995,0.21771904826164246,0.29294124245643616,0.3609684407711029,0.1253320872783661,0.18315006792545319
that,0.6894589066505432,0.22723333537578583,0.41272613406181335,0.224154531955719,0.2788112163543701,0.4137635827064514,0.29043275117874146,0.5436353087425232,0.3917232155799866,0.4266771972179413,0.37425005435943604,0.22409899532794952,0.4137635827064514,0.5473989248275757,0.22723333537578583,0.32716336846351624
doritos,0.2913173735141754,0.1841714084148407,0.1816394329071045,0.20406728982925415,0.2560025751590729,0.21739260852336884,0.22480833530426025,0.22078846395015717,0.17716188728809357,0.20420221984386444,0.23570461571216583,0.1696394979953766,0.21739260852336884,0.2968476712703705,0.1841714084148407,0.2596014738082886
",",0.3658004403114319,0.2697763442993164,0.3734780251979828,0.2880980372428894,0.27445995807647705,0.4464869201183319,0.19332477450370789,0.44245919585227966,0.2240353375673294,0.3045167922973633,0.2796398997306824,0.21154692769050598,0.4464869201183319,0.4933079481124878,0.2697763442993164,0.31091248989105225
a,0.56894451379776,0.22037413716316223,0.4670248031616211,0.22326228022575378,0.276979923248291,0.44038116931915283,0.253450870513916,0.45503583550453186,0.3041161596775055,0.29698723554611206,0.3093770742416382,0.1853104531764984,0.44038116931915283,0.5829201340675354,0.22037413716316223,0.23916715383529663
