,of,what,form,are,rational,primes,?
prime,0.23935265839099884,0.15586113929748535,0.160722553730011,0.12279369682073593,0.25783175230026245,0.7104739546775818,0.11276303976774216
elements,0.23613712191581726,0.2152351289987564,0.29706767201423645,0.2717064321041107,0.32407423853874207,0.28153786063194275,0.15222592651844025
in,0.5696388483047485,0.30808621644973755,0.2815987169742584,0.3841303884983063,0.22214210033416748,0.20882321894168854,0.20430970191955566
z,0.15415705740451813,0.17339621484279633,0.17874903976917267,0.10580581426620483,0.15365293622016907,0.3312930166721344,0.26213106513023376
),0.3680361211299896,0.26259949803352356,0.20926380157470703,0.2373749315738678,0.24140046536922455,0.20394806563854218,0.42300865054130554
of,1.0,0.33290785551071167,0.29600051045417786,0.39081433415412903,0.31506872177124023,0.22199293971061707,0.1826142966747284
the,0.733189046382904,0.42745697498321533,0.29286009073257446,0.40399202704429626,0.2502481937408447,0.22359657287597656,0.22068053483963013
form,0.29600051045417786,0.15868011116981506,0.9999999403953552,0.29983413219451904,0.2685964107513428,0.2012440413236618,0.1463010311126709
4k,0.019321680068969727,0.019799979403614998,-0.06318070739507675,-0.054664671421051025,0.04117472842335701,0.015131339430809021,0.059404097497463226
+,0.14862146973609924,0.1158081665635109,0.1295623481273651,0.18708056211471558,0.2192518711090088,0.21849572658538818,0.2903686463832855
3,0.046857766807079315,0.04473085701465607,0.07430553436279297,0.03804425150156021,0.11748465150594711,-0.010150526650249958,0.005975271109491587
are,0.39081433415412903,0.29724663496017456,0.29983413219451904,1.0,0.3265884518623352,0.2606703042984009,0.24591213464736938
gaussian,0.20860953629016876,0.23311908543109894,0.26480334997177124,0.20322203636169434,0.3440442979335785,0.2564125955104828,0.15562887489795685
primes,0.22199293971061707,0.2505246102809906,0.2012440413236618,0.2606703042984009,0.388543039560318,1.0,0.18851876258850098
",",0.4946078956127167,0.3087472915649414,0.21805599331855774,0.4062570035457611,0.2831685245037079,0.29003697633743286,0.31091248989105225
whereas,0.34012725949287415,0.32338035106658936,0.28292524814605713,0.3145461976528168,0.34558048844337463,0.2750825583934784,0.1950923502445221
rational,0.31506872177124023,0.35778647661209106,0.2685964107513428,0.3265884518623352,1.0,0.388543039560318,0.25988996028900146
primes,0.22199293971061707,0.2505246102809906,0.2012440413236618,0.2606703042984009,0.388543039560318,1.0,0.18851876258850098
of,1.0,0.33290785551071167,0.29600051045417786,0.39081433415412903,0.31506872177124023,0.22199293971061707,0.1826142966747284
the,0.733189046382904,0.42745697498321533,0.29286009073257446,0.40399202704429626,0.2502481937408447,0.22359657287597656,0.22068053483963013
form,0.29600051045417786,0.15868011116981506,0.9999999403953552,0.29983413219451904,0.2685964107513428,0.2012440413236618,0.1463010311126709
4k,0.019321680068969727,0.019799979403614998,-0.06318070739507675,-0.054664671421051025,0.04117472842335701,0.015131339430809021,0.059404097497463226
+,0.14862146973609924,0.1158081665635109,0.1295623481273651,0.18708056211471558,0.2192518711090088,0.21849572658538818,0.2903686463832855
1,-0.09473495930433273,-0.21266892552375793,-0.12375190854072571,-0.2175680249929428,-0.28064724802970886,-0.25417813658714294,-0.249979168176651
are,0.39081433415412903,0.29724663496017456,0.29983413219451904,1.0,0.3265884518623352,0.2606703042984009,0.24591213464736938
not,0.3307090103626251,0.5449194312095642,0.298634797334671,0.46186959743499756,0.4062342941761017,0.2436080127954483,0.41942933201789856
.,0.5352458953857422,0.3567904531955719,0.28317511081695557,0.3452940285205841,0.2740248739719391,0.2564551830291748,0.4130953550338745
