,the,teacher,'s,in,a,platoon,style,teaching,are,usually,more,_____,?
the,1.0,0.17760860919952393,-0.01540423184633255,0.6662389636039734,0.5829201340675354,0.24481749534606934,0.2331719547510147,0.2182690054178238,0.40399202704429626,0.36782920360565186,0.39758381247520447,0.22620578110218048,0.22068053483963013
advantage,0.2844003438949585,0.08803090453147888,0.054765734821558,0.1498534232378006,0.2823992371559143,0.2914597988128662,0.17598126828670502,0.16871377825737,0.2111373245716095,0.271011084318161,0.3196917474269867,0.22507885098457336,0.10412604361772537
here,0.37885698676109314,0.19155187904834747,-0.011841325089335442,0.3649226427078247,0.3427039682865143,0.1619141548871994,0.23332275450229645,0.2010035216808319,0.3756197988986969,0.26506659388542175,0.3725087642669678,0.3309868276119232,0.5686008334159851
is,0.5823672413825989,0.2001669555902481,0.02396530658006668,0.5394441485404968,0.658733606338501,0.09564507752656937,0.16587691009044647,0.16213442385196686,0.5330929756164551,0.4230746626853943,0.2946030795574188,0.20232750475406647,0.22961433231830597
that,0.5473989248275757,0.1985531747341156,0.04397977516055107,0.435920387506485,0.47537946701049805,0.17857569456100464,0.2503998577594757,0.28482577204704285,0.45265161991119385,0.43660464882850647,0.4813884496688843,0.31140652298927307,0.32716336846351624
students,0.25268980860710144,0.5254908204078674,0.03619067743420601,0.2676171064376831,0.2676560878753662,0.21276399493217468,0.20403580367565155,0.5526385307312012,0.2835792899131775,0.23830904066562653,0.27059733867645264,0.29958122968673706,0.18017297983169556
learn,0.2269158810377121,0.4223177433013916,0.03441669046878815,0.18581099808216095,0.2111419141292572,0.11849788576364517,0.18235114216804504,0.48645246028900146,0.2667143642902374,0.23135913908481598,0.3443524241447449,0.29063618183135986,0.3118754029273987
from,0.40150508284568787,0.17958809435367584,-0.01936490088701248,0.4274188280105591,0.322764128446579,0.18697287142276764,0.19759854674339294,0.20678803324699402,0.2674213647842407,0.25971752405166626,0.2529715299606323,0.21272814273834229,0.19969791173934937
teachers,0.22025763988494873,0.7334206104278564,0.044750411063432693,0.2128150761127472,0.2509842813014984,0.1946437954902649,0.15776538848876953,0.6562570333480835,0.2565288841724396,0.2171439230442047,0.22816872596740723,0.2924503982067108,0.19522249698638916
who,0.3733934462070465,0.35707929730415344,0.05599616840481758,0.2792111933231354,0.36608949303627014,0.3167797029018402,0.15775224566459656,0.2535073459148407,0.27294138073921204,0.35319453477859497,0.31567877531051636,0.2226255089044571,0.26220351457595825
