,what,is,the,16th,century,known,as,the,start,of,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1515994518995285,0.3174034655094147,0.32641831040382385,0.3887844979763031,0.6662389636039734,0.29979339241981506,0.5696388483047485,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.2201097458600998,0.3617299497127533,0.3624623417854309,0.48381632566452026,1.0,0.3656389117240906,0.733189046382904,0.22068053483963013
16th,0.08221480250358582,0.20989952981472015,0.2201097458600998,0.9999998807907104,0.22404831647872925,0.13449424505233765,0.11980016529560089,0.2201097458600998,0.1696292757987976,0.13910430669784546,0.06695828586816788
century,0.20422613620758057,0.20648397505283356,0.3617299497127533,0.22404831647872925,1.0,0.2454954832792282,0.24608509242534637,0.3617299497127533,0.2044362872838974,0.2826060354709625,0.1026201918721199
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20284214615821838,0.24487493932247162,0.3604377806186676,0.48816442489624023,0.4933079481124878,0.2934366464614868,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2201097458600998,0.3617299497127533,0.3624623417854309,0.48381632566452026,1.0,0.3656389117240906,0.733189046382904,0.22068053483963013
beginning,0.3351518511772156,0.2446223646402359,0.49622642993927,0.24958796799182892,0.4251898229122162,0.26313984394073486,0.3335636258125305,0.49622642993927,0.5557746887207031,0.36558160185813904,0.19413669407367706
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.13910430669784546,0.2826060354709625,0.35814476013183594,0.3886612355709076,0.733189046382904,0.23166994750499725,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2201097458600998,0.3617299497127533,0.3624623417854309,0.48381632566452026,1.0,0.3656389117240906,0.733189046382904,0.22068053483963013
historical,0.2923852205276489,0.23039913177490234,0.30835282802581787,0.06436266005039215,0.34404343366622925,0.16978608071804047,0.2356967031955719,0.30835282802581787,0.11879007518291473,0.3218611776828766,0.1665111482143402
era,0.18199029564857483,0.11451215296983719,0.266272634267807,0.1363365650177002,0.3159903883934021,0.228163480758667,0.20649906992912292,0.266272634267807,0.2897544205188751,0.20396220684051514,0.14369545876979828
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20284214615821838,0.24487493932247162,0.3604377806186676,0.48816442489624023,0.4933079481124878,0.2934366464614868,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2201097458600998,0.3617299497127533,0.3624623417854309,0.48381632566452026,1.0,0.3656389117240906,0.733189046382904,0.22068053483963013
region,0.2298986315727234,0.3317503035068512,0.35020557045936584,0.008617410436272621,0.21375064551830292,0.17667947709560394,0.17285758256912231,0.35020557045936584,0.13804465532302856,0.2852717339992523,0.13441751897335052
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.23553764820098877,0.3521432876586914,0.35203275084495544,0.3677520453929901,0.48711544275283813,0.20079405605793,0.4069072902202606,0.18412111699581146
inhabited,0.176266148686409,0.2244061976671219,0.2579440772533417,-0.023112734779715538,0.27131590247154236,0.1802661269903183,0.1743161827325821,0.2579440772533417,0.11079971492290497,0.2573133707046509,0.12792479991912842
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.21117913722991943,0.29995259642601013,0.24461808800697327,0.3815547823905945,0.4408751428127289,0.19754154980182648,0.3646814823150635,0.17966607213020325
the,0.42745697498321533,0.5823672413825989,1.0,0.2201097458600998,0.3617299497127533,0.3624623417854309,0.48381632566452026,1.0,0.3656389117240906,0.733189046382904,0.22068053483963013
mocama,0.29563626646995544,0.36279362440109253,0.36557620763778687,0.054987307637929916,0.165093332529068,0.21763575077056885,0.23261584341526031,0.36557620763778687,0.1345813274383545,0.3340614438056946,0.16693337261676788
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20284214615821838,0.24487493932247162,0.3604377806186676,0.48816442489624023,0.4933079481124878,0.2934366464614868,0.4946078956127167,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.18024180829524994,0.19417014718055725,0.30882248282432556,0.39550232887268066,0.5829201340675354,0.29672953486442566,0.5052502155303955,0.23916715383529663
coastal,0.18264484405517578,0.21945476531982422,0.2718130946159363,0.054996076971292496,0.2209913730621338,0.14428436756134033,0.151224747300148,0.2718130946159363,0.1132829412817955,0.29121753573417664,0.13777320086956024
subgroup,0.17161031067371368,0.20764286816120148,0.2143818438053131,0.0745784267783165,0.10273584723472595,0.23191355168819427,0.24387364089488983,0.2143818438053131,0.17090728878974915,0.17746101319789886,0.19766506552696228
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.13910430669784546,0.2826060354709625,0.35814476013183594,0.3886612355709076,0.733189046382904,0.23166994750499725,1.0,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2201097458600998,0.3617299497127533,0.3624623417854309,0.48381632566452026,1.0,0.3656389117240906,0.733189046382904,0.22068053483963013
timucua,0.29614773392677307,0.2214294970035553,0.3038891851902008,0.045950308442115784,0.22771839797496796,0.20873302221298218,0.2261190563440323,0.3038891851902008,0.28243061900138855,0.26550596952438354,0.2524978220462799
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.054629746824502945,0.21702024340629578,0.13246847689151764,0.15704652667045593,0.36838498711586,0.25992536544799805,0.3251037895679474,0.23739641904830933
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21393761038780212,0.27413639426231384,0.283290296792984,0.515582263469696,0.5934505462646484,0.3501981496810913,0.5352458953857422,0.4130953550338745
