,approximately,how,many,items,comprise,the,jewelry,collection,of,the,v,&,a,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.30294761061668396,1.0,0.20340517163276672,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
jewellery,0.1837928742170334,0.20919500291347504,0.29095256328582764,0.4657718539237976,0.1340186446905136,0.19773870706558228,0.7499158978462219,0.34589406847953796,0.2510305643081665,0.19773870706558228,0.06388099491596222,0.19800706207752228,0.23398934304714203,0.15173175930976868
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.38827261328697205,0.3226623833179474,0.25281965732574463,0.2761915326118469,0.9999998807907104,0.2915455996990204,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.20069393515586853
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.21073096990585327,0.24136890470981598,0.4933079481124878,0.27014440298080444,0.2277175933122635,0.4946078956127167,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.31091248989105225
containing,0.25807344913482666,0.18926005065441132,0.23557426035404205,0.36964863538742065,0.4288564622402191,0.268460214138031,0.17030122876167297,0.31369683146476746,0.3227089047431946,0.268460214138031,0.09784503281116486,0.18217258155345917,0.2822553813457489,0.1655367761850357
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.22679616510868073,0.22210927307605743,0.39856547117233276,0.2094932198524475,0.21212655305862427,0.36136594414711,0.39856547117233276,0.10378551483154297,0.191574826836586,0.32199642062187195,0.25742942094802856
6000,-0.18795853853225708,-0.08042212575674057,-0.060008492320775986,-0.0990973487496376,-0.18555045127868652,-0.015774738043546677,-0.0010914185550063848,0.00685616210103035,0.024499543011188507,-0.015774738043546677,-0.05598467215895653,0.04315951094031334,-0.021400416269898415,-0.057236284017562866
items,0.13907083868980408,0.25054052472114563,0.30115842819213867,1.0000001192092896,0.1902087777853012,0.23580949008464813,0.46560418605804443,0.38827261328697205,0.21522082388401031,0.23580949008464813,0.07684866338968277,0.07111205160617828,0.2916238307952881,0.19807128608226776
is,0.2724578380584717,0.22544461488723755,0.2649032473564148,0.24396629631519318,0.3045743703842163,0.5823672413825989,0.187261700630188,0.21135231852531433,0.4854315221309662,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.22961433231830597
one,0.3318721354007721,0.3213292360305786,0.4223630726337433,0.22221502661705017,0.27485889196395874,0.5514441132545471,0.18302887678146362,0.29259923100471497,0.4999135136604309,0.5514441132545471,0.1586812287569046,0.0723944678902626,0.4910551905632019,0.2673267424106598
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.21522082388401031,0.37900012731552124,0.733189046382904,0.23234203457832336,0.2915455996990204,1.0,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.23580949008464813,0.30294761061668396,1.0,0.20340517163276672,0.25281965732574463,0.733189046382904,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
