,when,did,the,practice,of,wiping,tapes,stop,?
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.24572531878948212,0.5696388483047485,0.2198362499475479,0.18297863006591797,0.20196323096752167,0.20430970191955566
1972,-0.17732876539230347,-0.09581880271434784,0.017579182982444763,-0.09077943116426468,0.07561471313238144,-0.32925885915756226,-0.11766044050455093,-0.1851622313261032,-0.13323214650154114
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2838936448097229,0.4946078956127167,0.27958157658576965,0.1773630827665329,0.24759207665920258,0.31091248989105225
almost,0.3277508616447449,0.29008886218070984,0.3341992199420929,0.1814708560705185,0.3144364058971405,0.3187400996685028,0.16059647500514984,0.2468581199645996,0.1372147500514984
all,0.35107192397117615,0.33943864703178406,0.4860881567001343,0.28250858187675476,0.42798417806625366,0.3973716199398041,0.184468075633049,0.3123442828655243,0.29575422406196594
episodes,0.20127248764038086,0.1200496256351471,0.1889590173959732,0.14520910382270813,0.19166667759418488,0.19283153116703033,0.3616577088832855,0.1843356490135193,0.21740183234214783
then,0.6026323437690735,0.303744375705719,0.4297412931919098,0.180279940366745,0.2937326431274414,0.24648700654506683,0.26253798604011536,0.2716044783592224,0.2884598970413208
made,0.2936893105506897,0.3068731725215912,0.3885267674922943,0.08323798328638077,0.33167365193367004,0.25366419553756714,0.23103728890419006,0.2385341078042984,0.17218779027462006
were,0.29649975895881653,0.4162326455116272,0.3906462490558624,0.25205129384994507,0.34038281440734863,0.256169855594635,0.2527609169483185,0.21839991211891174,0.17890112102031708
known,0.1836930811405182,0.25943970680236816,0.3624623417854309,0.18945755064487457,0.35814476013183594,0.14732179045677185,0.08085866272449493,0.13634781539440155,0.18314571678638458
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.289366751909256,0.41548454761505127,0.32223978638648987,0.26465630531311035,0.31219643354415894,0.29463258385658264
exist,0.21716834604740143,0.29554638266563416,0.3024537265300751,0.20838534832000732,0.28013259172439575,0.29984474182128906,0.1678430438041687,0.22830478847026825,0.28923845291137695
at,0.38876327872276306,0.28390252590179443,0.457212895154953,0.17058232426643372,0.42558613419532776,0.15984931588172913,0.20262578129768372,0.19438834488391876,0.21978627145290375
the,0.5091903209686279,0.34736719727516174,1.0,0.27333036065101624,0.733189046382904,0.34262529015541077,0.2105327844619751,0.25771772861480713,0.22068053483963013
bbc,0.19045519828796387,0.1677953153848648,0.2735401690006256,0.12175367027521133,0.1797877550125122,0.1621863692998886,0.317622572183609,0.19292384386062622,0.20556949079036713
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.2838936448097229,0.4946078956127167,0.27958157658576965,0.1773630827665329,0.24759207665920258,0.31091248989105225
while,0.548916757106781,0.3330625295639038,0.39804592728614807,0.31727737188339233,0.3366928696632385,0.3770294785499573,0.23082078993320465,0.35403019189834595,0.21076419949531555
