,what,was,dificult,to,reconcile,the,photoelectric,effect,and,the,missing,ultraviolet,catastrophe,?
however,0.4480680823326111,0.37327632308006287,0.42996761202812195,0.5474119186401367,0.2513802647590637,0.49814513325691223,0.30282729864120483,0.3842862844467163,0.498121976852417,0.49814513325691223,0.20929308235645294,0.24098901450634003,0.3037678003311157,0.2152075469493866
",",0.3087472915649414,0.45456063747406006,0.326727032661438,0.44245919585227966,0.28507503867149353,0.4933079481124878,0.26294437050819397,0.2150653600692749,0.6633074283599854,0.4933079481124878,0.2425287365913391,0.21618741750717163,0.2354142963886261,0.31091248989105225
attempting,0.23469723761081696,0.18695135414600372,0.32696813344955444,0.4533930718898773,0.2327583283185959,0.23055888712406158,0.06884120404720306,0.16140347719192505,0.2507036030292511,0.23055888712406158,0.24984978139400482,0.15215349197387695,0.18050730228424072,0.1953229457139969
to,0.455847829580307,0.3636345863342285,0.40598776936531067,1.0,0.32511839270591736,0.535392165184021,0.25929683446884155,0.2521958649158478,0.48971283435821533,0.535392165184021,0.260368674993515,0.2679978907108307,0.18854179978370667,0.29463258385658264
reconcile,0.2724747061729431,0.21734784543514252,0.3192153871059418,0.32511839270591736,0.9999998807907104,0.22027066349983215,0.1334669440984726,0.1935703158378601,0.2247926890850067,0.22027066349983215,0.20591944456100464,0.15984104573726654,0.2842385470867157,0.23851493000984192
electromagnetic,0.263467937707901,0.16673997044563293,0.21003307402133942,0.23683054745197296,0.2073296308517456,0.22307927906513214,0.6777395606040955,0.33756741881370544,0.21151572465896606,0.22307927906513214,0.177078977227211,0.5581076145172119,0.2536999583244324,0.16735313832759857
theory,0.297923743724823,0.18278326094150543,0.2814479470252991,0.21947365999221802,0.29150572419166565,0.2277156263589859,0.39087289571762085,0.317088782787323,0.1765792816877365,0.2277156263589859,0.12444792687892914,0.21137504279613495,0.29972347617149353,0.1387292891740799
with,0.2464839518070221,0.27411898970603943,0.24860765039920807,0.4239959120750427,0.20190861821174622,0.4223487675189972,0.18994557857513428,0.2349119931459427,0.5477725267410278,0.4223487675189972,0.2869752049446106,0.14404189586639404,0.16523166000843048,0.2433311939239502
two,0.23363454639911652,0.27166637778282166,0.22166462242603302,0.3343428373336792,0.19241850078105927,0.43858039379119873,0.21677325665950775,0.12585581839084625,0.4671151638031006,0.43858039379119873,0.2525445818901062,0.19559723138809204,0.17448586225509644,0.19645625352859497
observations,0.25952574610710144,0.17700251936912537,0.31893494725227356,0.2440076768398285,0.31613409519195557,0.2542272210121155,0.31945374608039856,0.2723151743412018,0.2447943538427353,0.2542272210121155,0.1382562220096588,0.3175882399082184,0.320834219455719,0.16318461298942566
