,what,is,an,example,of,an,enzyme,that,can,transform,skin,cells,into,tumors,when,expressed,at,high,levels,?
one,0.376489520072937,0.4544198513031006,0.2829729914665222,0.41499486565589905,0.4999135136604309,0.2829729914665222,0.18997256457805634,0.5133185982704163,0.34032124280929565,0.2064194232225418,0.17200160026550293,0.19492670893669128,0.31758198142051697,0.196105495095253,0.38307374715805054,0.2535025477409363,0.32580816745758057,0.2040119767189026,0.19867007434368134,0.2673267424106598
example,0.3456268310546875,0.36737263202667236,0.3076696991920471,1.0,0.3570667505264282,0.3076696991920471,0.2634425461292267,0.429897665977478,0.5023694038391113,0.27545633912086487,0.2531403601169586,0.24890154600143433,0.23142142593860626,0.1771446317434311,0.40509727597236633,0.2865111231803894,0.21853865683078766,0.18444988131523132,0.278443306684494,0.30374911427497864
is,0.28837618231773376,1.0,0.4654068350791931,0.36737263202667236,0.4854315221309662,0.4654068350791931,0.1687985211610794,0.3995479643344879,0.44256699085235596,0.19387811422348022,0.1956855058670044,0.1644774079322815,0.2619607150554657,0.20278756320476532,0.3471449911594391,0.18876376748085022,0.25906258821487427,0.2383800595998764,0.2141042947769165,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,1.0,0.3076696991920471,0.32280945777893066,1.0,0.2135612517595291,0.365763783454895,0.23671309649944305,0.18689753115177155,0.17331188917160034,0.18335485458374023,0.2105669528245926,0.18880917131900787,0.33026179671287537,0.14857281744480133,0.2446778565645218,0.13532011210918427,0.1761990785598755,0.19793890416622162
enzyme,0.20453688502311707,0.1687985211610794,0.2135612517595291,0.2634425461292267,0.23405364155769348,0.2135612517595291,0.9999998807907104,0.22798125445842743,0.2641695737838745,0.16176624596118927,0.35741177201271057,0.5357339978218079,0.24440142512321472,0.37462517619132996,0.21392418444156647,0.19337144494056702,0.14074906706809998,0.1412648856639862,0.2587750256061554,0.19525861740112305
called,0.3235960602760315,0.430266410112381,0.2858632802963257,0.41785773634910583,0.4222904443740845,0.2858632802963257,0.21159595251083374,0.41604554653167725,0.306973397731781,0.2933307886123657,0.19147074222564697,0.20908011496067047,0.3495192527770996,0.2237960249185562,0.39188069105148315,0.19171297550201416,0.23534239828586578,0.19024790823459625,0.20739491283893585,0.18963319063186646
tyrosinase,0.22324828803539276,0.2721478044986725,0.24233384430408478,0.2621600031852722,0.32505789399147034,0.24233384430408478,0.5407155156135559,0.32854530215263367,0.3048574924468994,0.22172512114048004,0.3633236587047577,0.4648873507976532,0.23025061190128326,0.4659426212310791,0.30591708421707153,0.19792184233665466,0.15154823660850525,0.16504114866256714,0.22617116570472717,0.12582391500473022
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.429897665977478,0.41498205065727234,0.365763783454895,0.22798125445842743,1.0,0.4522190988063812,0.22558428347110748,0.25139883160591125,0.2709589898586273,0.3239944875240326,0.3281596004962921,0.5860282182693481,0.3005213737487793,0.3183255195617676,0.2400680035352707,0.27539384365081787,0.32716336846351624
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3581022024154663,0.15848833322525024,0.4137537479400635,0.3139454126358032,0.16064204275608063,0.24590502679347992,0.20582014322280884,0.2826121151447296,0.27506208419799805,0.36674630641937256,0.24414940178394318,0.38314947485923767,0.27938312292099,0.2284579873085022,0.31091248989105225
when,0.4700249433517456,0.3471449911594391,0.33026179671287537,0.40509727597236633,0.3757161796092987,0.33026179671287537,0.21392418444156647,0.5860282182693481,0.39191514253616333,0.2218775451183319,0.2756267786026001,0.2794494032859802,0.389646977186203,0.251886248588562,0.9999999403953552,0.2265259027481079,0.38876327872276306,0.20577524602413177,0.2584584951400757,0.22841128706932068
expressed,0.20227427780628204,0.18876376748085022,0.14857281744480133,0.2865111231803894,0.2687252461910248,0.14857281744480133,0.19337144494056702,0.3005213737487793,0.2116832584142685,0.2900266647338867,0.0994509682059288,0.16849271953105927,0.18842126429080963,0.12264932692050934,0.2265259027481079,1.0000001192092896,0.17725001275539398,0.17551130056381226,0.15868589282035828,0.17175263166427612
at,0.2838611304759979,0.25906258821487427,0.2446778565645218,0.21853865683078766,0.42558613419532776,0.2446778565645218,0.14074906706809998,0.3183255195617676,0.16641086339950562,0.06428409367799759,0.13828162848949432,0.16060517728328705,0.2095452845096588,0.14588791131973267,0.38876327872276306,0.17725001275539398,1.0,0.2874184250831604,0.1926388293504715,0.21978627145290375
high,0.20466077327728271,0.2383800595998764,0.13532011210918427,0.18444988131523132,0.2803038954734802,0.13532011210918427,0.1412648856639862,0.2400680035352707,0.24255423247814178,0.13943514227867126,0.09093040972948074,0.14515036344528198,0.14017035067081451,0.14207831025123596,0.20577524602413177,0.17551130056381226,0.2874184250831604,1.0,0.37835693359375,0.11137914657592773
levels,0.21641245484352112,0.2141042947769165,0.1761990785598755,0.278443306684494,0.23668165504932404,0.1761990785598755,0.2587750256061554,0.27539384365081787,0.376473605632782,0.16011781990528107,0.2124452143907547,0.25610119104385376,0.2411951720714569,0.2656533122062683,0.2584584951400757,0.15868589282035828,0.1926388293504715,0.37835693359375,0.9999998807907104,0.1541307419538498
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3581022024154663,0.15848833322525024,0.4137537479400635,0.3139454126358032,0.16064204275608063,0.24590502679347992,0.20582014322280884,0.2826121151447296,0.27506208419799805,0.36674630641937256,0.24414940178394318,0.38314947485923767,0.27938312292099,0.2284579873085022,0.31091248989105225
transforms,0.13705132901668549,0.21149490773677826,0.20353783667087555,0.26016202569007874,0.258488267660141,0.20353783667087555,0.1743108183145523,0.21933886408805847,0.2531970739364624,0.9406065344810486,0.2262253761291504,0.23030206561088562,0.3339933454990387,0.21495860815048218,0.23677025735378265,0.24645869433879852,0.09117277711629868,0.14823965728282928,0.18286560475826263,0.07925523817539215
certain,0.4561643898487091,0.28826433420181274,0.2510054409503937,0.46507108211517334,0.40204232931137085,0.2510054409503937,0.2983492910861969,0.5381532907485962,0.5257870554924011,0.20401792228221893,0.28864502906799316,0.284655898809433,0.2205457240343094,0.36146441102027893,0.36699241399765015,0.29771631956100464,0.19092096388339996,0.2418595850467682,0.3890972435474396,0.2516106069087982
