,which,two,religions,did,tesla,express,respect,for,?
despite,0.2826302945613861,0.2235356867313385,0.1630345731973648,0.38115930557250977,0.07167666405439377,0.14166587591171265,0.2932963967323303,0.3311030864715576,0.14350546896457672
this,0.6719430088996887,0.33004114031791687,0.27741047739982605,0.3609912693500519,0.2066725641489029,0.18900056183338165,0.3369671106338501,0.5082864165306091,0.3155723512172699
",",0.3658004403114319,0.35859420895576477,0.309471070766449,0.3015086054801941,0.20599327981472015,0.22139392793178558,0.31207460165023804,0.4464869201183319,0.31091248989105225
he,0.3415409028530121,0.27156874537467957,0.218917578458786,0.3292143940925598,0.12373391538858414,0.18752449750900269,0.20840097963809967,0.4540175199508667,0.2089974731206894
had,0.3188965916633606,0.41487234830856323,0.20648561418056488,0.540525496006012,0.12050733715295792,0.13819807767868042,0.2262345403432846,0.3270139992237091,0.20728366076946259
a,0.56894451379776,0.3289857804775238,0.2105460911989212,0.2552328109741211,0.2211925983428955,0.20441380143165588,0.21947547793388367,0.44038116931915283,0.23916715383529663
profound,0.3259015381336212,0.18516135215759277,0.3209368586540222,0.165501669049263,0.18380846083164215,0.21167872846126556,0.3569159209728241,0.1965816468000412,0.2105889469385147
respect,0.25662121176719666,0.22216194868087769,0.3982277810573578,0.2958885431289673,0.2405541092157364,0.21894964575767517,1.0000001192092896,0.27822989225387573,0.2402682900428772
for,0.44095608592033386,0.34734001755714417,0.19934388995170593,0.318512886762619,0.13983871042728424,0.2597910463809967,0.27822989225387573,0.9999999403953552,0.264628142118454
both,0.5140923857688904,0.6091675162315369,0.2163809835910797,0.34255191683769226,0.15196974575519562,0.1366386115550995,0.348899781703949,0.3887220323085785,0.19455738365650177
buddhism,0.20902051031589508,0.09083700180053711,0.6195410490036011,0.10964566469192505,0.20376883447170258,0.14665237069129944,0.2606857120990753,0.14606431126594543,0.18768428266048431
and,0.506277859210968,0.4671151638031006,0.3005678355693817,0.34479495882987976,0.19560420513153076,0.18311074376106262,0.30358022451400757,0.5064792633056641,0.20544172823429108
christianity,0.1957550197839737,0.1607283055782318,0.689899742603302,0.21473132073879242,0.15283246338367462,0.19557645916938782,0.2798573672771454,0.166645810008049,0.22408421337604523
.,0.45942068099975586,0.3524959683418274,0.2949666976928711,0.35288307070732117,0.17949827015399933,0.21891744434833527,0.2651030123233795,0.4726039469242096,0.4130953550338745
