,what,is,the,time,rate,of,change,of,electric,charge,?
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.23388558626174927,0.22746525704860687,0.3647414743900299,0.23882026970386505,0.3647414743900299,0.2337203472852707,0.21411828696727753,0.16913433372974396
combining,0.26883453130722046,0.29174765944480896,0.33280646800994873,0.22591188549995422,0.13768132030963898,0.3498232960700989,0.3282089829444885,0.3498232960700989,0.23657363653182983,0.17808859050273895,0.17360594868659973
the,0.42745697498321533,0.5823672413825989,1.0,0.43061500787734985,0.24881242215633392,0.733189046382904,0.3641999065876007,0.733189046382904,0.21345196664333344,0.2730984687805176,0.22068053483963013
definition,0.330344021320343,0.29006320238113403,0.23176956176757812,0.28693753480911255,0.329921156167984,0.24912455677986145,0.3257770538330078,0.24912455677986145,0.12991692125797272,0.19097648561000824,0.2796523869037628
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35127586126327515,0.24132871627807617,1.0,0.2569013833999634,1.0,0.17329032719135284,0.27586498856544495,0.1826142966747284
electric,0.15451551973819733,0.16143305599689484,0.21345196664333344,0.18971829116344452,0.1141587570309639,0.17329032719135284,0.1614219695329666,0.17329032719135284,1.0000001192092896,0.4219222366809845,0.15674720704555511
current,0.18294453620910645,0.2555285692214966,0.3314409554004669,0.28612780570983887,0.13228538632392883,0.31470298767089844,0.37120211124420166,0.31470298767089844,0.3218620717525482,0.2698366940021515,0.12074550241231918
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.3239102065563202,0.17456910014152527,0.3886612355709076,0.37273192405700684,0.3886612355709076,0.18756335973739624,0.20160435140132904,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.43061500787734985,0.24881242215633392,0.733189046382904,0.3641999065876007,0.733189046382904,0.21345196664333344,0.2730984687805176,0.22068053483963013
time,0.36319252848625183,0.25187405943870544,0.43061500787734985,0.9999998807907104,0.24661368131637573,0.35127586126327515,0.25537243485450745,0.35127586126327515,0.18971829116344452,0.2317633479833603,0.27391523122787476
rate,0.21845893561840057,0.24290183186531067,0.24881242215633392,0.24661368131637573,1.0000001192092896,0.24132871627807617,0.2896713316440582,0.24132871627807617,0.1141587570309639,0.24457311630249023,0.1308269053697586
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35127586126327515,0.24132871627807617,1.0,0.2569013833999634,1.0,0.17329032719135284,0.27586498856544495,0.1826142966747284
change,0.3690716028213501,0.33028605580329895,0.3641999065876007,0.25537243485450745,0.2896713316440582,0.2569013833999634,0.9999998807907104,0.2569013833999634,0.1614219695329666,0.21897675096988678,0.24115969240665436
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35127586126327515,0.24132871627807617,1.0,0.2569013833999634,1.0,0.17329032719135284,0.27586498856544495,0.1826142966747284
electric,0.15451551973819733,0.16143305599689484,0.21345196664333344,0.18971829116344452,0.1141587570309639,0.17329032719135284,0.1614219695329666,0.17329032719135284,1.0000001192092896,0.4219222366809845,0.15674720704555511
charge,0.23255030810832977,0.1743287295103073,0.2730984687805176,0.2317633479833603,0.24457311630249023,0.27586498856544495,0.21897675096988678,0.27586498856544495,0.4219222366809845,0.9999998807907104,0.0958876758813858
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3029961884021759,0.18156792223453522,0.4946078956127167,0.2752361297607422,0.4946078956127167,0.22981849312782288,0.19992214441299438,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3292340338230133,0.24373900890350342,0.5052502155303955,0.3047741651535034,0.5052502155303955,0.24061402678489685,0.2415132075548172,0.23916715383529663
rule,0.30539435148239136,0.18984714150428772,0.29894936084747314,0.2758761942386627,0.20530971884727478,0.25175079703330994,0.18905086815357208,0.25175079703330994,0.1112244501709938,0.12978127598762512,0.1955260932445526
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35127586126327515,0.24132871627807617,1.0,0.2569013833999634,1.0,0.17329032719135284,0.27586498856544495,0.1826142966747284
vector,0.26669490337371826,0.19711346924304962,0.18854442238807678,0.21157610416412354,0.21392963826656342,0.20483794808387756,0.26670756936073303,0.20483794808387756,0.23574602603912354,0.20936772227287292,0.26140129566192627
multiplication,0.27993518114089966,0.2805522084236145,0.24047040939331055,0.275748074054718,0.33820751309394836,0.2577259838581085,0.25918975472450256,0.2577259838581085,0.2554817497730255,0.30137133598327637,0.2005060762166977
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.26010140776634216,0.14546145498752594,0.4222904443740845,0.23730355501174927,0.4222904443740845,0.18630094826221466,0.28606072068214417,0.18963319063186646
lorentz,0.2660103440284729,0.18757201731204987,0.21080635488033295,0.248703271150589,0.23135964572429657,0.19069510698318481,0.23708397150039673,0.19069510698318481,0.3196668326854706,0.24346600472927094,0.1679687798023224
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.01301188487559557,0.06070024520158768,-0.03817026689648628,-0.030620932579040527,-0.03817026689648628,-0.0115516884252429,-0.0038333674892783165,-0.023395681753754616
law,0.2145031988620758,0.18597714602947235,0.24548950791358948,0.18298186361789703,0.16593435406684875,0.2816956341266632,0.20829714834690094,0.2816956341266632,0.18823178112506866,0.26177170872688293,0.1528988480567932
describes,0.28796884417533875,0.33745625615119934,0.30593109130859375,0.22651922702789307,0.16654296219348907,0.33623746037483215,0.33870115876197815,0.33623746037483215,0.1264418214559555,0.19071954488754272,0.13134142756462097
the,0.42745697498321533,0.5823672413825989,1.0,0.43061500787734985,0.24881242215633392,0.733189046382904,0.3641999065876007,0.733189046382904,0.21345196664333344,0.2730984687805176,0.22068053483963013
force,0.16915984451770782,0.22036980092525482,0.2800885736942291,0.187156081199646,0.2274700403213501,0.27094775438308716,0.21709659695625305,0.27094775438308716,0.19785821437835693,0.3373846113681793,0.1650998443365097
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.30044233798980713,0.19178344309329987,0.3966929316520691,0.3118341565132141,0.3966929316520691,0.2127806544303894,0.20220614969730377,0.2714994251728058
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3292340338230133,0.24373900890350342,0.5052502155303955,0.3047741651535034,0.5052502155303955,0.24061402678489685,0.2415132075548172,0.23916715383529663
charge,0.23255030810832977,0.1743287295103073,0.2730984687805176,0.2317633479833603,0.24457311630249023,0.27586498856544495,0.21897675096988678,0.27586498856544495,0.4219222366809845,0.9999998807907104,0.0958876758813858
moving,0.3154623508453369,0.19858770072460175,0.34510132670402527,0.3297528922557831,0.2513248324394226,0.24795499444007874,0.25695592164993286,0.24795499444007874,0.2550264894962311,0.2814609110355377,0.21667467057704926
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3431483507156372,0.24951417744159698,0.5696388483047485,0.2510564923286438,0.5696388483047485,0.19779469072818756,0.22046200931072235,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3292340338230133,0.24373900890350342,0.5052502155303955,0.3047741651535034,0.5052502155303955,0.24061402678489685,0.2415132075548172,0.23916715383529663
magnetic,0.19557252526283264,0.17429937422275543,0.18611927330493927,0.23662376403808594,0.25735118985176086,0.16237565875053406,0.2057565301656723,0.16237565875053406,0.4703453481197357,0.3319803476333618,0.10858146101236343
field,0.1825202852487564,0.17269009351730347,0.2105809599161148,0.18107864260673523,0.10497497022151947,0.20410659909248352,0.19127467274665833,0.20410659909248352,0.25460347533226013,0.22238171100616455,0.11279727518558502
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.371569961309433,0.2418757975101471,0.5352458953857422,0.3244723975658417,0.5352458953857422,0.23612159490585327,0.21931332349777222,0.4130953550338745
