,when,did,france,begin,in,earnest,to,rebuild,its,global,empire,?
france,0.24438227713108063,0.2138325721025467,1.0000001192092896,0.1641935557126999,0.3812309503555298,0.14410410821437836,0.2670897841453552,0.18940335512161255,0.21158620715141296,0.07433265447616577,0.25791844725608826,0.15069349110126495
took,0.25529301166534424,0.42470768094062805,0.23143109679222107,0.25463297963142395,0.2818296551704407,0.19845013320446014,0.24576251208782196,0.2149040549993515,0.2040078341960907,0.11233866959810257,0.23297956585884094,0.14109265804290771
control,0.3260348439216614,0.22942528128623962,0.19930024445056915,0.20892055332660675,0.24831421673297882,0.09133496135473251,0.28164729475975037,0.25676989555358887,0.23098616302013397,0.18060678243637085,0.27420011162757874,0.1620711386203766
of,0.3757161796092987,0.2513895630836487,0.3265724182128906,0.24830074608325958,0.5696388483047485,0.2134242206811905,0.41548454761505127,0.1881089210510254,0.48690423369407654,0.19114547967910767,0.30522286891937256,0.1826142966747284
algeria,0.1514066457748413,0.035289864987134933,0.3980414569377899,0.1273597925901413,0.2257280796766281,0.06273072212934494,0.10015332698822021,0.0808052346110344,0.19145607948303223,0.08431617170572281,0.24413447082042694,0.192555770277977
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.2903634011745453,1.0,0.214521586894989,0.45010748505592346,0.24307963252067566,0.3793783485889435,0.10151144117116928,0.24110576510429382,0.20430970191955566
1830,-0.04393759369850159,-0.15325585007667542,0.017700091004371643,-0.001158319995738566,0.04449261724948883,-0.031138716265559196,-0.01621325872838497,0.013020014390349388,0.02105245552957058,-0.0717921257019043,-0.05869506299495697,-0.007744183298200369
but,0.5599016547203064,0.49033689498901367,0.25404971837997437,0.27360019087791443,0.48674455285072327,0.19289910793304443,0.5542377829551697,0.22830066084861755,0.39362356066703796,0.16523872315883636,0.22501397132873535,0.27921953797340393
began,0.25673019886016846,0.4415510594844818,0.20842383801937103,0.49711355566978455,0.34154343605041504,0.20267580449581146,0.2731419503688812,0.23890343308448792,0.17474952340126038,0.1597745418548584,0.21061348915100098,0.1370266228914261
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.2903634011745453,1.0,0.214521586894989,0.45010748505592346,0.24307963252067566,0.3793783485889435,0.10151144117116928,0.24110576510429382,0.20430970191955566
earnest,0.15945471823215485,0.19778895378112793,0.14410410821437836,0.07934724539518356,0.214521586894989,1.0,0.18435750901699066,0.19415782392024994,0.2088959664106369,0.1546831876039505,0.2246767282485962,0.21694941818714142
to,0.5423505902290344,0.4452643394470215,0.2670897841453552,0.33302420377731323,0.45010748505592346,0.18435750901699066,1.0,0.3312245309352875,0.3691340684890747,0.21649709343910217,0.21448755264282227,0.29463258385658264
rebuild,0.24728108942508698,0.2595549523830414,0.18940335512161255,0.30712786316871643,0.24307963252067566,0.19415782392024994,0.3312245309352875,1.0,0.27338626980781555,0.1817818135023117,0.31624308228492737,0.11057925969362259
its,0.34032323956489563,0.19922670722007751,0.21158620715141296,0.20967066287994385,0.3793783485889435,0.2088959664106369,0.3691340684890747,0.27338626980781555,1.0,0.2026664763689041,0.22907911241054535,0.15103481709957123
worldwide,0.19179211556911469,0.13039597868919373,0.21819981932640076,0.18299594521522522,0.30781108140945435,0.28507059812545776,0.24071235954761505,0.20940010249614716,0.31206104159355164,0.3891627788543701,0.18316501379013062,0.2253960371017456
empire,0.18422111868858337,0.18850058317184448,0.25791844725608826,0.1359957456588745,0.24110576510429382,0.2246767282485962,0.21448755264282227,0.31624308228492737,0.22907911241054535,0.16622784733772278,1.0000001192092896,0.14909450709819794
after,0.5331412553787231,0.30330467224121094,0.2599034905433655,0.4157010316848755,0.44050168991088867,0.1876620352268219,0.37890323996543884,0.2426624894142151,0.29879069328308105,0.10509860515594482,0.23534879088401794,0.16608688235282898
1850,0.21821586787700653,0.19959712028503418,0.09786742925643921,0.14604909718036652,0.10522118210792542,0.04325535148382187,0.24923360347747803,0.06801151484251022,0.1906498223543167,0.18166674673557281,0.14661961793899536,0.369617223739624
",",0.36674630641937256,0.3015086054801941,0.28250643610954285,0.27304404973983765,0.5201468467712402,0.2553825378417969,0.44245919585227966,0.1831716001033783,0.33157986402511597,0.1937657743692398,0.27646857500076294,0.31091248989105225
concentrating,0.3017951548099518,0.18564537167549133,0.15172095596790314,0.15214885771274567,0.28362831473350525,0.20721402764320374,0.28611940145492554,0.17192287743091583,0.24275431036949158,0.14888210594654083,0.1758265197277069,0.14677777886390686
chiefly,0.26096346974372864,0.1774693727493286,0.17283272743225098,0.16398932039737701,0.2564065158367157,0.11856886744499207,0.22845281660556793,0.09758821874856949,0.21992285549640656,0.05098768323659897,0.15649382770061493,0.021524203941226006
in,0.4431333839893341,0.2593238651752472,0.3812309503555298,0.2903634011745453,1.0,0.214521586894989,0.45010748505592346,0.24307963252067566,0.3793783485889435,0.10151144117116928,0.24110576510429382,0.20430970191955566
north,0.21003669500350952,0.16732536256313324,0.28069406747817993,0.1443755179643631,0.39050599932670593,0.16140207648277283,0.2743184268474579,0.19033323228359222,0.25565099716186523,0.1539144068956375,0.26033562421798706,0.11829731613397598
and,0.4716290831565857,0.34479495882987976,0.2925812005996704,0.2599445581436157,0.4954058527946472,0.21666327118873596,0.48971283435821533,0.22636805474758148,0.3841775357723236,0.22193439304828644,0.27479609847068787,0.20544172823429108
west,0.1639508605003357,0.16852347552776337,0.26655134558677673,0.12943893671035767,0.34078434109687805,0.16747820377349854,0.24611181020736694,0.16142244637012482,0.24631395936012268,0.10147593915462494,0.2464679777622223,0.12088293582201004
africa,0.18735390901565552,0.1931072473526001,0.3494209945201874,0.14424313604831696,0.27806714177131653,0.16933724284172058,0.23667606711387634,0.17334508895874023,0.21967549622058868,0.2154543399810791,0.3045766353607178,0.12926554679870605
",",0.36674630641937256,0.3015086054801941,0.28250643610954285,0.27304404973983765,0.5201468467712402,0.2553825378417969,0.44245919585227966,0.1831716001033783,0.33157986402511597,0.1937657743692398,0.27646857500076294,0.31091248989105225
as,0.4437963366508484,0.3596470057964325,0.19034622609615326,0.20308734476566315,0.3887844979763031,0.24291354417800903,0.42092081904411316,0.19662094116210938,0.31874480843544006,0.1667635440826416,0.21108263731002808,0.27043893933296204
well,0.33199459314346313,0.4341743588447571,0.18028524518013,0.2635148763656616,0.36612698435783386,0.2971366047859192,0.3422003388404846,0.18054869771003723,0.3455803096294403,0.18243952095508575,0.2055317759513855,0.24815571308135986
as,0.4437963366508484,0.3596470057964325,0.19034622609615326,0.20308734476566315,0.3887844979763031,0.24291354417800903,0.42092081904411316,0.19662094116210938,0.31874480843544006,0.1667635440826416,0.21108263731002808,0.27043893933296204
south-east,0.27979180216789246,0.2154894471168518,0.3119162619113922,0.21306900680065155,0.3717368543148041,0.21956495940685272,0.3094143569469452,0.25545600056648254,0.3222086429595947,0.2189473658800125,0.29856154322624207,0.25255709886550903
