,in,the,capabilities,approach,",",grow,and,income,are,considered,a,means,to,an,end,rather,than,what,?
unlike,0.28453120589256287,0.35607239603996277,0.33548763394355774,0.217245951294899,0.27131539583206177,0.24796128273010254,0.4084906280040741,0.1511644423007965,0.4607468843460083,0.30307134985923767,0.29892557859420776,0.3454088866710663,0.30143481492996216,0.13903270661830902,0.15490056574344635,0.40321996808052063,0.4215194880962372,0.25655338168144226,0.12876726686954498
neoliberalism,0.16907264292240143,0.21065960824489594,0.19521643221378326,0.29858359694480896,0.2003210186958313,0.21123823523521423,0.2099558264017105,0.3305816650390625,0.17579957842826843,0.2693810760974884,0.19373662769794464,0.1658804565668106,0.20250898599624634,0.1486746221780777,0.1631058305501938,0.27465710043907166,0.15895871818065643,0.2949136197566986,0.19547182321548462
",",0.5201468467712402,0.4933079481124878,0.21266590058803558,0.3155236542224884,1.0000001192092896,0.2585790455341339,0.6633074283599854,0.19703416526317596,0.4062570035457611,0.32932984828948975,0.427140474319458,0.24041147530078888,0.44245919585227966,0.3581022024154663,0.25448864698410034,0.276650071144104,0.3371901512145996,0.3087472915649414,0.31091248989105225
which,0.4840516746044159,0.6521818041801453,0.32887282967567444,0.23073109984397888,0.3658004403114319,0.27851441502571106,0.506277859210968,0.2455010861158371,0.42922598123550415,0.32509535551071167,0.56894451379776,0.4002026617527008,0.5345056653022766,0.3611921966075897,0.31110426783561707,0.45570456981658936,0.3974681496620178,0.5261979103088379,0.25814583897590637
“,0.006943287327885628,-0.004561804234981537,-0.08671193569898605,-0.022829392924904823,-0.0442761592566967,-0.0691869780421257,-0.03324910253286362,-0.04641890898346901,-0.10645485669374466,-0.044353045523166656,-0.026146769523620605,-0.06551069021224976,-0.0772603452205658,0.0018988619558513165,-0.058911461383104324,-0.03368757665157318,0.0009474363178014755,-0.009074612520635128,-0.043535903096199036
defines,0.23515373468399048,0.27586790919303894,0.2873677611351013,0.3095497786998749,0.21206256747245789,0.14414101839065552,0.2444390207529068,0.22673019766807556,0.2817624509334564,0.34027206897735596,0.28742772340774536,0.286190003156662,0.2542583644390106,0.23641544580459595,0.190390482544899,0.30978742241859436,0.2648070752620697,0.3243766129016876,0.2590562403202057
well-being,0.3292508125305176,0.4274795949459076,0.36090266704559326,0.2410271316766739,0.3922356367111206,0.18378625810146332,0.4705923795700073,0.2685844898223877,0.32859495282173157,0.3426378667354584,0.3184071481227875,0.1854897141456604,0.41242629289627075,0.31086787581443787,0.22750818729400635,0.35853901505470276,0.3243621587753296,0.3161223232746124,0.27211615443229675
as,0.3887844979763031,0.48381632566452026,0.2423628866672516,0.18802350759506226,0.48816442489624023,0.22178804874420166,0.49487000703811646,0.1530616581439972,0.3826591968536377,0.4031961262226105,0.39550232887268066,0.19043149054050446,0.42092081904411316,0.37218472361564636,0.23417671024799347,0.38414403796195984,0.40532299876213074,0.31749409437179565,0.27043893933296204
utility,0.20060469210147858,0.20175418257713318,0.42102211713790894,0.17091815173625946,0.22275474667549133,0.1278306096792221,0.24678480625152588,0.26749610900878906,0.2512670159339905,0.22177410125732422,0.25070878863334656,0.20019185543060303,0.19861730933189392,0.19497047364711761,0.14193515479564667,0.3069758415222168,0.25845906138420105,0.170489102602005,0.18713216483592987
maximization,0.20862777531147003,0.3155091106891632,0.4576331377029419,0.37386786937713623,0.20872513949871063,0.19518090784549713,0.24524803459644318,0.2595047950744629,0.20396031439304352,0.21786357462406158,0.285197913646698,0.23106802999973297,0.3237641751766205,0.24037569761276245,0.16742287576198578,0.317890465259552,0.24282799661159515,0.28590288758277893,0.22545793652534485
