,where,did,iroquois,confederation,control,?
the,0.5003893971443176,0.34736719727516174,0.2624127268791199,0.338320255279541,0.32841500639915466,0.22068053483963013
iroquois,0.21375933289527893,0.19495415687561035,1.0,0.31344491243362427,0.15267810225486755,0.0784907415509224
confederation,0.18015018105506897,0.18002651631832123,0.31344491243362427,1.0000001192092896,0.18724818527698517,0.1559038907289505
dominated,0.21763503551483154,0.16052448749542236,0.21301980316638947,0.15342019498348236,0.22236594557762146,0.04715321213006973
much,0.30434560775756836,0.37947356700897217,0.12327942997217178,0.15186694264411926,0.2492729127407074,0.23442231118679047
of,0.38066378235816956,0.2513895630836487,0.1605978161096573,0.3036113679409027,0.2817542552947998,0.1826142966747284
present-day,0.21362127363681793,0.20096364617347717,0.19390815496444702,0.2083149552345276,0.12090232223272324,0.24972984194755554
upstate,0.3488340377807617,0.18695494532585144,0.301085889339447,0.19019527733325958,0.18496982753276825,0.14368309080600739
new,0.26026442646980286,0.227974995970726,0.1983601301908493,0.17923623323440552,0.19091030955314636,0.14782847464084625
york,0.21910661458969116,0.16606222093105316,0.23905247449874878,0.14293263852596283,0.13908743858337402,0.15262620151042938
and,0.43859338760375977,0.34479495882987976,0.16835255920886993,0.2237556129693985,0.29790008068084717,0.20544172823429108
the,0.5003893971443176,0.34736719727516174,0.2624127268791199,0.338320255279541,0.32841500639915466,0.22068053483963013
ohio,0.2284250259399414,0.11018496751785278,0.2487480789422989,0.22398899495601654,0.09233073890209198,0.10064033418893814
country,0.2450796216726303,0.24348343908786774,0.22453957796096802,0.2761087417602539,0.1707092523574829,0.12647280097007751
",",0.3149496018886566,0.3015086054801941,0.22774100303649902,0.23066601157188416,0.20811550319194794,0.31091248989105225
although,0.2586391270160675,0.29252153635025024,0.17318658530712128,0.14466945827007294,0.14331024885177612,0.15541206300258636
the,0.5003893971443176,0.34736719727516174,0.2624127268791199,0.338320255279541,0.32841500639915466,0.22068053483963013
latter,0.2508080005645752,0.18721601366996765,0.16029943525791168,0.21165689826011658,0.12957794964313507,0.12733961641788483
also,0.5413004159927368,0.39334940910339355,0.22050072252750397,0.20145824551582336,0.26935648918151855,0.21848613023757935
included,0.18757428228855133,0.32908451557159424,0.12815725803375244,0.15864858031272888,0.15849624574184418,0.14385655522346497
algonquian-speaking,0.286569207906723,0.18936574459075928,0.49911049008369446,0.4015721082687378,0.15467298030853271,0.22191788256168365
populations,0.1923121213912964,0.10798442363739014,0.22296306490898132,0.19346760213375092,0.24797527492046356,0.17519071698188782
of,0.38066378235816956,0.2513895630836487,0.1605978161096573,0.3036113679409027,0.2817542552947998,0.1826142966747284
delaware,0.2482679933309555,0.2002834528684616,0.3381304144859314,0.22246874868869781,0.19025324285030365,0.08925230801105499
and,0.43859338760375977,0.34479495882987976,0.16835255920886993,0.2237556129693985,0.29790008068084717,0.20544172823429108
shawnee,0.2501750886440277,0.22561343014240265,0.40869981050491333,0.3124457895755768,0.12477394938468933,0.10573713481426239
",",0.3149496018886566,0.3015086054801941,0.22774100303649902,0.23066601157188416,0.20811550319194794,0.31091248989105225
as,0.35409465432167053,0.3596470057964325,0.15800927579402924,0.19671228528022766,0.18926969170570374,0.27043893933296204
well,0.4122413992881775,0.4341743588447571,0.1797899454832077,0.18210844695568085,0.23414066433906555,0.24815571308135986
as,0.35409465432167053,0.3596470057964325,0.15800927579402924,0.19671228528022766,0.18926969170570374,0.27043893933296204
iroquoian-speaking,0.29775646328926086,0.27579590678215027,0.7615728974342346,0.39263471961021423,0.2215813547372818,0.214143767952919
mingo,0.12710152566432953,0.1286342889070511,0.13507096469402313,0.16244472563266754,0.05277612805366516,0.125519797205925
.,0.41390106081962585,0.35288307070732117,0.2072010040283203,0.2577512562274933,0.24319837987422943,0.4130953550338745
