,which,shaman,'s,proclamation,aided,temüjin,'s,rise,?
due,0.26323074102401733,0.10184288769960403,0.03925589844584465,0.12102681398391724,0.3008882701396942,0.2312108874320984,0.03925589844584465,0.21735215187072754,0.10954997688531876
to,0.5345056653022766,0.19475963711738586,0.03782717138528824,0.2827853858470917,0.2677713632583618,0.36858871579170227,0.03782717138528824,0.23256368935108185,0.29463258385658264
his,0.32283493876457214,0.23496276140213013,0.047556519508361816,0.24188897013664246,0.3214176893234253,0.4682264029979706,0.047556519508361816,0.15867498517036438,0.18075084686279297
earlier,0.29554668068885803,0.14681996405124664,0.04531743377447128,0.17637687921524048,0.16277574002742767,0.2284124791622162,0.04531743377447128,0.16841229796409607,0.13306351006031036
defeat,0.21279670298099518,0.16759434342384338,-0.0009251622832380235,0.2285437285900116,0.29447051882743835,0.32097387313842773,-0.0009251622832380235,0.23018048703670502,0.12980464100837708
of,0.5011631846427917,0.15333613753318787,-0.03817026689648628,0.31100159883499146,0.27076175808906555,0.378805011510849,-0.03817026689648628,0.2733727991580963,0.1826142966747284
the,0.6521818041801453,0.2119491547346115,-0.01540423184633255,0.3199230134487152,0.2719253599643707,0.43713900446891785,-0.01540423184633255,0.3404741883277893,0.22068053483963013
merkits,0.3540051579475403,0.3662138879299164,0.004397073294967413,0.1998395174741745,0.21576641499996185,0.4439863860607147,0.004397073294967413,0.23172052204608917,0.22220851480960846
",",0.3658004403114319,0.21655453741550446,-0.0016132977325469255,0.30962246656417847,0.20461249351501465,0.3484273850917816,-0.0016132977325469255,0.2350703477859497,0.31091248989105225
and,0.506277859210968,0.19367744028568268,0.06895173341035843,0.20539095997810364,0.2583977282047272,0.3789469599723816,0.06895173341035843,0.2639505863189697,0.20544172823429108
a,0.56894451379776,0.1928129345178604,0.04866964742541313,0.166829913854599,0.2323249876499176,0.36845725774765015,0.04866964742541313,0.2110608071088791,0.23916715383529663
proclamation,0.2718118727207184,0.2120853066444397,-0.0037536511663347483,0.9999998807907104,0.1978451907634735,0.292950838804245,-0.0037536511663347483,0.14869551360607147,0.2521890103816986
by,0.40543368458747864,0.14276397228240967,-0.010884488001465797,0.25736427307128906,0.29963624477386475,0.2763390839099884,-0.010884488001465797,0.18536683917045593,0.17966607213020325
the,0.6521818041801453,0.2119491547346115,-0.01540423184633255,0.3199230134487152,0.2719253599643707,0.43713900446891785,-0.01540423184633255,0.3404741883277893,0.22068053483963013
shaman,0.18386036157608032,0.9999999403953552,-0.0036616437137126923,0.2120853066444397,0.24360503256320953,0.4628673493862152,-0.0036616437137126923,0.1824660748243332,0.17501519620418549
kokochu,0.2711469233036041,0.35910600423812866,-0.01000910997390747,0.2403412163257599,0.19159100949764252,0.43407902121543884,-0.01000910997390747,0.11096708476543427,0.2262604981660843
that,0.6894589066505432,0.23410992324352264,0.04397977516055107,0.2848602831363678,0.20443487167358398,0.4035418629646301,0.04397977516055107,0.26001712679862976,0.32716336846351624
the,0.6521818041801453,0.2119491547346115,-0.01540423184633255,0.3199230134487152,0.2719253599643707,0.43713900446891785,-0.01540423184633255,0.3404741883277893,0.22068053483963013
eternal,0.23527468740940094,0.3161754906177521,0.11692248284816742,0.30592086911201477,0.1359483301639557,0.3144676983356476,0.11692248284816742,0.1345536857843399,0.21455733478069305
