,who,did,peyton,manning,play,for,as,a,rookie,?
under,0.2962189018726349,0.20815621316432953,0.15089628100395203,0.16125793755054474,0.06008297577500343,0.2930702269077301,0.29018887877464294,0.18317826092243195,0.11576872318983078,0.18233340978622437
kubiak,0.1886254996061325,0.1598021686077118,0.2869776487350464,0.3307993710041046,0.18532447516918182,0.19223859906196594,0.1885330080986023,0.18171140551567078,0.3499145805835724,0.15975911915302277
",",0.3365725874900818,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.2231253683567047,0.4464869201183319,0.48816442489624023,0.427140474319458,0.15723872184753418,0.31091248989105225
the,0.3733934462070465,0.34736719727516174,0.2709864377975464,0.27058160305023193,0.24793598055839539,0.4739971458911896,0.48381632566452026,0.5829201340675354,0.2438497394323349,0.22068053483963013
broncos,0.1763724684715271,0.1738176792860031,0.34262970089912415,0.4807402193546295,0.3148726522922516,0.2739109396934509,0.23052668571472168,0.19771797955036163,0.49952560663223267,0.18377114832401276
planned,0.189250648021698,0.3708326518535614,0.15622061491012573,0.17176447808742523,0.19249045848846436,0.21071262657642365,0.19086168706417084,0.23569394648075104,0.17109033465385437,0.16188396513462067
to,0.42656609416007996,0.4452643394470215,0.2003074735403061,0.24857525527477264,0.272149920463562,0.4451248347759247,0.42092081904411316,0.45503583550453186,0.10144312679767609,0.29463258385658264
install,0.20267795026302338,0.20188073813915253,0.09669452160596848,0.1562677025794983,0.142830029129982,0.20524868369102478,0.1888538897037506,0.24359191954135895,0.12464563548564911,0.2745343744754791
a,0.36608949303627014,0.2552328109741211,0.298135370016098,0.2509649395942688,0.21130098402500153,0.44038116931915283,0.39550232887268066,1.0,0.18722648918628693,0.23916715383529663
run-oriented,0.17028045654296875,0.1544562131166458,0.1626219004392624,0.1429678052663803,0.18768222630023956,0.22871020436286926,0.18441052734851837,0.3239158093929291,0.13276901841163635,0.10559862107038498
offense,0.28307947516441345,0.2501390278339386,0.2102200835943222,0.2943726181983948,0.2035091370344162,0.313084214925766,0.2653349041938782,0.27293452620506287,0.3485669195652008,0.28476977348327637
with,0.3282766342163086,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.2415807843208313,0.39140474796295166,0.40387406945228577,0.3783375024795532,0.21591220796108246,0.2433311939239502
zone,0.11138155311346054,0.071926049888134,0.14792273938655853,0.053107570856809616,0.0960111990571022,0.188797265291214,0.1906251460313797,0.19739283621311188,0.16317471861839294,0.1173049733042717
blocking,0.217539981007576,0.24039672315120697,0.21790435910224915,0.24728354811668396,0.2172202169895172,0.3149373233318329,0.2642877697944641,0.29643499851226807,0.2189580202102661,0.3374691307544708
to,0.42656609416007996,0.4452643394470215,0.2003074735403061,0.24857525527477264,0.272149920463562,0.4451248347759247,0.42092081904411316,0.45503583550453186,0.10144312679767609,0.29463258385658264
blend,0.18596486747264862,0.2093445062637329,0.1188042089343071,0.057108473032712936,0.2240820676088333,0.2070685476064682,0.2518085539340973,0.23237863183021545,0.05911637842655182,0.09344823658466339
in,0.2792111933231354,0.2593238651752472,0.25605714321136475,0.22345924377441406,0.24321173131465912,0.4322226941585541,0.3887844979763031,0.539380669593811,0.19899246096611023,0.20430970191955566
with,0.3282766342163086,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.2415807843208313,0.39140474796295166,0.40387406945228577,0.3783375024795532,0.21591220796108246,0.2433311939239502
quarterback,0.17410103976726532,0.13718701899051666,0.4457186758518219,0.5449647903442383,0.32953891158103943,0.2683273255825043,0.2484835833311081,0.20472733676433563,0.5199729800224304,0.13221268355846405
peyton,0.2135157585144043,0.22208823263645172,1.0,0.5102329254150391,0.27448466420173645,0.30435749888420105,0.2639015316963196,0.298135370016098,0.43274959921836853,0.17519715428352356
manning,0.33436715602874756,0.22743284702301025,0.5102329254150391,0.9999998807907104,0.2523941099643707,0.33057859539985657,0.27189740538597107,0.2509649395942688,0.38728052377700806,0.15856626629829407
's,0.05599616840481758,0.05069678649306297,0.09018818289041519,0.021839646622538567,0.08983290195465088,-0.07241261005401611,-0.05775856226682663,0.04866964742541313,-0.02346658706665039,-0.023395681753754616
shotgun,0.20518219470977783,0.15222321450710297,0.1468648612499237,0.24297918379306793,0.1728295385837555,0.21214404702186584,0.14126218855381012,0.2654953598976135,0.21700990200042725,0.22133255004882812
passing,0.14387445151805878,0.16936171054840088,0.3034971356391907,0.3786384165287018,0.18252788484096527,0.2578018009662628,0.250184565782547,0.26634570956230164,0.2906970679759979,0.10353918373584747
skills,0.3790695369243622,0.28397253155708313,0.11838818341493607,0.31806865334510803,0.2622700333595276,0.37810173630714417,0.25489968061447144,0.24761129915714264,0.21962378919124603,0.1864275485277176
",",0.3365725874900818,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.2231253683567047,0.4464869201183319,0.48816442489624023,0.427140474319458,0.15723872184753418,0.31091248989105225
but,0.4487357437610626,0.49033689498901367,0.22605301439762115,0.1814679205417633,0.24735544621944427,0.45162561535835266,0.4864770472049713,0.44750767946243286,0.1615755409002304,0.27921953797340393
struggled,0.32841312885284424,0.33638468384742737,0.2460596263408661,0.32621222734451294,0.24092350900173187,0.27875515818595886,0.2303638607263565,0.21445885300636292,0.26871079206466675,0.11264374107122421
with,0.3282766342163086,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.2415807843208313,0.39140474796295166,0.40387406945228577,0.3783375024795532,0.21591220796108246,0.2433311939239502
numerous,0.24434210360050201,0.18944735825061798,0.07582420855760574,0.1411495804786682,0.11978556215763092,0.2626895606517792,0.29683956503868103,0.1547548472881317,0.15896621346473694,0.0875130444765091
changes,0.20586563646793365,0.18026256561279297,0.12421796470880508,0.13276906311511993,0.12793752551078796,0.25747987627983093,0.252431720495224,0.26482418179512024,0.1823970228433609,0.21264225244522095
and,0.41279885172843933,0.34479495882987976,0.27112144231796265,0.2638654112815857,0.25634777545928955,0.5064792633056641,0.49487000703811646,0.3739250600337982,0.1566481590270996,0.20544172823429108
injuries,0.2513408958911896,0.24862822890281677,0.1686098426580429,0.21293193101882935,0.18216612935066223,0.1857195645570755,0.18626248836517334,0.23060233891010284,0.31479427218437195,0.14870837330818176
to,0.42656609416007996,0.4452643394470215,0.2003074735403061,0.24857525527477264,0.272149920463562,0.4451248347759247,0.42092081904411316,0.45503583550453186,0.10144312679767609,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,0.2709864377975464,0.27058160305023193,0.24793598055839539,0.4739971458911896,0.48381632566452026,0.5829201340675354,0.2438497394323349,0.22068053483963013
offensive,0.20906679332256317,0.21477669477462769,0.206356942653656,0.3746066689491272,0.2172887921333313,0.28388088941574097,0.2374688982963562,0.22588013112545013,0.4052051901817322,0.20278584957122803
line,0.1774713397026062,0.14681050181388855,0.11005013436079025,0.16799555718898773,0.17768004536628723,0.2019100785255432,0.22621846199035645,0.23499317467212677,0.13323117792606354,0.16271452605724335
",",0.3365725874900818,0.3015086054801941,0.2979121208190918,0.30921146273612976,0.2231253683567047,0.4464869201183319,0.48816442489624023,0.427140474319458,0.15723872184753418,0.31091248989105225
as,0.3923053741455078,0.3596470057964325,0.2639015316963196,0.27189740538597107,0.2074424922466278,0.44774648547172546,1.0,0.39550232887268066,0.15790551900863647,0.27043893933296204
well,0.3480316996574402,0.4341743588447571,0.2668089270591736,0.2037324160337448,0.25960829854011536,0.46352139115333557,0.5532534718513489,0.320642352104187,0.1375739574432373,0.24815571308135986
as,0.3923053741455078,0.3596470057964325,0.2639015316963196,0.27189740538597107,0.2074424922466278,0.44774648547172546,1.0,0.39550232887268066,0.15790551900863647,0.27043893933296204
manning,0.33436715602874756,0.22743284702301025,0.5102329254150391,0.9999998807907104,0.2523941099643707,0.33057859539985657,0.27189740538597107,0.2509649395942688,0.38728052377700806,0.15856626629829407
having,0.4130314290523529,0.3157401978969574,0.1779460459947586,0.21502387523651123,0.17905408143997192,0.38465240597724915,0.36958321928977966,0.3929923176765442,0.16752804815769196,0.22418256103992462
his,0.44966956973075867,0.3546801507472992,0.2884127199649811,0.33460527658462524,0.26032835245132446,0.39312878251075745,0.3146366477012634,0.3497250974178314,0.2639605402946472,0.18075084686279297
worst,0.14436687529087067,0.20719465613365173,0.2510753571987152,0.17082956433296204,0.13224871456623077,0.17950598895549774,0.22892223298549652,0.12921255826950073,0.23843608796596527,0.21551604568958282
statistical,0.14060083031654358,0.15267586708068848,0.1878281682729721,0.19371788203716278,0.10482370853424072,0.2499827891588211,0.2187386304140091,0.19563883543014526,0.21080267429351807,0.1697750836610794
season,0.13809308409690857,0.19368280470371246,0.37801364064216614,0.33529460430145264,0.32110530138015747,0.24490800499916077,0.22911055386066437,0.1855505406856537,0.46761253476142883,0.16793298721313477
since,0.27765995264053345,0.27613121271133423,0.13916508853435516,0.13168372213840485,0.15195776522159576,0.36751601099967957,0.36245352029800415,0.3303585946559906,0.13785722851753235,0.2876587212085724
his,0.44966956973075867,0.3546801507472992,0.2884127199649811,0.33460527658462524,0.26032835245132446,0.39312878251075745,0.3146366477012634,0.3497250974178314,0.2639605402946472,0.18075084686279297
rookie,0.17461314797401428,0.17795857787132263,0.43274959921836853,0.38728052377700806,0.32962092757225037,0.234993115067482,0.15790551900863647,0.18722648918628693,1.0,0.14955708384513855
year,0.2851492762565613,0.21422851085662842,0.23666128516197205,0.2521476149559021,0.2081693410873413,0.29294124245643616,0.28440728783607483,0.29350247979164124,0.45677095651626587,0.18315006792545319
with,0.3282766342163086,0.25472134351730347,0.23540177941322327,0.18539859354496002,0.2415807843208313,0.39140474796295166,0.40387406945228577,0.3783375024795532,0.21591220796108246,0.2433311939239502
the,0.3733934462070465,0.34736719727516174,0.2709864377975464,0.27058160305023193,0.24793598055839539,0.4739971458911896,0.48381632566452026,0.5829201340675354,0.2438497394323349,0.22068053483963013
