,why,is,the,public,library,known,as,a,people,'s,university,?
a,0.2667238116264343,0.658733606338501,0.5829201340675354,0.19607044756412506,0.13480092585086823,0.30882248282432556,0.39550232887268066,1.0,0.3483705520629883,0.04866964742541313,0.20256656408309937,0.23916715383529663
public,0.19395671784877777,0.1980048567056656,0.22857438027858734,1.0000001192092896,0.333901047706604,0.20257171988487244,0.2423635572195053,0.19607044756412506,0.2638770341873169,0.060657959431409836,0.35987716913223267,0.19872993230819702
library,0.11035113036632538,0.16916222870349884,0.19920319318771362,0.333901047706604,0.9999999403953552,0.14185714721679688,0.19044850766658783,0.13480092585086823,0.17288841307163239,-0.09959429502487183,0.3760603964328766,0.18938742578029633
is,0.26410171389579773,1.0,0.5823672413825989,0.1980048567056656,0.16916222870349884,0.41921812295913696,0.43216490745544434,0.658733606338501,0.34254953265190125,0.02396530658006668,0.20346471667289734,0.22961433231830597
seen,0.3148857057094574,0.2670730948448181,0.3442007005214691,0.21370749175548553,0.1185111254453659,0.32485508918762207,0.35132327675819397,0.26090866327285767,0.21240337193012238,-0.00155794492457062,0.10800249874591827,0.2567344307899475
as,0.3103298544883728,0.43216490745544434,0.48381632566452026,0.2423635572195053,0.19044850766658783,0.4815765619277954,1.0,0.39550232887268066,0.15704652667045593,-0.05775856226682663,0.21858684718608856,0.27043893933296204
a,0.2667238116264343,0.658733606338501,0.5829201340675354,0.19607044756412506,0.13480092585086823,0.30882248282432556,0.39550232887268066,1.0,0.3483705520629883,0.04866964742541313,0.20256656408309937,0.23916715383529663
peoples,0.2078719586133957,0.21010412275791168,0.3388310670852661,0.1215057447552681,0.13388603925704956,0.15271054208278656,0.24019794166088104,0.1869891732931137,0.5597565174102783,0.01773298718035221,0.1597973108291626,0.2085462063550949
university,0.18185217678546906,0.20346471667289734,0.263973206281662,0.35987716913223267,0.3760603964328766,0.15387564897537231,0.21858684718608856,0.20256656408309937,0.25475627183914185,-0.007441582623869181,1.0,0.11887256056070328
since,0.3056725263595581,0.3567592203617096,0.4054957628250122,0.19604887068271637,0.154753178358078,0.20788158476352692,0.36245352029800415,0.3303585946559906,0.2502933144569397,-0.04899144917726517,0.18180672824382782,0.2876587212085724
it,0.376611590385437,0.6328473687171936,0.6251175999641418,0.2047269344329834,0.1741359829902649,0.2640952467918396,0.4461488723754883,0.5452592968940735,0.3940119743347168,0.06608816236257553,0.20301668345928192,0.25732165575027466
is,0.26410171389579773,1.0,0.5823672413825989,0.1980048567056656,0.16916222870349884,0.41921812295913696,0.43216490745544434,0.658733606338501,0.34254953265190125,0.02396530658006668,0.20346471667289734,0.22961433231830597
open,0.18968740105628967,0.1846783459186554,0.2764171361923218,0.3174091577529907,0.14451533555984497,0.10489039123058319,0.1737249791622162,0.21603602170944214,0.1403774470090866,0.010282238945364952,0.09454534202814102,0.20715104043483734
to,0.4100138247013092,0.42745086550712585,0.535392165184021,0.2672370672225952,0.19252733886241913,0.14337651431560516,0.42092081904411316,0.45503583550453186,0.37275731563568115,0.03782717138528824,0.20192374289035797,0.29463258385658264
all,0.3601224720478058,0.2553904056549072,0.4860881567001343,0.17971737682819366,0.1298113465309143,0.13808979094028473,0.33195313811302185,0.2696802616119385,0.31366872787475586,0.03181743621826172,0.19795121252536774,0.29575422406196594
