,to,what,century,did,the,idea,of,ether,belong,?
he,0.385390967130661,0.3114890456199646,0.24624104797840118,0.3292143940925598,0.4571082592010498,0.26744645833969116,0.38706058263778687,0.11415695399045944,0.17451295256614685,0.2089974731206894
was,0.3636345863342285,0.22111038863658905,0.3521432876586914,0.41399896144866943,0.48711544275283813,0.2835119664669037,0.4069072902202606,0.1248258426785469,0.18046513199806213,0.18412111699581146
a,0.45503583550453186,0.3320399522781372,0.19417014718055725,0.2552328109741211,0.5829201340675354,0.3483608067035675,0.5052502155303955,0.2924780547618866,0.21660050749778748,0.23916715383529663
believer,0.3161185383796692,0.3753257989883423,0.24777373671531677,0.36132752895355225,0.25587600469589233,0.44080299139022827,0.25517794489860535,0.24676060676574707,0.2444046288728714,0.2449558973312378
in,0.45010748505592346,0.30808621644973755,0.3174034655094147,0.2593238651752472,0.6662389636039734,0.20288406312465668,0.5696388483047485,0.21085920929908752,0.23382951319217682,0.20430970191955566
the,0.535392165184021,0.42745697498321533,0.3617299497127533,0.34736719727516174,1.0,0.2839161455631256,0.733189046382904,0.15837442874908447,0.27031847834587097,0.22068053483963013
19th,0.18742936849594116,0.11525199562311172,0.25699272751808167,0.11936882883310318,0.24964287877082825,0.12251516431570053,0.16605104506015778,0.2046208530664444,-0.027034927159547806,0.004712673369795084
century,0.20143604278564453,0.20422613620758057,1.0,0.2333737462759018,0.3617299497127533,0.23535291850566864,0.2826060354709625,0.11944477260112762,0.19246555864810944,0.1026201918721199
concept,0.2465057224035263,0.28724339604377747,0.25975608825683594,0.2316831350326538,0.2355310022830963,0.5623390674591064,0.24082158505916595,0.30627739429473877,0.19928012788295746,0.17160645127296448
of,0.41548454761505127,0.33290785551071167,0.2826060354709625,0.2513895630836487,0.733189046382904,0.2342950403690338,1.0,0.13518854975700378,0.2644003629684448,0.1826142966747284
an,0.3138085603713989,0.2821882665157318,0.185816690325737,0.22598257660865784,0.4207492768764496,0.1786234825849533,0.32280945777893066,0.22199034690856934,0.18546876311302185,0.19793890416622162
all,0.42520734667778015,0.41981086134910583,0.19341745972633362,0.33943864703178406,0.4860881567001343,0.3100358247756958,0.42798417806625366,0.15956567227840424,0.3444082736968994,0.29575422406196594
pervasive,0.2178981602191925,0.27318862080574036,0.23064856231212616,0.13873009383678436,0.21706761419773102,0.1766074150800705,0.25707682967185974,0.24451522529125214,0.14941692352294922,0.20040440559387207
``,0.06720756739377975,0.008517155423760414,0.02234543487429619,-0.029888948425650597,0.029072100296616554,0.08469878882169724,0.06780257821083069,-0.020138487219810486,0.15848299860954285,0.0685480609536171
ether,0.3058501183986664,0.28656452894210815,0.11944477260112762,0.2184554934501648,0.15837442874908447,0.2883510887622833,0.13518854975700378,0.9999998807907104,0.097834512591362,0.17340467870235443
'',-0.009905828163027763,0.08143015950918198,0.09057682752609253,0.01978493109345436,0.041273195296525955,-0.04294922947883606,0.13035868108272552,0.067830890417099,0.08863859623670578,0.018684765323996544
that,0.5436353087425232,0.6297725439071655,0.24900858104228973,0.47518548369407654,0.5473989248275757,0.49277663230895996,0.41498205065727234,0.3524623215198517,0.3162766695022583,0.32716336846351624
transmitted,0.2317817062139511,0.1978447586297989,0.2169702798128128,0.14472626149654388,0.2535918653011322,0.1774407923221588,0.22560763359069824,0.3196786046028137,0.17999881505966187,0.15801244974136353
electrical,0.2649001479148865,0.19961315393447876,0.1850816309452057,0.12294142693281174,0.2523402273654938,0.15246935188770294,0.23057208955287933,0.3283654451370239,0.0944959968328476,0.10923371464014053
energy,0.27179354429244995,0.190252885222435,0.14825557172298431,0.14123573899269104,0.26756542921066284,0.18936766684055328,0.26257598400115967,0.3590550422668457,0.047637686133384705,0.14860127866268158
.,0.4645031690597534,0.3567904531955719,0.27413639426231384,0.35288307070732117,0.5934505462646484,0.26084083318710327,0.5352458953857422,0.2541372776031494,0.23404979705810547,0.4130953550338745
