,what,chloroplast,structure,is,similar,to,the,inner,mitochondria,membrane,?
the,0.42745697498321533,0.21317854523658752,0.2933249771595001,0.5823672413825989,0.2963123023509979,0.535392165184021,1.0,0.2790820598602295,0.22119471430778503,0.21814598143100739,0.22068053483963013
only,0.41415658593177795,0.298546701669693,0.22439002990722656,0.44708555936813354,0.3232836425304413,0.5096819996833801,0.5497692227363586,0.16907086968421936,0.24273701012134552,0.20013077557086945,0.2767370045185089
chloroplast,0.23505516350269318,1.0000001192092896,0.3849775493144989,0.20798198878765106,0.2233681082725525,0.22531428933143616,0.21317854523658752,0.2480226457118988,0.6782853007316589,0.6168951392173767,0.12532055377960205
structure,0.27351704239845276,0.3849775493144989,1.0000001192092896,0.26677995920181274,0.3340727686882019,0.27200284600257874,0.2933249771595001,0.3451783061027527,0.36199429631233215,0.35321545600891113,0.1770772784948349
that,0.6297725439071655,0.30851247906684875,0.33507516980171204,0.3995479643344879,0.4232555329799652,0.5436353087425232,0.5473989248275757,0.25969192385673523,0.34753522276878357,0.27394893765449524,0.32716336846351624
can,0.34502777457237244,0.26741302013397217,0.2893398702144623,0.44256699085235596,0.31653928756713867,0.4979398250579834,0.312528520822525,0.1570834070444107,0.2746989130973816,0.2832633852958679,0.3226337134838104
considered,0.2834889590740204,0.18251675367355347,0.15252262353897095,0.4096149802207947,0.27557191252708435,0.2954166829586029,0.4028765559196472,0.10848671197891235,0.18255946040153503,0.1713859736919403,0.19909770786762238
analogous,0.2563178837299347,0.4161699712276459,0.38906991481781006,0.2614101469516754,0.39622947573661804,0.23161494731903076,0.24907797574996948,0.19885298609733582,0.42210304737091064,0.4033638536930084,0.1609361320734024
to,0.455847829580307,0.22531428933143616,0.27200284600257874,0.42745086550712585,0.2888135313987732,1.0,0.535392165184021,0.14904558658599854,0.2363239973783493,0.17791007459163666,0.29463258385658264
it,0.45803478360176086,0.23054824769496918,0.29328271746635437,0.6328473687171936,0.35478082299232483,0.513711154460907,0.6251175999641418,0.22112290561199188,0.22420860826969147,0.20497499406337738,0.25732165575027466
is,0.28837618231773376,0.20798198878765106,0.26677995920181274,1.0,0.28929588198661804,0.42745086550712585,0.5823672413825989,0.21686768531799316,0.21569068729877472,0.21774554252624512,0.22961433231830597
the,0.42745697498321533,0.21317854523658752,0.2933249771595001,0.5823672413825989,0.2963123023509979,0.535392165184021,1.0,0.2790820598602295,0.22119471430778503,0.21814598143100739,0.22068053483963013
internal,0.2065390944480896,0.24755403399467468,0.32503291964530945,0.14705020189285278,0.2381460964679718,0.22248466312885284,0.24764955043792725,0.25965964794158936,0.26670214533805847,0.33254918456077576,0.1665428727865219
thylakoid,0.20312407612800598,0.6215131878852844,0.2698603868484497,0.23602592945098877,0.21392425894737244,0.20179182291030884,0.22905179858207703,0.2791688144207001,0.603268027305603,0.5469450354576111,0.19202344119548798
system,0.23557309806346893,0.20100100338459015,0.31426379084587097,0.2282046526670456,0.22617121040821075,0.26662686467170715,0.3233085572719574,0.2477657049894333,0.21307140588760376,0.2203156054019928,0.15556083619594574
.,0.3567904531955719,0.2371024191379547,0.26570191979408264,0.4569662809371948,0.306670606136322,0.4645031690597534,0.5934505462646484,0.22710131108760834,0.2463228851556778,0.20517759025096893,0.4130953550338745
