,who,officially,opened,the,v,&,a,?
the,0.3733934462070465,0.36343514919281006,0.28544309735298157,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
official,0.11444056034088135,0.5938388705253601,0.1501002162694931,0.3133983910083771,0.10909075289964676,0.19115374982357025,0.19875815510749817,0.18097688257694244
opening,0.12329958379268646,0.29081231355667114,0.5178986191749573,0.37298497557640076,0.11929420381784439,0.07173246890306473,0.2575104236602783,0.16502447426319122
by,0.39727845788002014,0.28765860199928284,0.17930090427398682,0.4408751428127289,0.11988817155361176,0.17475149035453796,0.32094135880470276,0.17966607213020325
queen,0.20093972980976105,0.22103142738342285,0.2550303637981415,0.24681736528873444,0.1461830586194992,0.11429212987422943,0.23244257271289825,0.17460165917873383
victoria,0.1687670201063156,0.1795630007982254,0.259769469499588,0.2204313427209854,0.14771920442581177,0.18559011816978455,0.15216270089149475,0.12246892601251602
was,0.3318818509578705,0.4353274703025818,0.31916534900665283,0.48711544275283813,0.16128918528556824,0.12134000658988953,0.4508470594882965,0.18412111699581146
on,0.2340552806854248,0.27121078968048096,0.2514764964580536,0.5107308030128479,0.1826705038547516,0.14816857874393463,0.3848365545272827,0.2714994251728058
22,-0.02495800331234932,0.0018791079055517912,-0.0015126527287065983,0.01572294719517231,0.06892254948616028,-0.017741354182362556,-0.028262944892048836,0.06663474440574646
june,0.23552022874355316,0.3376883268356323,0.21463297307491302,0.24568822979927063,0.18499509990215302,0.0997723937034607,0.24822495877742767,0.31416764855384827
1857,0.028424179181456566,0.040634989738464355,-0.059034623205661774,0.04397021234035492,-0.011745571158826351,-0.04463411867618561,0.05741613730788231,0.07002107053995132
.,0.3541337847709656,0.2769482433795929,0.26111578941345215,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.4130953550338745
