,the,name,of,the,nfl,championship,game,is,?
super,0.21959073841571808,0.15042594075202942,0.14718765020370483,0.21959073841571808,0.319060355424881,0.28836938738822937,0.3480181396007538,0.15390309691429138,0.166326642036438
bowl,0.21576224267482758,0.10893726348876953,0.2243070751428604,0.21576224267482758,0.48354101181030273,0.3428266644477844,0.2413962334394455,0.14233897626399994,0.21118052303791046
50,0.03602437674999237,-0.0409264862537384,0.006577443331480026,0.03602437674999237,-0.06279195845127106,0.0772119015455246,0.012895043939352036,0.0017694636480882764,0.030512850731611252
was,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.20145657658576965,0.2460748702287674,0.2568269371986389,0.5810302495956421,0.18412111699581146
an,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.4207492768764496,0.05365698039531708,0.12924516201019287,0.16604416072368622,0.4654068350791931,0.19793890416622162
american,0.24562937021255493,0.14227524399757385,0.22180068492889404,0.24562937021255493,0.22112266719341278,0.21688076853752136,0.2207707315683365,0.1853146106004715,0.18877598643302917
football,0.18794101476669312,0.1898173987865448,0.2184123694896698,0.18794101476669312,0.5028042793273926,0.35067179799079895,0.2986574172973633,0.21727435290813446,0.14957410097122192
game,0.285271555185318,0.17639878392219543,0.2298848181962967,0.285271555185318,0.3143478333950043,0.24432945251464844,0.9999998807907104,0.21222543716430664,0.1829071193933487
to,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.1526731252670288,0.18725894391536713,0.2540906071662903,0.42745086550712585,0.29463258385658264
determine,0.40889066457748413,0.1765018105506897,0.3512130081653595,0.40889066457748413,0.1579168736934662,0.23852108418941498,0.20564831793308258,0.31959035992622375,0.2943372130393982
the,1.0,0.3171212375164032,0.733189046382904,1.0,0.15305201709270477,0.2540402412414551,0.285271555185318,0.5823672413825989,0.22068053483963013
champion,0.23575055599212646,0.11807826906442642,0.1902693659067154,0.23575055599212646,0.3432503640651703,0.8011947274208069,0.23105087876319885,0.1624361276626587,0.14080514013767242
of,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.1524115800857544,0.1809549629688263,0.2298848181962967,0.4854315221309662,0.1826142966747284
the,1.0,0.3171212375164032,0.733189046382904,1.0,0.15305201709270477,0.2540402412414551,0.285271555185318,0.5823672413825989,0.22068053483963013
national,0.32739606499671936,0.12491574138402939,0.3314673602581024,0.32739606499671936,0.26918089389801025,0.20972223579883575,0.1871233880519867,0.23413582146167755,0.15643028914928436
football,0.18794101476669312,0.1898173987865448,0.2184123694896698,0.18794101476669312,0.5028042793273926,0.35067179799079895,0.2986574172973633,0.21727435290813446,0.14957410097122192
league,0.2724147439002991,0.1580641269683838,0.23588460683822632,0.2724147439002991,0.3908804953098297,0.43236029148101807,0.3045117259025574,0.1591515690088272,0.15941482782363892
(,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.18641139566898346,0.21789918839931488,0.19185201823711395,0.35393038392066956,0.40561532974243164
nfl,0.15305201709270477,0.11343668401241302,0.1524115800857544,0.15305201709270477,1.0,0.35121360421180725,0.3143478333950043,0.12479410320520401,0.10610254108905792
),0.3456730246543884,0.2638341188430786,0.3680361211299896,0.3456730246543884,0.17973150312900543,0.21923862397670746,0.19853033125400543,0.37732169032096863,0.42300865054130554
for,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.23749186098575592,0.22107061743736267,0.2608485519886017,0.43268078565597534,0.264628142118454
the,1.0,0.3171212375164032,0.733189046382904,1.0,0.15305201709270477,0.2540402412414551,0.285271555185318,0.5823672413825989,0.22068053483963013
2015,0.1466771513223648,0.1291501224040985,0.21138253808021545,0.1466771513223648,-0.006650217808783054,0.06591276079416275,-0.003872275585308671,0.04366588220000267,-0.029954981058835983
season,0.2507155239582062,0.18235637247562408,0.1598338931798935,0.2507155239582062,0.3929455280303955,0.34766685962677,0.3434298038482666,0.1786249428987503,0.16793298721313477
.,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.1964210718870163,0.23509643971920013,0.2581658959388733,0.4569662809371948,0.4130953550338745
