,what,court,case,desegregated,schools,in,the,united,states,?
in,0.30808621644973755,0.2793687880039215,0.2190418541431427,0.2775123715400696,0.2632134258747101,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
many,0.36131182312965393,0.1737540364265442,0.23221951723098755,0.3553614318370819,0.3108086585998535,0.41474202275276184,0.4335206151008606,0.2670816481113434,0.29976361989974976,0.2124512493610382
parts,0.3415631353855133,0.21246309578418732,0.17431387305259705,0.18256878852844238,0.25159943103790283,0.3282690644264221,0.4042440354824066,0.1813816875219345,0.19409871101379395,0.12310896813869476
of,0.33290785551071167,0.28835242986679077,0.24743439257144928,0.22811147570610046,0.265506386756897,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
the,0.42745697498321533,0.2812081575393677,0.31022098660469055,0.26485636830329895,0.22905772924423218,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
united,0.20036718249320984,0.2767752408981323,0.18467149138450623,0.27121201157569885,0.30707988142967224,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
states,0.21526020765304565,0.3169350028038025,0.24035236239433289,0.3195173442363739,0.2958741784095764,0.3977442979812622,0.3463578522205353,0.8952266573905945,1.0,0.16272737085819244
",",0.3087472915649414,0.24410836398601532,0.2977246046066284,0.2804119884967804,0.2760516405105591,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
after,0.21973377466201782,0.22239722311496735,0.21536469459533691,0.22337189316749573,0.17894473671913147,0.44050168991088867,0.4565047025680542,0.23208022117614746,0.20801226794719696,0.16608688235282898
the,0.42745697498321533,0.2812081575393677,0.31022098660469055,0.26485636830329895,0.22905772924423218,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
1954,-0.028202006593346596,-0.021259382367134094,-0.023185398429632187,-0.0035459387581795454,0.026537813246250153,0.06289621442556381,0.05573182925581932,-0.0037281240802258253,-0.03932945057749748,-0.028866952285170555
decision,0.32053670287132263,0.5046883225440979,0.44142571091651917,0.34425050020217896,0.23885774612426758,0.2212151288986206,0.2905151844024658,0.22557225823402405,0.2614414095878601,0.2796577215194702
in,0.30808621644973755,0.2793687880039215,0.2190418541431427,0.2775123715400696,0.2632134258747101,1.0,0.6662389636039734,0.3938477039337158,0.3977442979812622,0.20430970191955566
