,how,long,does,the,members,debate,last,?
immediately,0.25842878222465515,0.23316478729248047,0.3016696870326996,0.39876270294189453,0.21281220018863678,0.17574335634708405,0.26847153902053833,0.21004259586334229
after,0.23871733248233795,0.25804978609085083,0.18596531450748444,0.4565047025680542,0.2411569207906723,0.2008908987045288,0.38612499833106995,0.16608688235282898
decision,0.30215373635292053,0.17635469138622284,0.21590669453144073,0.2905151844024658,0.2454170286655426,0.35886701941490173,0.18805864453315735,0.2796577215194702
time,0.35346719622612,0.3612262010574341,0.2519678771495819,0.43061500787734985,0.18101826310157776,0.24432972073554993,0.3435760736465454,0.27391523122787476
a,0.29312583804130554,0.3795371353626251,0.38201746344566345,0.5829201340675354,0.1873859316110611,0.22831885516643524,0.2864423990249634,0.23916715383529663
``,-0.01591024175286293,0.1858668327331543,0.06539655476808548,0.029072100296616554,0.05369233712553978,-0.014278445392847061,0.05021507292985916,0.0685480609536171
members,0.20418256521224976,0.09242745488882065,0.1685360074043274,0.3321719169616699,0.9999998807907104,0.20678158104419708,0.16104942560195923,0.10212311148643494
debate,0.28269731998443604,0.20127898454666138,0.2224576473236084,0.2608932852745056,0.20678158104419708,1.0,0.16913801431655884,0.227684885263443
'',-0.0029843549709767103,0.020632827654480934,-0.004023602232336998,0.041273195296525955,-0.02566520683467388,0.05401964485645294,-0.004244830925017595,0.018684765323996544
is,0.22544461488723755,0.28473302721977234,0.4403602182865143,0.5823672413825989,0.1897467076778412,0.22463004291057587,0.2445172220468521,0.22961433231830597
held,0.06776752322912216,0.1376456916332245,0.14484372735023499,0.32185450196266174,0.20782466232776642,0.16927969455718994,0.20021413266658783,0.14103956520557404
",",0.22659391164779663,0.3431144952774048,0.28617382049560547,0.4933079481124878,0.2357054501771927,0.21539489924907684,0.29026782512664795,0.31091248989105225
which,0.4852597713470459,0.34186381101608276,0.39111801981925964,0.6521818041801453,0.295350044965744,0.24772825837135315,0.2768070101737976,0.25814583897590637
lasts,0.2076822817325592,0.3193192183971405,0.25900915265083313,0.2970173954963684,0.1705402284860611,0.19120435416698456,0.4328233003616333,0.17807826399803162
for,0.3308170735836029,0.2547193765640259,0.35159170627593994,0.4739971458911896,0.2612179219722748,0.21372702717781067,0.3043119013309479,0.264628142118454
45,-0.032615967094898224,0.06707238405942917,0.06000017374753952,-0.020405476912856102,-0.010776162147521973,0.009898405522108078,0.052894603461027145,-0.01282194908708334
minutes,0.2050236165523529,0.3457551598548889,0.17463840544223785,0.20313966274261475,0.12248495221138,0.19844220578670502,0.3611922860145569,0.14419560134410858
.,0.3287222981452942,0.3247973620891571,0.3022993505001068,0.5934505462646484,0.21119362115859985,0.24415890872478485,0.3548945486545563,0.4130953550338745
