,which,fullback,fumbled,the,ball,after,a,darian,stewart,tackle,?
on,0.4245251417160034,0.19230297207832336,0.1800640970468521,0.5107308030128479,0.1605052351951599,0.39330315589904785,0.3848365545272827,0.15636716783046722,0.20678496360778809,0.19387972354888916,0.2714994251728058
carolina,0.16939401626586914,0.2309470921754837,0.22240301966667175,0.24749229848384857,0.11953222006559372,0.1946459859609604,0.1979188621044159,0.11750167608261108,0.23991906642913818,0.1857907623052597,0.11847445368766785
's,0.03856118768453598,0.031214851886034012,0.02210577018558979,-0.01540423184633255,-0.028031641617417336,-0.055672239512205124,0.04866964742541313,0.05564961954951286,0.10451090335845947,-0.09428390115499496,-0.023395681753754616
next,0.3187560439109802,0.16216301918029785,0.20494604110717773,0.35833123326301575,0.10990821570158005,0.36641988158226013,0.3054417371749878,0.004425902385264635,0.12422792613506317,0.12419137358665466,0.167460098862648
possession,0.3087818920612335,0.14432477951049805,0.24072220921516418,0.3067890703678131,0.21090945601463318,0.256065309047699,0.2872699797153473,0.11896418035030365,0.1697634756565094,0.1804468184709549,0.06212200969457626
fullback,0.16269895434379578,1.0,0.35200631618499756,0.1890408992767334,0.23336154222488403,0.11915576457977295,0.22832299768924713,0.20896606147289276,0.25255656242370605,0.47078391909599304,0.2015429437160492
mike,0.1683032363653183,0.35087233781814575,0.22382552921772003,0.1855325549840927,0.12211291491985321,0.12692232429981232,0.2168344259262085,0.3240593373775482,0.27969247102737427,0.1914607137441635,0.1076895147562027
tolbert,0.19098901748657227,0.24210317432880402,0.23790983855724335,0.2572346329689026,0.18618011474609375,0.22444188594818115,0.25253474712371826,0.21901872754096985,0.422512412071228,0.20804671943187714,0.24125076830387115
lost,0.2536070644855499,0.18788838386535645,0.33830857276916504,0.3376973867416382,0.0820401981472969,0.2997296154499054,0.24504798650741577,0.15732046961784363,0.12996727228164673,0.12165657430887222,0.15261413156986237
a,0.56894451379776,0.22832299768924713,0.17296364903450012,0.5829201340675354,0.23578347265720367,0.3831600844860077,1.0,0.17722506821155548,0.1547141820192337,0.21756082773208618,0.23916715383529663
fumble,0.15365509688854218,0.4773712158203125,0.8084627985954285,0.16197896003723145,0.3442053198814392,0.2880132496356964,0.17153340578079224,0.21498897671699524,0.2529706358909607,0.4551585912704468,0.17646178603172302
while,0.38669952750205994,0.17946076393127441,0.28379178047180176,0.39804592728614807,0.23322966694831848,0.42262914776802063,0.3733035624027252,0.20583148300647736,0.2183002382516861,0.23086920380592346,0.21076419949531555
being,0.4268448054790497,0.1781885027885437,0.2999199628829956,0.419739305973053,0.21602849662303925,0.37292909622192383,0.3727131485939026,0.23477482795715332,0.2018633335828781,0.22187036275863647,0.26743772625923157
tackled,0.18560317158699036,0.3721490800380707,0.48113903403282166,0.19332660734653473,0.30100324749946594,0.20404085516929626,0.18400587141513824,0.15635693073272705,0.2192728966474533,0.8714660406112671,0.20976905524730682
by,0.40543368458747864,0.09635865688323975,0.21791863441467285,0.4408751428127289,0.1381615251302719,0.41259682178497314,0.32094135880470276,0.19571435451507568,0.26711514592170715,0.09233386069536209,0.17966607213020325
safety,0.25007596611976624,0.21108382940292358,0.3155069947242737,0.25972458720207214,0.15693216025829315,0.1343638300895691,0.18158207833766937,0.06460339576005936,0.1661708652973175,0.33631405234336853,0.1443338692188263
darian,0.15290719270706177,0.20896606147289276,0.24023814499378204,0.17852109670639038,0.13170145452022552,0.15268194675445557,0.17722506821155548,1.0,0.2527584731578827,0.10829290002584457,0.15779580175876617
