,who,wrote,that,imperialism,is,the,highest,stage,of,capitalism,?
trotsky,0.29437124729156494,0.2630995512008667,0.22916319966316223,0.43610578775405884,0.15504610538482666,0.20245786011219025,0.062332481145858765,0.2254912406206131,0.2013014703989029,0.48075535893440247,0.2005060911178589
",",0.3365725874900818,0.27225261926651,0.4137537479400635,0.2420617640018463,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.2630990147590637,0.4946078956127167,0.2647847831249237,0.31091248989105225
and,0.41279885172843933,0.2975862920284271,0.4731321930885315,0.19073538482189178,0.3859752118587494,0.5171257257461548,0.22372882068157196,0.17654182016849518,0.5116966962814331,0.22292979061603546,0.20544172823429108
others,0.429911732673645,0.292438268661499,0.4184957444667816,0.15555933117866516,0.25228992104530334,0.34376874566078186,0.1648251861333847,0.19627495110034943,0.2793974280357361,0.25632262229919434,0.26705288887023926
",",0.3365725874900818,0.27225261926651,0.4137537479400635,0.2420617640018463,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.2630990147590637,0.4946078956127167,0.2647847831249237,0.31091248989105225
believed,0.37975674867630005,0.257671982049942,0.4644409120082855,0.2891651391983032,0.25439924001693726,0.324635773897171,0.15043999254703522,0.15599419176578522,0.2945859134197235,0.25453755259513855,0.17606885731220245
that,0.45444270968437195,0.27484676241874695,1.0,0.23209288716316223,0.3995479643344879,0.5473989248275757,0.1878446489572525,0.14718960225582123,0.41498205065727234,0.284320592880249,0.32716336846351624
the,0.3733934462070465,0.2426944375038147,0.5473989248275757,0.2716025412082672,0.5823672413825989,1.0,0.36945265531539917,0.22652170062065125,0.733189046382904,0.20844383537769318,0.22068053483963013
revolution,0.2163151353597641,0.23482444882392883,0.23615604639053345,0.3993171453475952,0.16210032999515533,0.276140034198761,0.0663994550704956,0.2102539837360382,0.27144062519073486,0.30464252829551697,0.1727980077266693
could,0.33540013432502747,0.2797102630138397,0.5584503412246704,0.23286715149879456,0.2763098180294037,0.35393214225769043,0.14806602895259857,0.14734719693660736,0.29043012857437134,0.23882238566875458,0.3411986827850342
only,0.4202229380607605,0.18454989790916443,0.6004067063331604,0.16942663490772247,0.44708555936813354,0.5497692227363586,0.25128400325775146,0.18781426548957825,0.49632513523101807,0.18661056458950043,0.2767370045185089
succeed,0.2647956609725952,0.11967642605304718,0.23197044432163239,0.13875682651996613,0.20076440274715424,0.21317096054553986,0.07768861949443817,0.13247931003570557,0.22376757860183716,0.18689890205860138,0.19251343607902527
in,0.2792111933231354,0.2898900806903839,0.435920387506485,0.2081184834241867,0.5394441485404968,0.6662389636039734,0.3400614559650421,0.2011467069387436,0.5696388483047485,0.19609799981117249,0.20430970191955566
russia,0.16800177097320557,0.14666487276554108,0.2049574851989746,0.30596429109573364,0.1930559128522873,0.2746676802635193,0.10688424110412598,0.1702818125486374,0.23331232368946075,0.24580636620521545,0.13907001912593842
as,0.3923053741455078,0.19762034714221954,0.4735107421875,0.2192956656217575,0.43216490745544434,0.48381632566452026,0.17518560588359833,0.18075832724571228,0.3886612355709076,0.2297566533088684,0.27043893933296204
part,0.19576206803321838,0.1977844536304474,0.37747326493263245,0.19179268181324005,0.4582172930240631,0.527681291103363,0.2504531741142273,0.165642648935318,0.452393114566803,0.21216516196727753,0.08557961881160736
of,0.2827862501144409,0.30241408944129944,0.41498205065727234,0.29240643978118896,0.4854315221309662,0.733189046382904,0.3223685622215271,0.1389172226190567,1.0,0.21557392179965973,0.1826142966747284
a,0.36608949303627014,0.232523575425148,0.47537946701049805,0.17335295677185059,0.658733606338501,0.5829201340675354,0.23707912862300873,0.2036506086587906,0.5052502155303955,0.1995183825492859,0.23916715383529663
world,0.25158336758613586,0.13856595754623413,0.2972288429737091,0.2946701943874359,0.24458536505699158,0.33604270219802856,0.28919854760169983,0.15132687985897064,0.2828933000564575,0.18011221289634705,0.17579582333564758
revolution,0.2163151353597641,0.23482444882392883,0.23615604639053345,0.3993171453475952,0.16210032999515533,0.276140034198761,0.0663994550704956,0.2102539837360382,0.27144062519073486,0.30464252829551697,0.1727980077266693
.,0.3541337847709656,0.2480330765247345,0.4460422694683075,0.22279119491577148,0.4569662809371948,0.5934505462646484,0.2254713773727417,0.19994208216667175,0.5352458953857422,0.225983127951622,0.4130953550338745
