,what,are,the,exceptions,in,the,constitution,that,require,special,considerations,to,amend,?
the,0.42745697498321533,0.40399202704429626,1.0,0.29394328594207764,0.6662389636039734,1.0,0.3381718397140503,0.5473989248275757,0.17356595396995544,0.3027077615261078,0.32168442010879517,0.535392165184021,0.25680017471313477,0.22068053483963013
victorian,0.15513519942760468,0.20787982642650604,0.2753658890724182,0.17647004127502441,0.21606117486953735,0.2753658890724182,0.17284028232097626,0.24561864137649536,0.2076704502105713,0.18503504991531372,0.19144028425216675,0.18664970993995667,0.18533532321453094,0.07572567462921143
constitution,0.26995089650154114,0.14847330749034882,0.3381718397140503,0.20874589681625366,0.27906280755996704,0.3381718397140503,1.0000001192092896,0.28390300273895264,0.19346262514591217,0.1778145581483841,0.2744967043399811,0.25991612672805786,0.6060139536857605,0.23706454038619995
can,0.34502777457237244,0.5408529043197632,0.312528520822525,0.3742659091949463,0.26527702808380127,0.312528520822525,0.1076725423336029,0.4522190988063812,0.46357640624046326,0.2734110951423645,0.2987459599971771,0.4979398250579834,0.2316676676273346,0.3226337134838104
be,0.3929833769798279,0.5556803941726685,0.4248143136501312,0.35506439208984375,0.3481820821762085,0.4248143136501312,0.25719964504241943,0.6036020517349243,0.40844497084617615,0.2416570633649826,0.3402009904384613,0.4972836375236511,0.3006212115287781,0.3324260413646698
amended,0.215549036860466,0.16395996510982513,0.2974001467227936,0.3190355598926544,0.20106084644794464,0.2974001467227936,0.5906038880348206,0.3123989403247833,0.3201957941055298,0.22636787593364716,0.3585604727268219,0.31471502780914307,0.7933486700057983,0.241045743227005
by,0.2455483376979828,0.37842893600463867,0.4408751428127289,0.19656915962696075,0.370934396982193,0.4408751428127289,0.1736798882484436,0.37496164441108704,0.13001477718353271,0.2578898072242737,0.1890403777360916,0.33534231781959534,0.1561150997877121,0.17966607213020325
the,0.42745697498321533,0.40399202704429626,1.0,0.29394328594207764,0.6662389636039734,1.0,0.3381718397140503,0.5473989248275757,0.17356595396995544,0.3027077615261078,0.32168442010879517,0.535392165184021,0.25680017471313477,0.22068053483963013
parliament,0.21650300920009613,0.09480422735214233,0.26521381735801697,0.15230323374271393,0.2323146015405655,0.26521381735801697,0.5239191055297852,0.17629513144493103,0.12177464365959167,0.13437014818191528,0.24029770493507385,0.20290622115135193,0.45676350593566895,0.1586504578590393
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.295958012342453,0.5696388483047485,0.733189046382904,0.3222753703594208,0.41498205065727234,0.20683176815509796,0.27998968958854675,0.31738394498825073,0.41548454761505127,0.21760649979114532,0.1826142966747284
victoria,0.1194850504398346,0.16939106583595276,0.2204313427209854,0.12146829068660736,0.20823122560977936,0.2204313427209854,0.16564127802848816,0.16418905556201935,0.07695602625608444,0.1666605919599533,0.10155490785837173,0.18328198790550232,0.13929128646850586,0.12246892601251602
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3513070046901703,0.5201468467712402,0.4933079481124878,0.2582484483718872,0.4137537479400635,0.20549376308918,0.23880577087402344,0.3588588535785675,0.44245919585227966,0.2583025395870209,0.31091248989105225
except,0.2278055101633072,0.3738170266151428,0.31242886185646057,0.6144282817840576,0.22713249921798706,0.31242886185646057,0.2090301364660263,0.31196343898773193,0.3301912546157837,0.26387110352516174,0.22938232123851776,0.23187223076820374,0.26122817397117615,0.16405975818634033
for,0.3017193675041199,0.3895993232727051,0.4739971458911896,0.32538461685180664,0.4322226941585541,0.4739971458911896,0.193412184715271,0.4137635827064514,0.33956968784332275,0.311454176902771,0.3966818153858185,0.4451248347759247,0.26557403802871704,0.264628142118454
certain,0.4561643898487091,0.48443952202796936,0.392071396112442,0.43280792236328125,0.2942397892475128,0.392071396112442,0.21739321947097778,0.5381532907485962,0.48399752378463745,0.47384458780288696,0.33548450469970703,0.4444960355758667,0.2912193238735199,0.2516106069087982
``,0.008517155423760414,0.12624181807041168,0.029072100296616554,0.1894323229789734,0.04765888676047325,0.029072100296616554,0.13461661338806152,0.05285148695111275,0.09489242732524872,0.013431590981781483,0.09431889653205872,0.06720756739377975,0.08446626365184784,0.0685480609536171
entrenched,0.1959153115749359,0.19901247322559357,0.29951637983322144,0.21095521748065948,0.2422422468662262,0.29951637983322144,0.19499975442886353,0.273286372423172,0.22474312782287598,0.11483009159564972,0.17522019147872925,0.2422143816947937,0.14945514500141144,0.15703362226486206
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,-0.00025098558398894966,0.07432962208986282,0.041273195296525955,0.013045001775026321,0.007880004122853279,0.04223344102501869,0.03449471667408943,0.019812695682048798,-0.009905828163027763,-0.010676699690520763,0.018684765323996544
provisions,0.2471846491098404,0.24532118439674377,0.28538835048675537,0.36053842306137085,0.17358911037445068,0.28538835048675537,0.5330703854560852,0.29164499044418335,0.3439449369907379,0.274278461933136,0.4166972041130066,0.2621118724346161,0.4627159535884857,0.22902937233448029
that,0.6297725439071655,0.45265161991119385,0.5473989248275757,0.385265976190567,0.435920387506485,0.5473989248275757,0.28390300273895264,1.0,0.3625117540359497,0.27173271775245667,0.32378801703453064,0.5436353087425232,0.33950740098953247,0.32716336846351624
require,0.2487315833568573,0.388192743062973,0.17356595396995544,0.39054107666015625,0.14079172909259796,0.17356595396995544,0.19346262514591217,0.3625117540359497,0.9999998807907104,0.29756274819374084,0.2939346432685852,0.29503753781318665,0.30932822823524475,0.2463286817073822
either,0.3851809501647949,0.4060882031917572,0.3795609474182129,0.3379397690296173,0.2748357057571411,0.3795609474182129,0.16202761232852936,0.44538983702659607,0.37212973833084106,0.27362900972366333,0.30859488248825073,0.4178585708141327,0.24594832956790924,0.31498292088508606
an,0.2821882665157318,0.1556541919708252,0.4207492768764496,0.15117083489894867,0.2605783939361572,0.4207492768764496,0.20045198500156403,0.365763783454895,0.18964824080467224,0.19840748608112335,0.22053858637809753,0.3138085603713989,0.15695010125637054,0.19793890416622162
absolute,0.3186502158641815,0.18117347359657288,0.26488861441612244,0.2655143141746521,0.2138172686100006,0.26488861441612244,0.2535356283187866,0.35239776968955994,0.2623134255409241,0.19044378399848938,0.27826642990112305,0.26245933771133423,0.23351435363292694,0.22724391520023346
majority,0.25967487692832947,0.3146342635154724,0.28757327795028687,0.294453501701355,0.2563854157924652,0.28757327795028687,0.32891613245010376,0.3037298023700714,0.23092332482337952,0.19899436831474304,0.2697366178035736,0.26316750049591064,0.314501017332077,0.220119908452034
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.25888991355895996,1.0,0.6662389636039734,0.27906280755996704,0.435920387506485,0.14079172909259796,0.2897285223007202,0.21577352285385132,0.45010748505592346,0.14254771173000336,0.20430970191955566
both,0.3361809551715851,0.4594642221927643,0.4931981563568115,0.3434835970401764,0.3960166871547699,0.4931981563568115,0.24335278570652008,0.4532228112220764,0.21884076297283173,0.24782869219779968,0.3129800856113434,0.3897709250450134,0.2236388623714447,0.19455738365650177
houses,0.1434021294116974,0.2642761170864105,0.2692612111568451,0.23562730848789215,0.2622964382171631,0.2692612111568451,0.21295513212680817,0.1818845421075821,0.16223959624767303,0.14092886447906494,0.19576457142829895,0.20746637880802155,0.21812868118286133,0.10120081901550293
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3513070046901703,0.5201468467712402,0.4933079481124878,0.2582484483718872,0.4137537479400635,0.20549376308918,0.23880577087402344,0.3588588535785675,0.44245919585227966,0.2583025395870209,0.31091248989105225
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.2269548624753952,0.539380669593811,0.5829201340675354,0.21537603437900543,0.47537946701049805,0.24720792472362518,0.31333932280540466,0.25780433416366577,0.45503583550453186,0.2043655961751938,0.23916715383529663
three-fifths,0.31355559825897217,0.3996315002441406,0.407694548368454,0.3724847733974457,0.27450254559516907,0.407694548368454,0.3527301847934723,0.40062659978866577,0.2674213945865631,0.16529344022274017,0.3339539170265198,0.318263441324234,0.3025485575199127,0.2342275232076645
majority,0.25967487692832947,0.3146342635154724,0.28757327795028687,0.294453501701355,0.2563854157924652,0.28757327795028687,0.32891613245010376,0.3037298023700714,0.23092332482337952,0.19899436831474304,0.2697366178035736,0.26316750049591064,0.314501017332077,0.220119908452034
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.25888991355895996,1.0,0.6662389636039734,0.27906280755996704,0.435920387506485,0.14079172909259796,0.2897285223007202,0.21577352285385132,0.45010748505592346,0.14254771173000336,0.20430970191955566
both,0.3361809551715851,0.4594642221927643,0.4931981563568115,0.3434835970401764,0.3960166871547699,0.4931981563568115,0.24335278570652008,0.4532228112220764,0.21884076297283173,0.24782869219779968,0.3129800856113434,0.3897709250450134,0.2236388623714447,0.19455738365650177
houses,0.1434021294116974,0.2642761170864105,0.2692612111568451,0.23562730848789215,0.2622964382171631,0.2692612111568451,0.21295513212680817,0.1818845421075821,0.16223959624767303,0.14092886447906494,0.19576457142829895,0.20746637880802155,0.21812868118286133,0.10120081901550293
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.3513070046901703,0.5201468467712402,0.4933079481124878,0.2582484483718872,0.4137537479400635,0.20549376308918,0.23880577087402344,0.3588588535785675,0.44245919585227966,0.2583025395870209,0.31091248989105225
