,what,is,the,church,'s,theological,orientation,?
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.211966410279274,-0.05775856226682663,0.23996871709823608,0.16964241862297058,0.27043893933296204
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.15636888146400452,0.05073437839746475,0.15397323668003082,0.22706319391727448,0.17851735651493073
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2707274258136749,-0.0016132977325469255,0.24116185307502747,0.1635146290063858,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.23846197128295898,-0.01540423184633255,0.24311421811580658,0.24898602068424225,0.22068053483963013
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.9999999403953552,0.023664841428399086,0.48776403069496155,0.2580403983592987,0.18081501126289368
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.023664841428399086,0.9999999403953552,0.021053219214081764,-0.013335599564015865,-0.023395681753754616
theological,0.3036796450614929,0.1932656466960907,0.24311421811580658,0.48776403069496155,0.021053219214081764,1.0,0.26634401082992554,0.13711953163146973
orientation,0.235154390335083,0.20858392119407654,0.24898602068424225,0.2580403983592987,-0.013335599564015865,0.26634401082992554,1.0,0.13603468239307404
is,0.28837618231773376,1.0,0.5823672413825989,0.203276589512825,0.02396530658006668,0.1932656466960907,0.20858392119407654,0.22961433231830597
decidedly,0.4189406633377075,0.23725423216819763,0.33438587188720703,0.19960340857505798,0.0642785057425499,0.2150951474905014,0.19012099504470825,0.3031294345855713
wesleyan,0.20013505220413208,0.21658378839492798,0.25883370637893677,0.38715294003486633,-0.01846781186759472,0.4242480397224426,0.24867594242095947,0.15342922508716583
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.28898224234580994,-0.003708066651597619,0.21282555162906647,0.19950947165489197,0.4130953550338745
