,what,has,allowed,for,the,savanna,region,to,expand,into,the,tropics,?
from,0.2737620174884796,0.2621968984603882,0.24006792902946472,0.314039945602417,0.40150508284568787,0.18300805985927582,0.2132602334022522,0.4069952368736267,0.170136496424675,0.3410196900367737,0.40150508284568787,0.24544355273246765,0.19969791173934937
66–34,0.10346940159797668,-0.01453332044184208,-0.023667391389608383,-0.037722617387771606,-0.017640255391597748,-0.007852347567677498,-0.13144415616989136,-0.034802522510290146,0.03401634097099304,0.01861323043704033,-0.017640255391597748,-0.03461075946688652,0.029248163104057312
mya,0.19963528215885162,0.12930642068386078,0.08049306273460388,0.11852630227804184,0.1532435119152069,0.27637746930122375,0.16949407756328583,0.10882358253002167,0.11723531037569046,0.0713750347495079,0.1532435119152069,0.33767780661582947,0.2211715579032898
",",0.3087472915649414,0.3734780251979828,0.2785535454750061,0.4464869201183319,0.4933079481124878,0.31906890869140625,0.2119160145521164,0.44245919585227966,0.23638540506362915,0.2826121151447296,0.4933079481124878,0.25726625323295593,0.31091248989105225
the,0.42745697498321533,0.4177538752555847,0.2985120713710785,0.4739971458911896,1.0,0.25403106212615967,0.35020557045936584,0.535392165184021,0.28561270236968994,0.39493247866630554,1.0,0.23706603050231934,0.22068053483963013
rainforest,0.22127854824066162,0.24784816801548004,0.09976217895746231,0.18492411077022552,0.2571161389350891,0.6205580234527588,0.25668972730636597,0.23412610590457916,0.1476983278989792,0.1185043603181839,0.2571161389350891,0.5396296977996826,0.1917492002248764
extended,0.20863614976406097,0.21341989934444427,0.3343943655490875,0.2689915895462036,0.3160722553730011,0.10324715822935104,0.1289454847574234,0.28740090131759644,0.37527498602867126,0.22817490994930267,0.3160722553730011,0.13184675574302673,0.17568568885326385
as,0.31749409437179565,0.351646363735199,0.23990891873836517,0.44774648547172546,0.48381632566452026,0.1946740448474884,0.17285758256912231,0.42092081904411316,0.24842748045921326,0.24094121158123016,0.48381632566452026,0.20344844460487366,0.27043893933296204
far,0.34794166684150696,0.32043179869651794,0.20282429456710815,0.22081951797008514,0.38564538955688477,0.22749045491218567,0.2094416618347168,0.3375735878944397,0.2621443271636963,0.1866358518600464,0.38564538955688477,0.22760722041130066,0.2170870453119278
south,0.15388517081737518,0.2072066068649292,0.12177880853414536,0.17502866685390472,0.3129390776157379,0.35001465678215027,0.34154781699180603,0.25657615065574646,0.16315661370754242,0.21210846304893494,0.3129390776157379,0.30801570415496826,0.12336621433496475
as,0.31749409437179565,0.351646363735199,0.23990891873836517,0.44774648547172546,0.48381632566452026,0.1946740448474884,0.17285758256912231,0.42092081904411316,0.24842748045921326,0.24094121158123016,0.48381632566452026,0.20344844460487366,0.27043893933296204
45°,-0.03251788020133972,0.004449763800948858,0.018584398552775383,-0.03171724081039429,0.03824855014681816,-0.04558353126049042,-0.10146816819906235,0.001420791377313435,-0.043735820800065994,-0.004809773527085781,0.03824855014681816,-0.012176977470517159,-0.08168196678161621
.,0.3567904531955719,0.4105546176433563,0.3197084665298462,0.4726039469242096,0.5934505462646484,0.23846659064292908,0.2506107687950134,0.4645031690597534,0.24546176195144653,0.26250120997428894,0.5934505462646484,0.2510796785354614,0.4130953550338745
