,whose,wall,has,fragments,visible,in,places,around,newcastle,even,today,?
fragments,0.16402502357959747,0.2554866075515747,0.13744744658470154,1.0,0.23707188665866852,0.2272413969039917,0.17220456898212433,0.1600346863269806,0.1213710829615593,0.19151528179645538,0.2037304937839508,0.09132948517799377
of,0.37058958411216736,0.18525563180446625,0.3909035325050354,0.25179383158683777,0.27322983741760254,0.5696388483047485,0.26612308621406555,0.3296394646167755,0.18781472742557526,0.34735506772994995,0.3291318118572235,0.1826142966747284
hadrian,0.20872633159160614,0.41169631481170654,0.18644528090953827,0.20611102879047394,0.2112823873758316,0.2309991866350174,0.21075454354286194,0.27814269065856934,0.20607027411460876,0.2074265331029892,0.16395306587219238,0.16117039322853088
's,-0.019954677671194077,0.021368060261011124,-0.040683966130018234,0.05021815747022629,-0.0281971525400877,-0.037580832839012146,-0.035393327474594116,-0.039796680212020874,-0.017262522131204605,0.0353488028049469,-0.017862282693386078,-0.023395681753754616
wall,0.09289084374904633,1.0000001192092896,0.16324305534362793,0.2554866075515747,0.26732054352760315,0.22622939944267273,0.18960733711719513,0.27125903964042664,0.15787525475025177,0.23514226078987122,0.218154177069664,0.06349854171276093
are,0.2854825556278229,0.14272381365299225,0.4313911199569702,0.2560538351535797,0.28310900926589966,0.3841303884983063,0.41208621859550476,0.3560173511505127,0.1428472399711609,0.43312960863113403,0.39445018768310547,0.24591213464736938
still,0.2994319498538971,0.2268940508365631,0.2830006182193756,0.17350876331329346,0.27992814779281616,0.3424699008464813,0.30608049035072327,0.3855474889278412,0.16287270188331604,0.5384808778762817,0.6265153288841248,0.3039587736129761
visible,0.1538766324520111,0.26732054352760315,0.23169566690921783,0.23707188665866852,0.9999998807907104,0.1914699673652649,0.22438029944896698,0.293900728225708,0.14376555383205414,0.3530312776565552,0.24201226234436035,0.16810297966003418
in,0.23496666550636292,0.22622939944267273,0.4173259735107422,0.2272413969039917,0.1914699673652649,1.0,0.3709096312522888,0.41294145584106445,0.19270820915699005,0.29146435856819153,0.3300545811653137,0.20430970191955566
parts,0.19750425219535828,0.264501690864563,0.2764776051044464,0.33726102113723755,0.26942741870880127,0.3282690644264221,0.3885885775089264,0.30734533071517944,0.09277684986591339,0.2913430631160736,0.36042657494544983,0.12310896813869476
of,0.37058958411216736,0.18525563180446625,0.3909035325050354,0.25179383158683777,0.27322983741760254,0.5696388483047485,0.26612308621406555,0.3296394646167755,0.18781472742557526,0.34735506772994995,0.3291318118572235,0.1826142966747284
newcastle,0.1756933033466339,0.15787525475025177,0.18862372636795044,0.1213710829615593,0.14376555383205414,0.19270820915699005,0.14037296175956726,0.19274786114692688,1.0000001192092896,0.18829229474067688,0.15416014194488525,0.0902252271771431
",",0.25601375102996826,0.21039406955242157,0.3734780251979828,0.21614786982536316,0.23329982161521912,0.5201468467712402,0.2988786995410919,0.3298884332180023,0.251589834690094,0.34610581398010254,0.3282252550125122,0.31091248989105225
particularly,0.27993452548980713,0.13166609406471252,0.27153345942497253,0.20067398250102997,0.2524111866950989,0.33242201805114746,0.3109775483608246,0.3217838406562805,0.10109102725982666,0.4161396324634552,0.2703195810317993,0.2644225060939789
along,0.2633877098560333,0.18875163793563843,0.27603578567504883,0.20723283290863037,0.16792374849319458,0.3603311777114868,0.30092281103134155,0.3273714482784271,0.129317969083786,0.25958961248397827,0.15350137650966644,0.17134909331798553
the,0.38253846764564514,0.3003387749195099,0.4177538752555847,0.2613173723220825,0.3234308958053589,0.6662389636039734,0.31653955578804016,0.40085816383361816,0.2253497689962387,0.37996912002563477,0.35740926861763,0.22068053483963013
west,0.16988840699195862,0.2024262249469757,0.24930864572525024,0.11395510286092758,0.10674584656953812,0.34078434109687805,0.22536547482013702,0.19822388887405396,0.26235947012901306,0.11153913289308548,0.20776435732841492,0.12088293582201004
road,0.04610489681363106,0.21265412867069244,0.18338672816753387,0.0006208100821822882,0.15392427146434784,0.23586870729923248,0.21421098709106445,0.20505578815937042,0.20966708660125732,0.10534939169883728,0.14476755261421204,0.10894691944122314
.,0.2718997597694397,0.24395984411239624,0.4105546176433563,0.20106352865695953,0.25432074069976807,0.5591574311256409,0.27904579043388367,0.3712388277053833,0.2714749276638031,0.3729337155818939,0.30348071455955505,0.4130953550338745
,whose,wall,has,fragments,visible,in,places,around,newcastle,even,today,?
