,along,with,the,american,institute,of,electrical,engineers,what,other,institute,eventually,became,the,ieee,?
tesla,0.1016557365655899,0.16424812376499176,0.1324402391910553,0.12191694229841232,0.15442416071891785,0.18837453424930573,0.45727142691612244,0.3254041373729706,0.23221199214458466,0.11896419525146484,0.15442416071891785,0.1490691900253296,0.12976884841918945,0.1324402391910553,0.3623356223106384,0.10250775516033173
served,0.18613788485527039,0.17899122834205627,0.25209251046180725,0.25616714358329773,0.1724761426448822,0.2967056334018707,0.14628960192203522,0.1811988800764084,0.1271134465932846,0.15253806114196777,0.1724761426448822,0.10271569341421127,0.37673845887184143,0.25209251046180725,0.12486335635185242,0.117141492664814
as,0.31813573837280273,0.40387406945228577,0.48381632566452026,0.2994234561920166,0.23080535233020782,0.3886612355709076,0.1705186367034912,0.1908814013004303,0.31749409437179565,0.42805421352386475,0.23080535233020782,0.31215140223503113,0.3482101261615753,0.48381632566452026,0.1882835477590561,0.27043893933296204
a,0.24426962435245514,0.3783375024795532,0.5829201340675354,0.22026167809963226,0.15834029018878937,0.5052502155303955,0.2779098153114319,0.17078717052936554,0.3320399522781372,0.2806335389614105,0.15834029018878937,0.28132501244544983,0.28774285316467285,0.5829201340675354,0.16850139200687408,0.23916715383529663
vice,0.07939700782299042,0.1132759153842926,0.2412198781967163,0.23051752150058746,0.15816959738731384,0.21141734719276428,0.209852397441864,0.21526913344860077,0.13314306735992432,0.1866050660610199,0.15816959738731384,0.1335316151380539,0.22111472487449646,0.2412198781967163,0.21847063302993774,0.1369185745716095
president,0.12066636234521866,0.14994901418685913,0.24330610036849976,0.25288230180740356,0.1685331165790558,0.21610750257968903,0.15365123748779297,0.17200011014938354,0.1870913952589035,0.11147172003984451,0.1685331165790558,0.15040498971939087,0.2389896661043167,0.24330610036849976,0.2169038951396942,0.14148259162902832
of,0.34889817237854004,0.41827285289764404,0.733189046382904,0.22180068492889404,0.2977932393550873,1.0,0.23057208955287933,0.189129039645195,0.33290785551071167,0.38583824038505554,0.2977932393550873,0.313495934009552,0.3638904094696045,0.733189046382904,0.2129846066236496,0.1826142966747284
the,0.39495137333869934,0.4223487675189972,1.0,0.24562937021255493,0.24399729073047638,0.733189046382904,0.2523402273654938,0.25282254815101624,0.42745697498321533,0.44152235984802246,0.24399729073047638,0.42022404074668884,0.36325156688690186,1.0,0.1838465929031372,0.22068053483963013
american,0.16784822940826416,0.20245933532714844,0.24562937021255493,1.0000001192092896,0.24250324070453644,0.22180068492889404,0.1456407755613327,0.21152135729789734,0.1909721940755844,0.2411116361618042,0.24250324070453644,0.14694058895111084,0.2360076755285263,0.24562937021255493,0.24350228905677795,0.18877598643302917
institute,0.12541787326335907,0.11803092807531357,0.24399729073047638,0.24250324070453644,1.0,0.2977932393550873,0.19961734116077423,0.35184910893440247,0.17608846724033356,0.1802527755498886,1.0,0.2151540219783783,0.14286889135837555,0.24399729073047638,0.3035942316055298,0.115291528403759
of,0.34889817237854004,0.41827285289764404,0.733189046382904,0.22180068492889404,0.2977932393550873,1.0,0.23057208955287933,0.189129039645195,0.33290785551071167,0.38583824038505554,0.2977932393550873,0.313495934009552,0.3638904094696045,0.733189046382904,0.2129846066236496,0.1826142966747284
electrical,0.205083429813385,0.1801341325044632,0.2523402273654938,0.1456407755613327,0.19961734116077423,0.23057208955287933,1.0000001192092896,0.4138019382953644,0.19961315393447876,0.20480802655220032,0.19961734116077423,0.1728026568889618,0.13752612471580505,0.2523402273654938,0.37310829758644104,0.10923371464014053
engineers,0.19066041707992554,0.20687973499298096,0.25282254815101624,0.21152135729789734,0.35184910893440247,0.189129039645195,0.4138019382953644,1.0,0.259060800075531,0.27848193049430847,0.35184910893440247,0.26025018095970154,0.16294139623641968,0.25282254815101624,0.33787575364112854,0.18139411509037018
",",0.29824912548065186,0.4120737314224243,0.4933079481124878,0.3048616647720337,0.25896888971328735,0.4946078956127167,0.24516360461711884,0.20086117088794708,0.3087472915649414,0.4446498453617096,0.25896888971328735,0.262137234210968,0.2798398435115814,0.4933079481124878,0.24352361261844635,0.31091248989105225
the,0.39495137333869934,0.4223487675189972,1.0,0.24562937021255493,0.24399729073047638,0.733189046382904,0.2523402273654938,0.25282254815101624,0.42745697498321533,0.44152235984802246,0.24399729073047638,0.42022404074668884,0.36325156688690186,1.0,0.1838465929031372,0.22068053483963013
forerunner,0.12665881216526031,0.11617525666952133,0.2814067304134369,0.233587846159935,0.31698378920555115,0.23956505954265594,0.2807043790817261,0.24821928143501282,0.16314412653446198,0.08340872824192047,0.31698378920555115,0.20206494629383087,0.25818535685539246,0.2814067304134369,0.23890851438045502,0.11524749547243118
(,0.18445467948913574,0.29503780603408813,0.33289089798927307,0.3044136166572571,0.17226308584213257,0.35032153129577637,0.21043901145458221,0.11962000280618668,0.2411840260028839,0.25035592913627625,0.17226308584213257,0.1019740104675293,0.15322089195251465,0.33289089798927307,0.23260299861431122,0.40561532974243164
along,1.0,0.47997185587882996,0.39495137333869934,0.16784822940826416,0.12541787326335907,0.34889817237854004,0.205083429813385,0.19066041707992554,0.22421957552433014,0.3091159760951996,0.12541787326335907,0.2939958870410919,0.17296551167964935,0.39495137333869934,0.16813218593597412,0.17134909331798553
with,0.47997185587882996,0.9999999403953552,0.4223487675189972,0.20245933532714844,0.11803092807531357,0.41827285289764404,0.1801341325044632,0.20687973499298096,0.2464839518070221,0.44086363911628723,0.11803092807531357,0.32133352756500244,0.23679126799106598,0.4223487675189972,0.20541632175445557,0.2433311939239502
the,0.39495137333869934,0.4223487675189972,1.0,0.24562937021255493,0.24399729073047638,0.733189046382904,0.2523402273654938,0.25282254815101624,0.42745697498321533,0.44152235984802246,0.24399729073047638,0.42022404074668884,0.36325156688690186,1.0,0.1838465929031372,0.22068053483963013
institute,0.12541787326335907,0.11803092807531357,0.24399729073047638,0.24250324070453644,1.0,0.2977932393550873,0.19961734116077423,0.35184910893440247,0.17608846724033356,0.1802527755498886,1.0,0.2151540219783783,0.14286889135837555,0.24399729073047638,0.3035942316055298,0.115291528403759
