,as,the,moon,has,no,atmosphere,",",what,is,prevalant,in,many,moon,rock,samples,brought,back,from,apollo,missions,?
many,0.4070141911506653,0.4335206151008606,0.14061444997787476,0.4266262650489807,0.27654168009757996,0.24549169838428497,0.40610817074775696,0.36131182312965393,0.2649032473564148,0.33294519782066345,0.41474202275276184,0.9999999403953552,0.14061444997787476,0.22274094820022583,0.23405355215072632,0.3761652708053589,0.2512952387332916,0.33099696040153503,0.13721908628940582,0.3181447684764862,0.2124512493610382
samples,0.2145594358444214,0.2069351226091385,0.3050103485584259,0.18515221774578094,0.14954271912574768,0.2557409405708313,0.2364167869091034,0.23286624252796173,0.22968509793281555,0.20388182997703552,0.13152313232421875,0.23405355215072632,0.3050103485584259,0.3065677583217621,1.0000001192092896,0.1803211122751236,0.1887572705745697,0.24089361727237701,0.20369552075862885,0.2470853179693222,0.1777840405702591
appear,0.32869234681129456,0.3581200838088989,0.26876524090766907,0.22380571067333221,0.26774469017982483,0.24352839589118958,0.28874364495277405,0.2962318956851959,0.2552686333656311,0.2679489552974701,0.2517908811569214,0.30559736490249634,0.26876524090766907,0.2227165400981903,0.22137752175331116,0.12277722358703613,0.22434459626674652,0.1857801228761673,0.1745750606060028,0.1627553403377533,0.22635367512702942
to,0.42092081904411316,0.535392165184021,0.17707908153533936,0.3619994819164276,0.30015695095062256,0.24801792204380035,0.44245919585227966,0.455847829580307,0.42745086550712585,0.19304393231868744,0.45010748505592346,0.40243685245513916,0.17707908153533936,0.22657817602157593,0.19206596910953522,0.35361579060554504,0.4675939381122589,0.4069952368736267,0.23190522193908691,0.29123765230178833,0.29463258385658264
be,0.5230465531349182,0.4248143136501312,0.20152267813682556,0.3863394856452942,0.4173688292503357,0.2586257755756378,0.39254459738731384,0.3929833769798279,0.4819129705429077,0.2626541256904602,0.3481820821762085,0.3961109519004822,0.20152267813682556,0.24234087765216827,0.2848253548145294,0.22883372008800507,0.22852785885334015,0.3107333183288574,0.1851431280374527,0.16492660343647003,0.3324260413646698
pitted,0.2496354579925537,0.2833486795425415,0.14363253116607666,0.15932661294937134,0.16647514700889587,0.12378321588039398,0.2645431160926819,0.12482120841741562,0.14179515838623047,0.2976761758327484,0.23437657952308655,0.14551296830177307,0.14363253116607666,0.16809317469596863,0.1601347029209137,0.28420740365982056,0.19036072492599487,0.22998380661010742,0.18640506267547607,0.13957473635673523,0.10992324352264404
with,0.40387406945228577,0.4223487675189972,0.20192916691303253,0.44092974066734314,0.24678650498390198,0.19889026880264282,0.4120737314224243,0.2464839518070221,0.3250955045223236,0.3260684907436371,0.4080928862094879,0.35744401812553406,0.20192916691303253,0.1656847447156906,0.2275943160057068,0.327576220035553,0.3237067759037018,0.26272761821746826,0.1249200850725174,0.21365633606910706,0.2433311939239502
micrometeoroid,0.21249617636203766,0.2693862020969391,0.40666985511779785,0.17867155373096466,0.1730916053056717,0.48918774724006653,0.24134612083435059,0.2597883641719818,0.26332274079322815,0.3212191164493561,0.1783064603805542,0.21247802674770355,0.40666985511779785,0.24543148279190063,0.3436333239078522,0.10526763647794724,0.15867546200752258,0.20129691064357758,0.297414094209671,0.2512584328651428,0.20491306483745575
impact,0.21005624532699585,0.22336715459823608,0.3090229630470276,0.20220687985420227,0.21945618093013763,0.32619616389274597,0.2012101411819458,0.25162962079048157,0.18670059740543365,0.262687087059021,0.18933768570423126,0.24258242547512054,0.3090229630470276,0.23584440350532532,0.1388070434331894,0.20145469903945923,0.15269674360752106,0.15606744587421417,0.21188683807849884,0.24126529693603516,0.18429921567440033
craters,0.1963767558336258,0.25269630551338196,0.4867088794708252,0.21288436651229858,0.11403043568134308,0.3600374162197113,0.22415195405483246,0.17032134532928467,0.26857125759124756,0.25338447093963623,0.23046237230300903,0.24111685156822205,0.4867088794708252,0.30081817507743835,0.28895923495292664,0.14684328436851501,0.157404825091362,0.16683970391750336,0.29130926728248596,0.2899089455604553,0.13344156742095947
",",0.48816442489624023,0.4933079481124878,0.18567080795764923,0.3734780251979828,0.29972612857818604,0.26560261845588684,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.33543166518211365,0.5201468467712402,0.40610817074775696,0.18567080795764923,0.2775712311267853,0.2364167869091034,0.30810219049453735,0.3066370487213135,0.39760664105415344,0.19808128476142883,0.2626538574695587,0.31091248989105225
which,0.41006597876548767,0.6521818041801453,0.19790339469909668,0.4350704550743103,0.32479003071784973,0.30373719334602356,0.3658004403114319,0.5261979103088379,0.4457404911518097,0.3381606340408325,0.4840516746044159,0.5168171525001526,0.19790339469909668,0.2919301390647888,0.2974560856819153,0.2530832886695862,0.3174980580806732,0.38755592703819275,0.19047300517559052,0.2506242096424103,0.25814583897590637
