,where,do,a,majority,of,consultant,pharmacists,tend,to,work,?
consultant,0.1993342936038971,0.1596454530954361,0.22634117305278778,0.20410224795341492,0.22485356032848358,0.9999998807907104,0.24216537177562714,0.18046613037586212,0.27452826499938965,0.3624460697174072,0.1217312291264534
pharmacists,0.274419367313385,0.328380823135376,0.25803542137145996,0.24451680481433868,0.20506609976291656,0.24216537177562714,1.0,0.2849987745285034,0.24341562390327454,0.31919384002685547,0.1797308325767517
most,0.3678402900695801,0.31522849202156067,0.3508910834789276,0.3424006998538971,0.4178851246833801,0.2183757871389389,0.2470005452632904,0.35218170285224915,0.321603000164032,0.2797144949436188,0.2107497900724411
typically,0.32960572838783264,0.23270750045776367,0.37909039855003357,0.25882551074028015,0.28964799642562866,0.21775038540363312,0.23003771901130676,0.47385600209236145,0.3589242696762085,0.2044830024242401,0.14485043287277222
work,0.2737104296684265,0.3533625304698944,0.266241192817688,0.21481898427009583,0.23473061621189117,0.3624460697174072,0.31919384002685547,0.27095210552215576,0.3482864499092102,1.0,0.2621155381202698
in,0.5344807505607605,0.23402775824069977,0.539380669593811,0.2563854157924652,0.5696388483047485,0.28084608912467957,0.22358480095863342,0.2306872308254242,0.45010748505592346,0.2753349542617798,0.20430970191955566
nursing,0.26466453075408936,0.16954544186592102,0.21496661007404327,0.08716962486505508,0.23615451157093048,0.32629653811454773,0.2861816883087158,0.18094348907470703,0.2852202355861664,0.216051384806633,0.1371668577194214
homes,0.26588889956474304,0.17289018630981445,0.1711449772119522,0.2672366797924042,0.2122298777103424,0.11603693664073944,0.232850581407547,0.2388787418603897,0.2634379267692566,0.2179698795080185,0.12707971036434174
",",0.3149496018886566,0.3283645510673523,0.427140474319458,0.30214112997055054,0.4946078956127167,0.31020045280456543,0.22197484970092773,0.21972282230854034,0.44245919585227966,0.3283594250679016,0.31091248989105225
but,0.49101024866104126,0.4077886939048767,0.44750767946243286,0.3069172203540802,0.39942997694015503,0.22329699993133545,0.27924466133117676,0.4077097177505493,0.5542377829551697,0.3644881844520569,0.27921953797340393
are,0.32389864325523376,0.41111594438552856,0.265255331993103,0.3146342635154724,0.39081433415412903,0.14100416004657745,0.33935052156448364,0.48374560475349426,0.3504326641559601,0.26678818464279175,0.24591213464736938
increasingly,0.1657422035932541,0.1781112104654312,0.2660232484340668,0.3064955174922943,0.2953035831451416,0.32980015873908997,0.20202744007110596,0.4107716381549835,0.33546900749206543,0.26232582330703735,0.059327382594347
branching,0.24238383769989014,0.30230796337127686,0.2720939815044403,0.22649671137332916,0.30700066685676575,0.14429055154323578,0.21864593029022217,0.28867107629776,0.22070123255252838,0.23627923429012299,0.17171049118041992
into,0.335035502910614,0.20546826720237732,0.3461161255836487,0.17220187187194824,0.32255905866622925,0.09110669791698456,0.14120998978614807,0.24571940302848816,0.38810545206069946,0.17923736572265625,0.15662476420402527
other,0.3730994164943695,0.34946969151496887,0.2806335389614105,0.28805842995643616,0.38583824038505554,0.19661979377269745,0.3319152593612671,0.3858351707458496,0.4193183183670044,0.29067906737327576,0.24682199954986572
institutions,0.22701407968997955,0.21752145886421204,0.20288343727588654,0.24002082645893097,0.3371490240097046,0.38926631212234497,0.3184853196144104,0.22628405690193176,0.21708254516124725,0.2744552791118622,0.19119486212730408
and,0.43859338760375977,0.276123583316803,0.3739250600337982,0.34497180581092834,0.5116966962814331,0.3397461175918579,0.26810887455940247,0.35041332244873047,0.48971283435821533,0.37551814317703247,0.20544172823429108
non-institutional,0.18597334623336792,0.15503035485744476,0.256298691034317,0.27547380328178406,0.3655736744403839,0.46628785133361816,0.3123736083507538,0.19188691675662994,0.21678967773914337,0.213308647274971,0.18374398350715637
settings,0.27769342064857483,0.2958853244781494,0.24133352935314178,0.11065511405467987,0.1335434466600418,0.15989439189434052,0.22329860925674438,0.2766721248626709,0.27957916259765625,0.3553938567638397,0.31880196928977966
.,0.41390106081962585,0.3613996207714081,0.50484299659729,0.30306822061538696,0.5352458953857422,0.23353426158428192,0.27446362376213074,0.21436026692390442,0.4645031690597534,0.33121398091316223,0.4130953550338745
