,what,political,party,is,strongest,in,melbourne,'s,working,class,suburbs,?
the,0.42745697498321533,0.20477235317230225,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.25857484340667725,0.18034407496452332,0.22660650312900543,0.22068053483963013
centre-left,0.25909358263015747,0.2382386326789856,0.28173550963401794,0.2861068546772003,0.22104215621948242,0.26826927065849304,0.26983195543289185,-0.009773187339305878,0.18889901041984558,0.2037145495414734,0.4167802929878235,0.17718930542469025
australian,0.13873113691806793,0.1638454645872116,0.17602510750293732,0.1682673692703247,0.11699087172746658,0.1796053647994995,0.5590357780456543,0.06212134659290314,0.15740780532360077,0.12876509130001068,0.29750868678092957,0.10848008096218109
labor,0.1943984031677246,0.3312188386917114,0.4551692605018616,0.13817991316318512,0.19637265801429749,0.1950610727071762,0.2691713869571686,0.11055656522512436,0.2523679733276367,0.1839039921760559,0.24592901766300201,0.19386747479438782
party,0.2398013323545456,0.5684571266174316,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.17057888209819794,0.13796782493591309,0.18181219696998596,0.19031576812267303
(,0.2411840260028839,0.15074515342712402,0.1743791401386261,0.35393038392066956,0.1914849430322647,0.3087427020072937,0.12324028462171555,0.0012731997994706035,0.18173585832118988,0.1344621777534485,0.14015071094036102,0.40561532974243164
alp,0.11326020956039429,0.25488898158073425,0.4457589089870453,0.08307643979787827,0.21343658864498138,0.15557928383350372,0.28240102529525757,0.011002324521541595,0.04274925962090492,0.06743191182613373,0.21989834308624268,0.08871067315340042
),0.26259949803352356,0.18104615807533264,0.2047169804573059,0.37732169032096863,0.19373393058776855,0.3326910734176636,0.1379893720149994,0.021107977256178856,0.19382897019386292,0.16039183735847473,0.14845071732997894,0.42300865054130554
",",0.3087472915649414,0.27072274684906006,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.29007792472839355,0.1753857135772705,0.25310659408569336,0.31091248989105225
the,0.42745697498321533,0.20477235317230225,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.25857484340667725,0.18034407496452332,0.22660650312900543,0.22068053483963013
centre-right,0.33276161551475525,0.26146894693374634,0.2659144997596741,0.3292903006076813,0.23828116059303284,0.27665138244628906,0.296825647354126,-0.02044862136244774,0.23528258502483368,0.2168065309524536,0.39558088779449463,0.2603051960468292
liberal,0.20277564227581024,0.5218030214309692,0.5935624241828918,0.12604059278964996,0.21783804893493652,0.1513776332139969,0.21246570348739624,-0.03906174749135971,0.12706027925014496,0.16403330862522125,0.23565106093883514,0.13139645755290985
party,0.2398013323545456,0.5684571266174316,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.17057888209819794,0.13796782493591309,0.18181219696998596,0.19031576812267303
of,0.33290785551071167,0.27319738268852234,0.23662418127059937,0.4854315221309662,0.27349069714546204,0.5696388483047485,0.1963735967874527,-0.03817026689648628,0.19986772537231445,0.19740594923496246,0.2319147288799286,0.1826142966747284
australia,0.1913539320230484,0.18417374789714813,0.25781694054603577,0.1734699010848999,0.1913454234600067,0.2697675824165344,0.6183432340621948,0.040361400693655014,0.13847745954990387,0.1263829618692398,0.3524310886859894,0.15702682733535767
",",0.3087472915649414,0.27072274684906006,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.29007792472839355,0.1753857135772705,0.25310659408569336,0.31091248989105225
the,0.42745697498321533,0.20477235317230225,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.25857484340667725,0.18034407496452332,0.22660650312900543,0.22068053483963013
rural-based,0.2925647795200348,0.3058602213859558,0.2442495971918106,0.2981930077075958,0.18260811269283295,0.3824307918548584,0.27161532640457153,0.11010856181383133,0.26336902379989624,0.2900589108467102,0.41797366738319397,0.2439529448747635
national,0.16882304847240448,0.25737327337265015,0.2879488468170166,0.23413582146167755,0.20582537353038788,0.28915393352508545,0.18997915089130402,-0.05226261913776398,0.10594306886196136,0.11192294955253601,0.1271200031042099,0.15643028914928436
party,0.2398013323545456,0.5684571266174316,0.9999999403953552,0.1756078004837036,0.25214847922325134,0.20446790754795074,0.20605561137199402,0.02531869150698185,0.17057888209819794,0.13796782493591309,0.18181219696998596,0.19031576812267303
of,0.33290785551071167,0.27319738268852234,0.23662418127059937,0.4854315221309662,0.27349069714546204,0.5696388483047485,0.1963735967874527,-0.03817026689648628,0.19986772537231445,0.19740594923496246,0.2319147288799286,0.1826142966747284
australia,0.1913539320230484,0.18417374789714813,0.25781694054603577,0.1734699010848999,0.1913454234600067,0.2697675824165344,0.6183432340621948,0.040361400693655014,0.13847745954990387,0.1263829618692398,0.3524310886859894,0.15702682733535767
",",0.3087472915649414,0.27072274684906006,0.21963930130004883,0.4691906273365021,0.2481238842010498,0.5201468467712402,0.18849031627178192,-0.0016132977325469255,0.29007792472839355,0.1753857135772705,0.25310659408569336,0.31091248989105225
and,0.31309178471565247,0.33013346791267395,0.20650289952754974,0.3859752118587494,0.26421281695365906,0.4954058527946472,0.22872792184352875,0.06895173341035843,0.30510061979293823,0.20710228383541107,0.25931885838508606,0.20544172823429108
the,0.42745697498321533,0.20477235317230225,0.23779736459255219,0.5823672413825989,0.3046645522117615,0.6662389636039734,0.2464369535446167,-0.01540423184633255,0.25857484340667725,0.18034407496452332,0.22660650312900543,0.22068053483963013
environmentalist,0.10888823121786118,0.45675480365753174,0.3387085497379303,0.19724129140377045,0.13226604461669922,0.20270052552223206,0.16004855930805206,0.032661162316799164,0.21193136274814606,0.1680961400270462,0.1179903969168663,0.15612958371639252
australian,0.13873113691806793,0.1638454645872116,0.17602510750293732,0.1682673692703247,0.11699087172746658,0.1796053647994995,0.5590357780456543,0.06212134659290314,0.15740780532360077,0.12876509130001068,0.29750868678092957,0.10848008096218109
greens,0.0763634666800499,0.3519020676612854,0.5009442567825317,0.1802338808774948,0.2006874680519104,0.16785408556461334,0.2660614550113678,0.13017088174819946,0.14144758880138397,0.09415919333696365,0.1483384668827057,0.11291272938251495
are,0.29724663496017456,0.12559790909290314,0.1489485502243042,0.5330929756164551,0.16421034932136536,0.3841303884983063,0.17143335938453674,-0.008927806280553341,0.23492206633090973,0.1495869755744934,0.2001008540391922,0.24591213464736938
victoria,0.1194850504398346,0.15933498740196228,0.17201867699623108,0.1633591204881668,0.16906721889972687,0.20823122560977936,0.5566045641899109,0.06206126511096954,0.12905631959438324,0.11666174978017807,0.3460340201854706,0.12246892601251602
's,0.02692362666130066,0.04151610657572746,0.02531869150698185,0.02396530658006668,0.047782525420188904,-0.037580832839012146,0.09813514351844788,0.9999999403953552,-0.0629357099533081,-0.017892489209771156,0.024113589897751808,-0.023395681753754616
main,0.2344268560409546,0.19697606563568115,0.096624456346035,0.3009335994720459,0.2351764738559723,0.28862449526786804,0.1435454785823822,0.032559316605329514,0.21981018781661987,0.2087545245885849,0.1651718020439148,0.1665669083595276
political,0.21846716105937958,1.0000001192092896,0.5684571266174316,0.15203817188739777,0.18013717234134674,0.22136160731315613,0.11841163039207458,0.04151610657572746,0.15981560945510864,0.12524160742759705,0.18555781245231628,0.17130474746227264
