,in,what,century,was,quantum,mechanics,made,?
in,1.0,0.30808621644973755,0.3174034655094147,0.45514053106307983,0.1964065581560135,0.19751228392124176,0.25271502137184143,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.48711544275283813,0.21868084371089935,0.25626060366630554,0.3885267674922943,0.22068053483963013
20th,0.20743919909000397,0.1850772649049759,0.2968566119670868,0.258506178855896,0.24406448006629944,0.19575701653957367,0.1164110004901886,0.14985637366771698
century,0.3174034655094147,0.20422613620758057,1.0,0.3521432876586914,0.21625566482543945,0.20297160744667053,0.2152203619480133,0.1026201918721199
",",0.5201468467712402,0.3087472915649414,0.24487493932247162,0.45456063747406006,0.2181866616010666,0.17874979972839355,0.32507219910621643,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.48711544275283813,0.21868084371089935,0.25626060366630554,0.3885267674922943,0.22068053483963013
development,0.2550492286682129,0.19014155864715576,0.22627972066402435,0.2344081997871399,0.2403252273797989,0.2726810872554779,0.21771858632564545,0.1211358830332756
of,0.5696388483047485,0.33290785551071167,0.2826060354709625,0.4069072902202606,0.24717314541339874,0.27608323097229004,0.33167365193367004,0.1826142966747284
quantum,0.1964065581560135,0.3095471262931824,0.21625566482543945,0.182573601603508,1.0000001192092896,0.6788787245750427,0.13621127605438232,0.20770002901554108
mechanics,0.19751228392124176,0.3135516941547394,0.20297160744667053,0.190043106675148,0.6788787245750427,1.0,0.14505645632743835,0.15634238719940186
led,0.2990247309207916,0.12112844735383987,0.21939709782600403,0.34443995356559753,0.14402782917022705,0.10998005419969559,0.28145718574523926,0.09273858368396759
to,0.45010748505592346,0.455847829580307,0.20143604278564453,0.3636345863342285,0.2208167314529419,0.18427595496177673,0.3377571105957031,0.29463258385658264
a,0.539380669593811,0.3320399522781372,0.19417014718055725,0.4508470594882965,0.19849064946174622,0.2336277961730957,0.3180864453315735,0.23916715383529663
modern,0.29808807373046875,0.2655639946460724,0.3493697941303253,0.23571695387363434,0.21107569336891174,0.1756959855556488,0.18695756793022156,0.12475407868623734
understanding,0.23784463107585907,0.4748767614364624,0.21782365441322327,0.19648301601409912,0.414833128452301,0.38588979840278625,0.23217108845710754,0.3107462525367737
that,0.435920387506485,0.6297725439071655,0.24900858104228973,0.33670201897621155,0.2914109230041504,0.3173581659793854,0.3437977731227875,0.32716336846351624
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.48711544275283813,0.21868084371089935,0.25626060366630554,0.3885267674922943,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.32110705971717834,0.5022147297859192,0.15313760936260223,0.1517213135957718,0.31759878993034363,0.18701928853988647
three,0.34828072786331177,0.24888746440410614,0.16052855551242828,0.2748996615409851,0.12282847613096237,0.17444489896297455,0.2568735182285309,0.20928427577018738
fundamental,0.23429831862449646,0.35305243730545044,0.2380560338497162,0.1772308349609375,0.46459630131721497,0.4600542485713959,0.21140655875205994,0.2011919468641281
forces,0.2565164566040039,0.2112482488155365,0.16794659197330475,0.22620010375976562,0.2344486564397812,0.22473439574241638,0.17932815849781036,0.16984491050243378
(,0.3087427020072937,0.2411840260028839,0.15864071249961853,0.2980341613292694,0.15968286991119385,0.09022967517375946,0.20796485245227814,0.40561532974243164
all,0.3335905969142914,0.41981086134910583,0.19341745972633362,0.23179835081100464,0.20477336645126343,0.27685216069221497,0.2936793267726898,0.29575422406196594
except,0.22713249921798706,0.2278055101633072,0.15698127448558807,0.18849630653858185,0.09825847297906876,0.10704784095287323,0.1927056908607483,0.16405975818634033
