,what,do,the,animal,locomotion,photographs,capture,?
these,0.4164220690727234,0.4402875602245331,0.49086877703666687,0.1985863745212555,0.26534467935562134,0.22092841565608978,0.15118280053138733,0.2571668326854706
sequences,0.22366639971733093,0.1688661277294159,0.2234572321176529,0.1663801670074463,0.22298002243041992,0.2397342473268509,0.11986545473337173,0.1885564625263214
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.2429264932870865,0.1762722134590149,0.1805899739265442,0.28606823086738586,0.1826142966747284
photographs,0.15199247002601624,0.14656738936901093,0.16852141916751862,0.10337751358747482,0.08548130840063095,1.0000001192092896,0.23227369785308838,0.16775095462799072
taken,0.26014965772628784,0.15035563707351685,0.3309854567050934,0.17170625925064087,0.07879777252674103,0.3120323717594147,0.25142601132392883,0.17662954330444336
a,0.3320399522781372,0.26237669587135315,0.5829201340675354,0.2330022156238556,0.21509739756584167,0.17449244856834412,0.18784219026565552,0.23916715383529663
fraction,0.2630118429660797,0.17098930478096008,0.20450231432914734,0.1669723242521286,0.21858683228492737,0.1873248964548111,0.13292458653450012,0.18103548884391785
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.2429264932870865,0.1762722134590149,0.1805899739265442,0.28606823086738586,0.1826142966747284
a,0.3320399522781372,0.26237669587135315,0.5829201340675354,0.2330022156238556,0.21509739756584167,0.17449244856834412,0.18784219026565552,0.23916715383529663
second,0.19948028028011322,0.15643955767154694,0.4620301127433777,0.09580641239881516,0.11224763095378876,0.08557671308517456,0.18043535947799683,0.17239587008953094
apart,0.3046720027923584,0.24578435719013214,0.28010323643684387,0.12590743601322174,0.15989287197589874,0.31938955187797546,0.21191878616809845,0.11720603704452515
capture,0.20491331815719604,0.14949841797351837,0.3008226752281189,0.12889587879180908,0.18495236337184906,0.23227369785308838,0.9999999403953552,0.12945853173732758
images,0.23456238210201263,0.23574328422546387,0.22232814133167267,0.1769457310438156,0.16473105549812317,0.5098525285720825,0.19463369250297546,0.22502069175243378
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.2429264932870865,0.1762722134590149,0.1805899739265442,0.28606823086738586,0.1826142966747284
different,0.39262300729751587,0.35756775736808777,0.36412742733955383,0.27001479268074036,0.16556601226329803,0.1604941338300705,0.16828355193138123,0.24476227164268494
animals,0.26212990283966064,0.28798356652259827,0.2939487397670746,0.7674015760421753,0.38095009326934814,0.14931418001651764,0.16650521755218506,0.16430135071277618
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.28363606333732605,0.18993738293647766,0.15184703469276428,0.20398123562335968,0.20544172823429108
humans,0.28355827927589417,0.29710686206817627,0.29565489292144775,0.4389997124671936,0.3212936520576477,0.12181012332439423,0.15636956691741943,0.20141740143299103
performimg,0.15604183077812195,0.220320925116539,0.26061123609542847,0.2115979939699173,0.232953280210495,0.12918388843536377,0.12859860062599182,0.1671960949897766
various,0.26045072078704834,0.22750963270664215,0.3235042691230774,0.25101491808891296,0.16375909745693207,0.17982061207294464,0.15146249532699585,0.12823495268821716
actions,0.39243605732917786,0.2960616946220398,0.297427237033844,0.14244835078716278,0.11871520429849625,0.19036856293678284,0.25029456615448,0.2841099798679352
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.2140108346939087,0.23785719275474548,0.18338389694690704,0.2623634934425354,0.4130953550338745
