,what,is,a,maze,of,membranous,tubes,?
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.17326197028160095,0.38761502504348755,0.1933804452419281,0.17101263999938965,0.25732165575027466
is,0.28837618231773376,1.0,0.658733606338501,0.17051641643047333,0.4854315221309662,0.21818944811820984,0.15036141872406006,0.22961433231830597
often,0.3849453330039978,0.3856629431247711,0.3930865228176117,0.2384374886751175,0.3351972997188568,0.28179264068603516,0.26673394441604614,0.23748154938220978
found,0.1796332150697708,0.3526395261287689,0.2869448959827423,0.16764897108078003,0.2982911467552185,0.21178819239139557,0.13429851830005646,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.20460106432437897,0.5696388483047485,0.19723153114318848,0.17184694111347198,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.21629445254802704,0.733189046382904,0.22558419406414032,0.19047345221042633,0.22068053483963013
chloroplasts,0.2524593770503998,0.22550933063030243,0.24622295796871185,0.229782834649086,0.23179760575294495,0.59731525182724,0.44476109743118286,0.13049766421318054
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.20120711624622345,1.0,0.23837029933929443,0.1600216180086136,0.1826142966747284
c4,-0.036017969250679016,-0.01748819462954998,-0.016002146527171135,0.005935381632298231,0.0442662239074707,-0.11307643353939056,-0.11740109324455261,-0.1533951610326767
plants,0.25144460797309875,0.2423158437013626,0.21329157054424286,0.2168966829776764,0.29386165738105774,0.37094542384147644,0.3236646354198456,0.1473488062620163
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.24370792508125305,0.4946078956127167,0.22638696432113647,0.16625052690505981,0.31091248989105225
though,0.4089210331439972,0.3265945613384247,0.33230000734329224,0.13191410899162292,0.37307101488113403,0.22290873527526855,0.1675201803445816,0.3188856542110443
it,0.45803478360176086,0.6328473687171936,0.5452592968940735,0.17326197028160095,0.38761502504348755,0.1933804452419281,0.17101263999938965,0.25732165575027466
has,0.20338068902492523,0.5668748617172241,0.4670248031616211,0.14186468720436096,0.3909035325050354,0.23179548978805542,0.16792917251586914,0.15994466841220856
also,0.42747777700424194,0.5012649297714233,0.5149940252304077,0.2730550467967987,0.4924938678741455,0.258476585149765,0.20886284112930298,0.21848613023757935
been,0.2567804455757141,0.39566612243652344,0.3315402865409851,0.13799454271793365,0.31685134768486023,0.22341139614582062,0.1804467886686325,0.24354910850524902
found,0.1796332150697708,0.3526395261287689,0.2869448959827423,0.16764897108078003,0.2982911467552185,0.21178819239139557,0.13429851830005646,0.16790300607681274
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.20460106432437897,0.5696388483047485,0.19723153114318848,0.17184694111347198,0.20430970191955566
some,0.4491020441055298,0.3038453459739685,0.34539633989334106,0.21072210371494293,0.4300730526447296,0.2821149230003357,0.26254141330718994,0.2562315762042999
c3,-0.05588753893971443,-0.02490866743028164,0.06185782328248024,0.052740905433893204,0.013368838466703892,0.01763216219842434,0.037193506956100464,-0.06926749646663666
angiosperms,0.22702085971832275,0.19479237496852875,0.21504542231559753,0.22743061184883118,0.2728550136089325,0.4423564076423645,0.3432066738605499,0.20291751623153687
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.24370792508125305,0.4946078956127167,0.22638696432113647,0.16625052690505981,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.30417749285697937,0.5116966962814331,0.26436832547187805,0.1942688524723053,0.20544172823429108
even,0.40872135758399963,0.28202980756759644,0.3278432786464691,0.15309064090251923,0.34735506772994995,0.2282705008983612,0.21300742030143738,0.30082517862319946
some,0.4491020441055298,0.3038453459739685,0.34539633989334106,0.21072210371494293,0.4300730526447296,0.2821149230003357,0.26254141330718994,0.2562315762042999
gymnosperms,0.2034807801246643,0.19783489406108856,0.2334531545639038,0.22313770651817322,0.26645541191101074,0.4423726499080658,0.36202964186668396,0.21663521230220795
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.2837298810482025,0.5352458953857422,0.19594861567020416,0.18706807494163513,0.4130953550338745
