,when,was,the,announcement,for,the,lor,made,after,being,delayed,?
kennedy,0.20233280956745148,0.1929353028535843,0.20303435623645782,0.27057552337646484,0.22511224448680878,0.20303435623645782,0.13453294336795807,0.16344395279884338,0.22713129222393036,0.22566501796245575,0.17973005771636963,0.21965277194976807
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,-0.0523303784430027,-0.07241261005401611,-0.01540423184633255,0.030488789081573486,0.08483956009149551,-0.055672239512205124,-0.055871423333883286,-0.009928583167493343,-0.023395681753754616
science,0.16938894987106323,0.22005605697631836,0.24037593603134155,0.19162937998771667,0.23603716492652893,0.24037593603134155,0.14529146254062653,0.2061282992362976,0.10766847431659698,0.19264040887355804,0.10070180892944336,0.17974960803985596
advisor,0.19686830043792725,0.3046267628669739,0.17215700447559357,0.3004205822944641,0.2261115163564682,0.17215700447559357,0.16155967116355896,0.16210025548934937,0.21011829376220703,0.18467392027378082,0.18661713600158691,0.0939842164516449
jerome,0.08534223586320877,0.21994371712207794,0.16523043811321259,0.13829851150512695,0.14066030085086823,0.16523043811321259,0.09549491107463837,0.12463667243719101,0.14680173993110657,0.07932867854833603,0.06823985278606415,0.17408518493175507
wiesner,0.18832820653915405,0.30600506067276,0.27002912759780884,0.1651201695203781,0.23178799450397491,0.27002912759780884,0.3400769531726837,0.13221235573291779,0.208052396774292,0.1816106140613556,0.12239222228527069,0.2351539433002472
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.24131536483764648,0.4464869201183319,0.4933079481124878,0.23221434652805328,0.32507219910621643,0.38860568404197693,0.34499165415763855,0.21662144362926483,0.31091248989105225
who,0.48282691836357117,0.3318818509578705,0.3733934462070465,0.16863656044006348,0.37110671401023865,0.3733934462070465,0.19569316506385803,0.2576322853565216,0.32549580931663513,0.44037187099456787,0.113697849214077,0.26220351457595825
had,0.37526828050613403,0.5927209258079529,0.3875846862792969,0.270965039730072,0.3270139992237091,0.3875846862792969,0.12609127163887024,0.3391602039337158,0.4133172631263733,0.42718788981437683,0.3574638366699219,0.20728366076946259
expressed,0.2265259027481079,0.15369442105293274,0.25207287073135376,0.2653566002845764,0.29098325967788696,0.25207287073135376,0.11056773364543915,0.16912029683589935,0.13252541422843933,0.23238903284072876,0.25655579566955566,0.17175263166427612
his,0.37120407819747925,0.4405253231525421,0.4394008219242096,0.28146252036094666,0.39312878251075745,0.4394008219242096,0.15788044035434723,0.29201897978782654,0.41949746012687683,0.34421810507774353,0.2594882845878601,0.18075084686279297
