,what,can,students,that,complete,high,school,have,opportunites,to,do,?
those,0.44466671347618103,0.4185016453266144,0.32113906741142273,0.5085503458976746,0.24112625420093536,0.19368380308151245,0.1838642805814743,0.5838188529014587,0.3341923654079437,0.47350940108299255,0.43052518367767334,0.3328189253807068
who,0.40942975878715515,0.2602734863758087,0.3510516881942749,0.45444270968437195,0.16334585845470428,0.14553065598011017,0.21669194102287292,0.39246654510498047,0.3021770417690277,0.42656609416007996,0.2662210166454315,0.26220351457595825
complete,0.29213884472846985,0.20660987496376038,0.24333585798740387,0.30512917041778564,1.0,0.10225848853588104,0.09674357622861862,0.26742038130760193,0.2538714110851288,0.26479288935661316,0.22834019362926483,0.11962060630321503
high,0.20466077327728271,0.24255423247814178,0.308525413274765,0.2400680035352707,0.10225848853588104,1.0,0.5397339463233948,0.2406233847141266,0.13440248370170593,0.28947713971138,0.15005089342594147,0.11137914657592773
school,0.18774057924747467,0.09772772341966629,0.6345757842063904,0.2190830111503601,0.09674357622861862,0.5397339463233948,1.0,0.16803227365016937,0.18931540846824646,0.24496325850486755,0.13649480044841766,0.15091250836849213
can,0.34502777457237244,1.0,0.16829217970371246,0.4522190988063812,0.20660987496376038,0.24255423247814178,0.09772772341966629,0.5489245653152466,0.2797756791114807,0.4979398250579834,0.45775556564331055,0.3226337134838104
join,0.22255058586597443,0.14517146348953247,0.25976425409317017,0.2849005162715912,0.21725571155548096,0.13941287994384766,0.20852653682231903,0.2664616107940674,0.2786523997783661,0.34188714623451233,0.2555169463157654,0.13127188384532928
a,0.3320399522781372,0.3915780484676361,0.2676560878753662,0.47537946701049805,0.29913821816444397,0.22865821421146393,0.2245093584060669,0.338716596364975,0.24118049442768097,0.45503583550453186,0.26237669587135315,0.23916715383529663
polytechnic,0.1455845832824707,0.14120565354824066,0.479728102684021,0.16222646832466125,0.10889486968517303,0.2316770702600479,0.4273337423801422,0.11167120933532715,0.11854919046163559,0.20826572179794312,0.1273106187582016,0.13763803243637085
or,0.33867141604423523,0.5614996552467346,0.21765491366386414,0.4729836881160736,0.2276586890220642,0.17899541556835175,0.12007436156272888,0.46389055252075195,0.2570907771587372,0.38921234011650085,0.39439281821250916,0.32389625906944275
