,which,massive,lake,did,the,mongolians,call,tenggis,?
(,0.2589828372001648,0.11314272880554199,0.14248812198638916,0.18979617953300476,0.33289089798927307,0.13773243129253387,0.2160075157880783,0.3458886742591858,0.40561532974243164
lake,0.2097730040550232,0.23150953650474548,1.0000001192092896,0.14357861876487732,0.24325428903102875,0.1792277991771698,0.08187013119459152,0.2921070456504822,0.07226386666297913
baikal,0.2888536751270294,0.23728951811790466,0.5004220008850098,0.10532952100038528,0.26535630226135254,0.3713498115539551,0.12825657427310944,0.46678444743156433,0.17960216104984283
and,0.506277859210968,0.21224062144756317,0.234501451253891,0.34479495882987976,0.5171257257461548,0.2362065315246582,0.237839937210083,0.3412702679634094,0.20544172823429108
ocean,0.2893344461917877,0.1977965533733368,0.3555544316768646,0.15285742282867432,0.3185477554798126,0.18588940799236298,0.11680754274129868,0.2794228196144104,0.15205028653144836
were,0.2807837128639221,0.1885659545660019,0.1398269236087799,0.4162326455116272,0.3906462490558624,0.3019275963306427,0.15069875121116638,0.23513032495975494,0.17890112102031708
called,0.5573342442512512,0.16794326901435852,0.15459707379341125,0.277748167514801,0.489897221326828,0.2142256498336792,0.4729457497596741,0.27381110191345215,0.18963319063186646
tenggis,0.38207724690437317,0.24771419167518616,0.2921070456504822,0.13184723258018494,0.34892356395721436,0.35696887969970703,0.20673157274723053,1.0,0.27265721559524536
by,0.40543368458747864,0.21267324686050415,0.17407365143299103,0.18574509024620056,0.4408751428127289,0.20108768343925476,0.1639126092195511,0.21560314297676086,0.17966607213020325
the,0.6521818041801453,0.29983171820640564,0.24325428903102875,0.34736719727516174,1.0,0.2997082769870758,0.26640447974205017,0.34892356395721436,0.22068053483963013
mongols,0.23739531636238098,0.20280976593494415,0.20190250873565674,0.21908389031887054,0.310281366109848,0.7874423861503601,0.18519629538059235,0.3350139260292053,0.11517509818077087
.,0.45942068099975586,0.18670661747455597,0.18603695929050446,0.35288307070732117,0.5934505462646484,0.1906452476978302,0.2601918876171112,0.3323460817337036,0.4130953550338745
