,what,are,two,of,its,subsystems,?
in,0.30808621644973755,0.3841303884983063,0.36463531851768494,0.5696388483047485,0.3793783485889435,0.2271067500114441,0.20430970191955566
many,0.36131182312965393,0.5655534863471985,0.5147606730461121,0.37253960967063904,0.3319723308086395,0.34059667587280273,0.2124512493610382
species,0.14617158472537994,0.3297041952610016,0.22015008330345154,0.23307405412197113,0.25710946321487427,0.38984552025794983,0.1957087516784668
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.4946078956127167,0.33157986402511597,0.25366538763046265,0.31091248989105225
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.733189046382904,0.559237003326416,0.30377060174942017,0.22068053483963013
immune,0.2410416603088379,0.23878547549247742,0.15377098321914673,0.16620753705501556,0.17650361359119415,0.3601576089859009,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.14671745896339417,0.25597915053367615,0.24247176945209503,0.6591464877128601,0.15556083619594574
can,0.34502777457237244,0.5408529043197632,0.282000333070755,0.2603091299533844,0.2625933587551117,0.43811699748039246,0.3226337134838104
be,0.3929833769798279,0.5556803941726685,0.28515341877937317,0.33904364705085754,0.2731834948062897,0.37627121806144714,0.3324260413646698
classified,0.16493408381938934,0.3116118311882019,0.232509046792984,0.1888706386089325,0.21431545913219452,0.3309380114078522,0.1583244353532791
into,0.2180619090795517,0.2930682599544525,0.34175926446914673,0.32255905866622925,0.2562001943588257,0.22230547666549683,0.15662476420402527
subsystems,0.24752198159694672,0.37556418776512146,0.21587757766246796,0.2675829231739044,0.2641928493976593,1.0,0.23699964582920074
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.4946078956127167,0.33157986402511597,0.25366538763046265,0.31091248989105225
such,0.23989605903625488,0.4654397666454315,0.29377371072769165,0.3209529519081116,0.22375942766666412,0.35709482431411743,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.3029302954673767,0.3886612355709076,0.31874480843544006,0.274653822183609,0.27043893933296204
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.733189046382904,0.559237003326416,0.30377060174942017,0.22068053483963013
innate,0.2683543860912323,0.2676650285720825,0.16956093907356262,0.255485475063324,0.2243216335773468,0.3816959857940674,0.16386382281780243
immune,0.2410416603088379,0.23878547549247742,0.15377098321914673,0.16620753705501556,0.17650361359119415,0.3601576089859009,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.14671745896339417,0.25597915053367615,0.24247176945209503,0.6591464877128601,0.15556083619594574
versus,0.19675661623477936,0.15013527870178223,0.19815295934677124,0.17810623347759247,0.19205604493618011,0.1517648547887802,0.17916910350322723
the,0.42745697498321533,0.40399202704429626,0.43858039379119873,0.733189046382904,0.559237003326416,0.30377060174942017,0.22068053483963013
adaptive,0.22806508839130402,0.2328222244977951,0.18843084573745728,0.18422213196754456,0.21290715038776398,0.38863858580589294,0.12147218734025955
immune,0.2410416603088379,0.23878547549247742,0.15377098321914673,0.16620753705501556,0.17650361359119415,0.3601576089859009,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.14671745896339417,0.25597915053367615,0.24247176945209503,0.6591464877128601,0.15556083619594574
",",0.3087472915649414,0.4062570035457611,0.35859420895576477,0.4946078956127167,0.33157986402511597,0.25366538763046265,0.31091248989105225
or,0.33867141604423523,0.5374364256858826,0.3349444568157196,0.3792596757411957,0.30017510056495667,0.45409491658210754,0.32389625906944275
humoral,0.33916720747947693,0.21872328221797943,0.1745867282152176,0.2923624813556671,0.2233080416917801,0.24237243831157684,0.23676204681396484
immunity,0.21864116191864014,0.2128283977508545,0.2016933262348175,0.17778201401233673,0.17956973612308502,0.23704710602760315,0.16423189640045166
versus,0.19675661623477936,0.15013527870178223,0.19815295934677124,0.17810623347759247,0.19205604493618011,0.1517648547887802,0.17916910350322723
cell-mediated,0.23655308783054352,0.25667300820350647,0.23273278772830963,0.3360399901866913,0.18621596693992615,0.3577052652835846,0.2367660403251648
immunity,0.21864116191864014,0.2128283977508545,0.2016933262348175,0.17778201401233673,0.17956973612308502,0.23704710602760315,0.16423189640045166
.,0.3567904531955719,0.3452940285205841,0.3524959683418274,0.5352458953857422,0.3566088080406189,0.27346980571746826,0.4130953550338745
