,what,was,the,number,of,17,interceptions,that,peyton,manning,had,by,end,of,the,year,?
manning,0.20007498562335968,0.2607507109642029,0.27058160305023193,0.15534205734729767,0.20024974644184113,0.02101394347846508,0.47789567708969116,0.17001231014728546,0.5102329254150391,0.9999998807907104,0.19614505767822266,0.16441340744495392,0.2056039273738861,0.20024974644184113,0.27058160305023193,0.2521476149559021,0.15856626629829407
finished,0.2113480567932129,0.3428505063056946,0.2754973769187927,0.13518626987934113,0.19935797154903412,0.12233453243970871,0.24484707415103912,0.2472594976425171,0.28829672932624817,0.2231869399547577,0.2945052683353424,0.20320308208465576,0.28093042969703674,0.19935797154903412,0.2754973769187927,0.20776933431625366,0.14789283275604248
the,0.42745697498321533,0.48711544275283813,1.0,0.35145696997642517,0.733189046382904,0.10537172853946686,0.22331646084785461,0.5473989248275757,0.2709864377975464,0.27058160305023193,0.3875846862792969,0.4408751428127289,0.39658910036087036,0.733189046382904,1.0,0.3609684407711029,0.22068053483963013
year,0.15184831619262695,0.3209837079048157,0.3609684407711029,0.23178748786449432,0.2578314542770386,0.15606360137462616,0.22576066851615906,0.2826407253742218,0.23666128516197205,0.2521476149559021,0.29678046703338623,0.28805047273635864,0.3135334253311157,0.2578314542770386,0.3609684407711029,1.0,0.18315006792545319
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.2513769268989563,0.41827285289764404,0.1727735996246338,0.26026803255081177,0.4154358208179474,0.23540177941322327,0.18539859354496002,0.4739086329936981,0.39731505513191223,0.23444485664367676,0.41827285289764404,0.4223487675189972,0.3220449686050415,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2992287278175354,0.5052502155303955,0.038237735629081726,0.1947716474533081,0.47537946701049805,0.298135370016098,0.2509649395942688,0.34897568821907043,0.32094135880470276,0.28924596309661865,0.5052502155303955,0.5829201340675354,0.29350247979164124,0.23916715383529663
career-low,0.1360963135957718,0.3346470892429352,0.21368016302585602,0.2003697156906128,0.2145143449306488,0.14011575281620026,0.3337261974811554,0.19857338070869446,0.39296090602874756,0.39836275577545166,0.33139267563819885,0.22932519018650055,0.18413715064525604,0.2145143449306488,0.21368016302585602,0.32661283016204834,0.15329208970069885
67.9,0.07309284061193466,0.2790275514125824,0.2065390944480896,0.11278823018074036,0.1337622106075287,-0.1462763100862503,0.1503484696149826,0.11928874999284744,0.3196260631084442,0.31852784752845764,0.2309478223323822,0.17490118741989136,0.17369626462459564,0.1337622106075287,0.2065390944480896,0.18446612358093262,0.07895093411207199
passer,0.15117526054382324,0.1708153933286667,0.2630290985107422,0.11824656277894974,0.20698390901088715,0.04645882174372673,0.39980578422546387,0.1560826301574707,0.35299578309059143,0.36685898900032043,0.17954210937023163,0.14085033535957336,0.17523400485515594,0.20698390901088715,0.2630290985107422,0.13037538528442383,0.15625450015068054
rating,0.20312486588954926,0.22355882823467255,0.24654440581798553,0.3040643334388733,0.20229244232177734,0.1306629627943039,0.34637343883514404,0.2557750344276428,0.308472603559494,0.3009924292564392,0.16150768101215363,0.21265442669391632,0.2028619796037674,0.20229244232177734,0.24654440581798553,0.19003897905349731,0.18754872679710388
