,where,was,temüjin,'s,patron,toghrul,exiled,?
toghrul,0.2368183583021164,0.2445739507675171,0.3945753872394562,0.1209915354847908,0.2078401744365692,0.9999998807907104,0.18754523992538452,0.24630779027938843
",",0.3149496018886566,0.45456063747406006,0.3484273850917816,-0.0016132977325469255,0.26552265882492065,0.38870057463645935,0.2667633891105652,0.31091248989105225
as,0.35409465432167053,0.3677520453929901,0.32332390546798706,-0.05775856226682663,0.25182363390922546,0.2769373059272766,0.15251906216144562,0.27043893933296204
temüjin,0.31830909848213196,0.38774195313453674,1.0,-0.010023289360105991,0.2807062566280365,0.3945753872394562,0.4303528666496277,0.21090233325958252
's,0.0007701900321990252,0.008974763564765453,-0.010023289360105991,0.9999999403953552,0.005757272243499756,0.1209915354847908,0.08962635695934296,-0.023395681753754616
patron,0.1803024262189865,0.2582056522369385,0.2807062566280365,0.005757272243499756,1.0000001192092896,0.2078401744365692,0.33563724160194397,0.08445527404546738
",",0.3149496018886566,0.45456063747406006,0.3484273850917816,-0.0016132977325469255,0.26552265882492065,0.38870057463645935,0.2667633891105652,0.31091248989105225
was,0.20731619000434875,1.0000001192092896,0.38774195313453674,0.008974763564765453,0.2582056522369385,0.2445739507675171,0.3247058391571045,0.18412111699581146
exiled,0.20268389582633972,0.3247058391571045,0.4303528666496277,0.08962635695934296,0.33563724160194397,0.18754523992538452,1.0,0.10943403840065002
to,0.47735077142715454,0.3636345863342285,0.36858871579170227,0.03782717138528824,0.23207345604896545,0.29692113399505615,0.23453715443611145,0.29463258385658264
the,0.5003893971443176,0.48711544275283813,0.43713900446891785,-0.01540423184633255,0.20904411375522614,0.3152857720851898,0.24273626506328583,0.22068053483963013
qara,0.2270771712064743,0.2961975038051605,0.41009655594825745,-0.012327208183705807,0.2820141613483429,0.4838351607322693,0.2058170735836029,0.1857597380876541
khitai,0.16624332964420319,0.23286694288253784,0.6270874738693237,0.024805303663015366,0.20751431584358215,0.4518360197544098,0.2703067362308502,0.20356783270835876
.,0.41390106081962585,0.40146201848983765,0.31788840889930725,-0.003708066651597619,0.14797191321849823,0.336329847574234,0.1892978996038437,0.4130953550338745
