,what,has,risen,to,be,a,factor,in,teaching,today,?
the,0.42745697498321533,0.4177538752555847,0.31852957606315613,0.535392165184021,0.4248143136501312,0.5829201340675354,0.2859867215156555,0.6662389636039734,0.2182690054178238,0.35740926861763,0.22068053483963013
increasing,0.2066856026649475,0.311989963054657,0.4019881784915924,0.35017409920692444,0.3041439354419708,0.2511899173259735,0.369448184967041,0.2580164670944214,0.26266536116600037,0.234307199716568,0.0681626945734024
use,0.3453877568244934,0.2701425552368164,0.1538413017988205,0.47261837124824524,0.4528608024120331,0.30793872475624084,0.18768851459026337,0.2715643048286438,0.2541958689689636,0.3563902974128723,0.32795652747154236
of,0.33290785551071167,0.3909035325050354,0.29569199681282043,0.41548454761505127,0.33904364705085754,0.5052502155303955,0.2744791805744171,0.5696388483047485,0.2911611497402191,0.3291318118572235,0.1826142966747284
technology,0.1940862536430359,0.21032026410102844,0.1186218187212944,0.25372135639190674,0.21688219904899597,0.21604947745800018,0.21188384294509888,0.24215441942214966,0.3010978102684021,0.24269677698612213,0.11564995348453522
",",0.3087472915649414,0.3734780251979828,0.2632584571838379,0.44245919585227966,0.39254459738731384,0.427140474319458,0.22944624722003937,0.5201468467712402,0.2547089457511902,0.3282252550125122,0.31091248989105225
specifically,0.37581726908683777,0.22357237339019775,0.2284843474626541,0.4197046458721161,0.42233550548553467,0.30994293093681335,0.17488087713718414,0.2524903118610382,0.20228542387485504,0.23282532393932343,0.2063003033399582
the,0.42745697498321533,0.4177538752555847,0.31852957606315613,0.535392165184021,0.4248143136501312,0.5829201340675354,0.2859867215156555,0.6662389636039734,0.2182690054178238,0.35740926861763,0.22068053483963013
rise,0.23887591063976288,0.14672429859638214,0.5834934711456299,0.23256368935108185,0.16302461922168732,0.2110608071088791,0.22485366463661194,0.1934409737586975,0.15325912833213806,0.18980491161346436,0.10799103230237961
of,0.33290785551071167,0.3909035325050354,0.29569199681282043,0.41548454761505127,0.33904364705085754,0.5052502155303955,0.2744791805744171,0.5696388483047485,0.2911611497402191,0.3291318118572235,0.1826142966747284
the,0.42745697498321533,0.4177538752555847,0.31852957606315613,0.535392165184021,0.4248143136501312,0.5829201340675354,0.2859867215156555,0.6662389636039734,0.2182690054178238,0.35740926861763,0.22068053483963013
internet,0.1770392656326294,0.15281544625759125,0.1272805780172348,0.21228709816932678,0.22060172259807587,0.2250564843416214,0.17018871009349823,0.15279750525951385,0.19768303632736206,0.15635962784290314,0.23314887285232544
over,0.28007611632347107,0.370955228805542,0.2969898581504822,0.38635820150375366,0.27136483788490295,0.32199642062187195,0.15575939416885376,0.3605569899082184,0.19848036766052246,0.28935492038726807,0.25742942094802856
the,0.42745697498321533,0.4177538752555847,0.31852957606315613,0.535392165184021,0.4248143136501312,0.5829201340675354,0.2859867215156555,0.6662389636039734,0.2182690054178238,0.35740926861763,0.22068053483963013
past,0.3538547456264496,0.3907585144042969,0.295296311378479,0.3031400740146637,0.23647238314151764,0.24050787091255188,0.19126908481121063,0.24275542795658112,0.20861217379570007,0.34287965297698975,0.2598046660423279
decade,0.1613653302192688,0.20074307918548584,0.29489290714263916,0.16759321093559265,0.16738508641719818,0.17141307890415192,0.17016935348510742,0.2119923084974289,0.16108107566833496,0.18827830255031586,0.11237446963787079
",",0.3087472915649414,0.3734780251979828,0.2632584571838379,0.44245919585227966,0.39254459738731384,0.427140474319458,0.22944624722003937,0.5201468467712402,0.2547089457511902,0.3282252550125122,0.31091248989105225
has,0.20338068902492523,1.0,0.28238093852996826,0.3619994819164276,0.3863394856452942,0.4670248031616211,0.20708835124969482,0.4173259735107422,0.17087559401988983,0.2866767346858978,0.15994466841220856
begun,0.2296452522277832,0.19045795500278473,0.30701443552970886,0.22838421165943146,0.13100452721118927,0.20804913341999054,0.12315798550844193,0.2913682758808136,0.2685585021972656,0.2848691940307617,0.13816508650779724
to,0.455847829580307,0.3619994819164276,0.2718874216079712,1.0,0.4972836375236511,0.45503583550453186,0.23708900809288025,0.45010748505592346,0.2762126624584198,0.3122048079967499,0.29463258385658264
shape,0.26758873462677,0.2542473077774048,0.19167549908161163,0.2912862002849579,0.2912265360355377,0.32737624645233154,0.21147465705871582,0.193584606051445,0.12787573039531708,0.1771516650915146,0.11426173895597458
the,0.42745697498321533,0.4177538752555847,0.31852957606315613,0.535392165184021,0.4248143136501312,0.5829201340675354,0.2859867215156555,0.6662389636039734,0.2182690054178238,0.35740926861763,0.22068053483963013
way,0.4835909903049469,0.2585064768791199,0.23426994681358337,0.4772548973560333,0.4511762857437134,0.3330821096897125,0.2774914503097534,0.30444321036338806,0.258928507566452,0.2878116965293884,0.31575819849967957
teachers,0.2526462972164154,0.14576952159404755,0.13649679720401764,0.2668606638908386,0.20256873965263367,0.2509842813014984,0.09780846536159515,0.2128150761127472,0.6562570333480835,0.2070210874080658,0.19522249698638916
approach,0.2636874318122864,0.17773613333702087,0.1417006105184555,0.33169451355934143,0.22003258764743805,0.2336270660161972,0.19413480162620544,0.17494414746761322,0.29156574606895447,0.18218331038951874,0.181949645280838
