,what,is,the,jelly-like,susbtance,called,?
like,0.4320242702960968,0.29710376262664795,0.32912567257881165,0.4800559878349304,0.21246924996376038,0.4291943311691284,0.3268813192844391
sponges,0.22694312036037445,0.2578536868095398,0.2452389895915985,0.47774747014045715,0.2239140123128891,0.29345330595970154,0.20355616509914398
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3643666207790375,0.3748686611652374,0.3251761794090271,0.20544172823429108
cnidarians,0.2743885815143585,0.22868013381958008,0.267729252576828,0.5245401859283447,0.3045333921909332,0.32018837332725525,0.18796975910663605
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.31173157691955566,0.35210373997688293,0.26549121737480164,0.31091248989105225
ctenophores,0.2505159080028534,0.22332732379436493,0.2543465793132782,0.483620822429657,0.330404132604599,0.31854429841041565,0.2054179310798645
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.3542826771736145,0.2703070342540741,0.34887513518333435,0.32991164922714233
two,0.23363454639911652,0.2315155267715454,0.43858039379119873,0.2927282452583313,0.25891968607902527,0.3555888831615448,0.19645625352859497
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.177394300699234,0.1472870260477066,0.2583436071872711,0.1665669083595276
layers,0.24485039710998535,0.23205043375492096,0.24930399656295776,0.2691308259963989,0.26787251234054565,0.28805020451545715,0.09622068703174591
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2562723159790039,0.2983575761318207,0.4222904443740845,0.1826142966747284
cells,0.1758001297712326,0.1644774079322815,0.19095487892627716,0.33205050230026245,0.21764887869358063,0.20908011496067047,0.1898086667060852
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3574488162994385,0.34634241461753845,0.41604554653167725,0.32716336846351624
sandwich,0.18170912563800812,0.17333795130252838,0.17115624248981476,0.41464415192604065,0.17932754755020142,0.2005876749753952,0.1477418690919876
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.29739120602607727,0.37727633118629456,0.4868806302547455,0.23916715383529663
middle,0.18312302231788635,0.21621397137641907,0.3405749201774597,0.21372349560260773,0.23102201521396637,0.22726550698280334,0.13139553368091583
layer,0.20606225728988647,0.27099713683128357,0.22831332683563232,0.30042824149131775,0.3009626269340515,0.2418668270111084,0.11266916990280151
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2562723159790039,0.2983575761318207,0.4222904443740845,0.1826142966747284
jelly-like,0.2884460687637329,0.25032296776771545,0.2572222948074341,1.0,0.20758092403411865,0.3491031527519226,0.22595955431461334
material,0.2591213285923004,0.2518187463283539,0.26762521266937256,0.23624171316623688,0.3643331825733185,0.18161438405513763,0.18117131292819977
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.31173157691955566,0.35210373997688293,0.26549121737480164,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.34890639781951904,0.35191836953163147,0.5573342442512512,0.25814583897590637
is,0.28837618231773376,1.0,0.5823672413825989,0.25032296776771545,0.3244416415691376,0.430266410112381,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.3491031527519226,0.2003796547651291,1.0,0.18963319063186646
the,0.42745697498321533,0.5823672413825989,1.0,0.2572222948074341,0.3026808798313141,0.489897221326828,0.22068053483963013
mesoglea,0.26560238003730774,0.25380656123161316,0.27500203251838684,0.36178699135780334,0.3069828152656555,0.2980530858039856,0.2904593348503113
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2526463568210602,0.2624669671058655,0.40847352147102356,0.20430970191955566
cnidarians,0.2743885815143585,0.22868013381958008,0.267729252576828,0.5245401859283447,0.3045333921909332,0.32018837332725525,0.18796975910663605
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3643666207790375,0.3748686611652374,0.3251761794090271,0.20544172823429108
ctenophores,0.2505159080028534,0.22332732379436493,0.2543465793132782,0.483620822429657,0.330404132604599,0.31854429841041565,0.2054179310798645
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.06551101058721542,0.007391303312033415,0.02254311740398407,0.10349778085947037
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.25522831082344055,0.27353599667549133,0.26791808009147644,0.27894994616508484
complex,0.2605343163013458,0.2723233699798584,0.25326284766197205,0.19872570037841797,0.2278752624988556,0.19006845355033875,0.17752902209758759
animals,0.26212990283966064,0.2262406051158905,0.2939487397670746,0.38617926836013794,0.2706279456615448,0.24818751215934753,0.16430135071277618
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.3542826771736145,0.2703070342540741,0.34887513518333435,0.32991164922714233
three,0.24888746440410614,0.23072560131549835,0.43452659249305725,0.23113587498664856,0.2063031792640686,0.3522195518016815,0.20928427577018738
main,0.2344268560409546,0.3009335994720459,0.38631999492645264,0.177394300699234,0.1472870260477066,0.2583436071872711,0.1665669083595276
cell,0.19222842156887054,0.15086454153060913,0.15822452306747437,0.3310106098651886,0.2488662302494049,0.15713366866111755,0.2058541625738144
layers,0.24485039710998535,0.23205043375492096,0.24930399656295776,0.2691308259963989,0.26787251234054565,0.28805020451545715,0.09622068703174591
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.3643666207790375,0.3748686611652374,0.3251761794090271,0.20544172823429108
no,0.339326947927475,0.19581134617328644,0.3461136817932129,0.15913543105125427,0.2771800756454468,0.1639786958694458,0.32165053486824036
intermediate,0.18540938198566437,0.24033690989017487,0.31626471877098083,0.24712607264518738,0.2658155560493469,0.3200770914554596,0.11814447492361069
jelly-like,0.2884460687637329,0.25032296776771545,0.2572222948074341,1.0,0.20758092403411865,0.3491031527519226,0.22595955431461334
layer,0.20606225728988647,0.27099713683128357,0.22831332683563232,0.30042824149131775,0.3009626269340515,0.2418668270111084,0.11266916990280151
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.3342035412788391,0.2902486324310303,0.300344854593277,0.4130953550338745
