,who,allegedly,coined,the,name,black,death,?
gasquet,0.24247771501541138,0.22912372648715973,0.13761425018310547,0.25759053230285645,0.16622065007686615,0.23447678983211517,0.17832721769809723,0.15371091663837433
(,0.2443375140428543,0.030153747648000717,0.20426706969738007,0.33289089798927307,0.2706909477710724,0.14539995789527893,0.15356801450252533,0.40561532974243164
1908,-0.039845533668994904,-0.011372118256986141,-0.1750212460756302,-0.02364869974553585,-0.0672319084405899,0.04896418750286102,0.07380310446023941,-0.15027135610580444
),0.2457384318113327,0.043842148035764694,0.17132742702960968,0.3456730246543884,0.2638341188430786,0.15729744732379913,0.18010789155960083,0.42300865054130554
claimed,0.32327672839164734,0.422817587852478,0.22978921234607697,0.2761930227279663,0.16558480262756348,0.1306832730770111,0.2252623587846756,0.2083493024110794
that,0.45444270968437195,0.36160147190093994,0.2227795571088791,0.5473989248275757,0.27224332094192505,0.22347763180732727,0.25607815384864807,0.32716336846351624
the,0.3733934462070465,0.23063746094703674,0.23600058257579803,1.0,0.3171212375164032,0.28466513752937317,0.21438048779964447,0.22068053483963013
latin,0.16089873015880585,0.09592784941196442,0.24251867830753326,0.24914836883544922,0.32249414920806885,0.1615992933511734,0.08751361072063446,0.1303461492061615
name,0.2027527540922165,0.10193224996328354,0.25231632590293884,0.3171212375164032,1.0,0.12729579210281372,0.18105126917362213,0.15381577610969543
atra,0.0823739618062973,0.08016687631607056,0.04838084802031517,0.18821199238300323,0.17094412446022034,0.21871298551559448,0.2140362709760666,0.09810864180326462
mors,0.1813323050737381,0.10505081713199615,0.11534970253705978,0.2329447716474533,0.06686956435441971,0.17566756904125214,0.24567808210849762,0.08785279840230942
(,0.2443375140428543,0.030153747648000717,0.20426706969738007,0.33289089798927307,0.2706909477710724,0.14539995789527893,0.15356801450252533,0.40561532974243164
black,0.22539480030536652,0.18048207461833954,0.18641923367977142,0.28466513752937317,0.12729579210281372,1.0,0.1932034194469452,0.15159966051578522
death,0.20302973687648773,0.2650132477283478,0.10010302066802979,0.21438048779964447,0.18105126917362213,0.1932034194469452,0.9999998807907104,0.21149799227714539
),0.2457384318113327,0.043842148035764694,0.17132742702960968,0.3456730246543884,0.2638341188430786,0.15729744732379913,0.18010789155960083,0.42300865054130554
for,0.37110671401023865,0.20834000408649445,0.1656978577375412,0.4739971458911896,0.25737348198890686,0.2090286761522293,0.19869662821292877,0.264628142118454
the,0.3733934462070465,0.23063746094703674,0.23600058257579803,1.0,0.3171212375164032,0.28466513752937317,0.21438048779964447,0.22068053483963013
14th-century,0.3371974527835846,0.24980807304382324,0.3214971423149109,0.3126668930053711,0.14748796820640564,0.17309896647930145,0.20279929041862488,0.09547005593776703
epidemic,0.23076128959655762,0.2724996507167816,0.2417760193347931,0.23666009306907654,0.09423403441905975,0.14684009552001953,0.2925157845020294,0.1562352478504181
first,0.39065709710121155,0.20894503593444824,0.19893543422222137,0.49448907375335693,0.3163818418979645,0.14931964874267578,0.21622197329998016,0.18701928853988647
appeared,0.22738154232501984,0.219088613986969,0.29209738969802856,0.30265679955482483,0.1681574285030365,0.17051510512828827,0.17661727964878082,0.1384376585483551
in,0.2792111933231354,0.18263627588748932,0.24223150312900543,0.6662389636039734,0.2459065467119217,0.20407067239284515,0.18743370473384857,0.20430970191955566
modern,0.16937296092510223,0.14572478830814362,0.2641603648662567,0.3283970355987549,0.17239713668823242,0.14159975945949554,0.04700516536831856,0.12475407868623734
times,0.24510560929775238,0.17752964794635773,0.12521299719810486,0.29093852639198303,0.19941937923431396,0.11752896755933762,0.11975900828838348,0.18880689144134521
in,0.2792111933231354,0.18263627588748932,0.24223150312900543,0.6662389636039734,0.2459065467119217,0.20407067239284515,0.18743370473384857,0.20430970191955566
1631,0.07280302792787552,0.007206607609987259,0.02083137258887291,-0.05162692815065384,-0.042704448103904724,-0.0700812041759491,0.06293006986379623,0.018736038357019424
in,0.2792111933231354,0.18263627588748932,0.24223150312900543,0.6662389636039734,0.2459065467119217,0.20407067239284515,0.18743370473384857,0.20430970191955566
a,0.36608949303627014,0.23506614565849304,0.2289622575044632,0.5829201340675354,0.26421117782592773,0.23173153400421143,0.16249743103981018,0.23916715383529663
book,0.23780840635299683,0.15496981143951416,0.2128147929906845,0.2652374505996704,0.24604547023773193,0.12125842273235321,0.20592626929283142,0.20572158694267273
on,0.2340552806854248,0.20619560778141022,0.08615520596504211,0.5107308030128479,0.17627742886543274,0.18663345277309418,0.16915851831436157,0.2714994251728058
danish,0.272081583738327,0.16339848935604095,0.17821146547794342,0.15316766500473022,0.08608344942331314,0.12946125864982605,0.07000844180583954,0.09872670471668243
history,0.22458811104297638,0.153119295835495,0.18145962059497833,0.33215048909187317,0.20354317128658295,0.12598654627799988,0.1059015616774559,0.2501974403858185
by,0.39727845788002014,0.3064643442630768,0.20846125483512878,0.4408751428127289,0.25480157136917114,0.1966358721256256,0.23285827040672302,0.17966607213020325
j.i,-0.09685544669628143,0.13526058197021484,-0.06168992817401886,0.15126575529575348,-0.011199713684618473,0.11193816363811493,-0.001115047954954207,0.008673595264554024
.,0.3541337847709656,0.12938052415847778,0.1614808291196823,0.5934505462646484,0.24737101793289185,0.24577875435352325,0.24631039798259735,0.4130953550338745
