,what,other,reason,caused,poor,supply,of,new,france,from,a,difficult,winter,?
the,0.42745697498321533,0.44152235984802246,0.29647648334503174,0.24990202486515045,0.21093174815177917,0.31942567229270935,0.733189046382904,0.3845241069793701,0.35517507791519165,0.40150508284568787,0.5829201340675354,0.277450829744339,0.30035296082496643,0.22068053483963013
situation,0.4481324255466461,0.21783144772052765,0.3174937963485718,0.24683988094329834,0.3104047477245331,0.26615670323371887,0.22593308985233307,0.1407972127199173,0.21272340416908264,0.17050987482070923,0.2909733057022095,0.3692089319229126,0.17387647926807404,0.2714049518108368
in,0.30808621644973755,0.39989137649536133,0.21220409870147705,0.2494886964559555,0.23408232629299164,0.21402505040168762,0.5696388483047485,0.3758552670478821,0.3812309503555298,0.4274188280105591,0.539380669593811,0.2128705233335495,0.29423755407333374,0.20430970191955566
new,0.2130378633737564,0.2957918047904968,0.15946529805660248,0.16989189386367798,0.15160983800888062,0.19593806564807892,0.343457967042923,0.9999999403953552,0.2269197404384613,0.3360432982444763,0.3214259147644043,0.19053252041339874,0.1203436553478241,0.14782847464084625
france,0.17793065309524536,0.19600534439086914,0.1421840935945511,0.1334220916032791,0.1460127979516983,0.15731637179851532,0.3265724182128906,0.2269197404384613,1.0000001192092896,0.20540620386600494,0.24802380800247192,0.14493328332901,0.25267425179481506,0.15069349110126495
was,0.22111038863658905,0.14651623368263245,0.23413166403770447,0.25113144516944885,0.23301246762275696,0.1807863563299179,0.4069072902202606,0.2748313844203949,0.2715669870376587,0.31171464920043945,0.4508470594882965,0.18258318305015564,0.21130689978599548,0.18412111699581146
further,0.30867868661880493,0.2918756306171417,0.2747672200202942,0.2516900300979614,0.20612244307994843,0.202570378780365,0.24797867238521576,0.19004781544208527,0.18568144738674164,0.2161511480808258,0.1668005734682083,0.24920585751533508,0.14947614073753357,0.20960763096809387
exacerbated,0.3318309783935547,0.283634752035141,0.3144049346446991,0.464551717042923,0.2981818914413452,0.20488257706165314,0.34209468960762024,0.1360166370868683,0.1473330706357956,0.2878699004650116,0.29699456691741943,0.3220202624797821,0.22308966517448425,0.23153939843177795
by,0.2455483376979828,0.3321913778781891,0.18194518983364105,0.30491310358047485,0.15843991935253143,0.2198953628540039,0.3646814823150635,0.25394493341445923,0.22743742167949677,0.3373257517814636,0.32094135880470276,0.21304745972156525,0.1476144939661026,0.17966607213020325
a,0.3320399522781372,0.2806335389614105,0.29122111201286316,0.22472180426120758,0.24187558889389038,0.2115103155374527,0.5052502155303955,0.3214259147644043,0.24802380800247192,0.322764128446579,1.0,0.3425796926021576,0.19113492965698242,0.23916715383529663
poor,0.2570318877696991,0.1883959323167801,0.2644977569580078,0.2648087739944458,1.0,0.31237584352493286,0.23458099365234375,0.15160983800888062,0.1460127979516983,0.23082002997398376,0.24187558889389038,0.38260966539382935,0.15025202929973602,0.12937016785144806
harvest,0.17770016193389893,0.22390452027320862,0.19241631031036377,0.14425496757030487,0.17037351429462433,0.24266082048416138,0.23607170581817627,0.14130602777004242,0.10649940371513367,0.13295720517635345,0.22025315463542938,0.14267010986804962,0.42536190152168274,0.21993160247802734
in,0.30808621644973755,0.39989137649536133,0.21220409870147705,0.2494886964559555,0.23408232629299164,0.21402505040168762,0.5696388483047485,0.3758552670478821,0.3812309503555298,0.4274188280105591,0.539380669593811,0.2128705233335495,0.29423755407333374,0.20430970191955566
