,what,is,the,nasuwt,?
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.08346541225910187,0.19522249698638916
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16594326496124268,0.20430970191955566
wales,0.1505342721939087,0.1638261377811432,0.23852568864822388,0.1535009890794754,0.15627945959568024
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.12696538865566254,0.3226337134838104
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.15877385437488556,0.3324260413646698
registered,0.18316222727298737,0.1567090004682541,0.23383188247680664,0.09783348441123962,0.24155336618423462
members,0.16873176395893097,0.1897467076778412,0.3321719169616699,0.10756156593561172,0.10212311148643494
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.20892806351184845,0.1826142966747284
trade,0.1555381417274475,0.17870411276817322,0.2681608200073242,0.13613855838775635,0.09336511790752411
unions,0.19864864647388458,0.1290096491575241,0.2158300280570984,0.04773063585162163,0.1424994021654129
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.1136932522058487,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.19223304092884064,0.27043893933296204
atl,0.19645370543003082,0.1205669417977333,0.17604634165763855,0.31316110491752625,0.1988709270954132
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.25370585918426514,0.31091248989105225
nut,0.18874987959861755,0.20291143655776978,0.19436371326446533,0.17660483717918396,0.18353772163391113
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.17130835354328156,0.32389625906944275
nasuwt,0.1438373327255249,0.19107834994792938,0.25629210472106934,1.0000001192092896,0.18428707122802734
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.1772221177816391,0.20544172823429108
reports,0.24207861721515656,0.1442791074514389,0.2622474431991577,0.17408984899520874,0.23746368288993835
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16594326496124268,0.20430970191955566
recent,0.24256184697151184,0.2643822133541107,0.31046223640441895,0.08647651970386505,0.2544887959957123
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.18032430112361908,0.1914375126361847
suggest,0.39558762311935425,0.2519548237323761,0.2682655155658722,0.13077212870121002,0.39672672748565674
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.1449289470911026,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.25629210472106934,0.22068053483963013
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,0.12787717580795288,0.21764592826366425
age,0.1895245760679245,0.17962174117565155,0.24711290001869202,0.12909568846225739,0.16859300434589386
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.20892806351184845,0.1826142966747284
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.08346541225910187,0.19522249698638916
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16594326496124268,0.20430970191955566
wales,0.1505342721939087,0.1638261377811432,0.23852568864822388,0.1535009890794754,0.15627945959568024
is,0.28837618231773376,1.0,0.5823672413825989,0.19107834994792938,0.22961433231830597
falling,0.26906242966651917,0.18225830793380737,0.3168080151081085,0.16205079853534698,0.159834623336792
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.10884706676006317,0.2433311939239502
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.08346541225910187,0.19522249698638916
being,0.3760843276977539,0.4445112943649292,0.419739305973053,0.17917843163013458,0.26743772625923157
younger,0.1693686693906784,0.1445060670375824,0.19571860134601593,0.15295352041721344,0.12709127366542816
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.14210882782936096,0.24917294085025787
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16594326496124268,0.20430970191955566
previous,0.2743692696094513,0.18159280717372894,0.34706559777259827,0.09400434046983719,0.16724538803100586
years,0.1981470286846161,0.19551363587379456,0.2912273406982422,0.18032430112361908,0.1914375126361847
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2636633515357971,0.4130953550338745
