,what,would,change,the,rotational,inertia,of,a,body,under,newton,'s,first,law,of,motion,?
as,0.31749409437179565,0.3824005722999573,0.37273192405700684,0.48381632566452026,0.20722688734531403,0.231459379196167,0.3886612355709076,0.39550232887268066,0.24814960360527039,0.29018887877464294,0.18695951998233795,-0.05775856226682663,0.33842000365257263,0.2346976399421692,0.3886612355709076,0.18702580034732819,0.27043893933296204
a,0.3320399522781372,0.398599237203598,0.3047741651535034,0.5829201340675354,0.34437718987464905,0.24480025470256805,0.5052502155303955,1.0,0.26263290643692017,0.18317826092243195,0.1884482353925705,0.04866964742541313,0.4287874400615692,0.2212858349084854,0.5052502155303955,0.23572494089603424,0.23916715383529663
consequence,0.29853200912475586,0.31743425130844116,0.3301781713962555,0.2915307283401489,0.2455330342054367,0.3049253225326538,0.27524054050445557,0.3103489279747009,0.1712072491645813,0.20391806960105896,0.1496269851922989,0.06515340507030487,0.18055926263332367,0.20576009154319763,0.27524054050445557,0.19794423878192902,0.196389839053154
of,0.33290785551071167,0.3353942930698395,0.2569013833999634,0.733189046382904,0.2599866986274719,0.23255228996276855,1.0,0.5052502155303955,0.25063133239746094,0.32766106724739075,0.18479612469673157,-0.03817026689648628,0.3536086082458496,0.2816956341266632,1.0,0.24864931404590607,0.1826142966747284
newton,0.20841743052005768,0.19488731026649475,0.13687530159950256,0.1876603662967682,0.22811266779899597,0.30453911423683167,0.18479612469673157,0.1884482353925705,0.14679738879203796,0.0817718431353569,1.0000001192092896,0.027833467349410057,0.2017267495393753,0.34055307507514954,0.18479612469673157,0.3923175632953644,0.09645649790763855
's,0.02692362666130066,0.036968596279621124,-0.030620932579040527,-0.01540423184633255,0.002570119686424732,-0.02465587668120861,-0.03817026689648628,0.04866964742541313,0.003652067156508565,-0.03376881033182144,0.027833467349410057,0.9999999403953552,-0.014458609744906425,-0.06109188124537468,-0.03817026689648628,-0.0527731329202652,-0.023395681753754616
first,0.28086137771606445,0.2882738411426544,0.19953392446041107,0.49448907375335693,0.14816060662269592,0.1837179958820343,0.3536086082458496,0.4287874400615692,0.21926157176494598,0.25392189621925354,0.2017267495393753,-0.014458609744906425,1.0,0.1839938908815384,0.3536086082458496,0.1811497062444687,0.18701928853988647
law,0.2145031988620758,0.20746640861034393,0.20829714834690094,0.24548950791358948,0.1494091898202896,0.29094550013542175,0.2816956341266632,0.2212858349084854,0.16696499288082123,0.2181660532951355,0.34055307507514954,-0.06109188124537468,0.1839938908815384,1.0000001192092896,0.2816956341266632,0.26447317004203796,0.1528988480567932
of,0.33290785551071167,0.3353942930698395,0.2569013833999634,0.733189046382904,0.2599866986274719,0.23255228996276855,1.0,0.5052502155303955,0.25063133239746094,0.32766106724739075,0.18479612469673157,-0.03817026689648628,0.3536086082458496,0.2816956341266632,1.0,0.24864931404590607,0.1826142966747284
motion,0.260096937417984,0.23055873811244965,0.22241321206092834,0.30530840158462524,0.44286248087882996,0.48541054129600525,0.24864931404590607,0.23572494089603424,0.2785516381263733,0.1195923462510109,0.3923175632953644,-0.0527731329202652,0.1811497062444687,0.26447317004203796,0.24864931404590607,0.9999999403953552,0.20143945515155792
",",0.3087472915649414,0.32586824893951416,0.2752361297607422,0.4933079481124878,0.2081233114004135,0.18049104511737823,0.4946078956127167,0.427140474319458,0.22437527775764465,0.24875585734844208,0.2648763358592987,-0.0016132977325469255,0.34503069519996643,0.24953721463680267,0.4946078956127167,0.18457698822021484,0.31091248989105225
there,0.35085538029670715,0.33190950751304626,0.2861633896827698,0.47025805711746216,0.17668657004833221,0.23626889288425446,0.44397735595703125,0.4214206337928772,0.20432932674884796,0.23181530833244324,0.1921478509902954,-0.04860968142747879,0.2373337596654892,0.15803654491901398,0.44397735595703125,0.16378037631511688,0.29405656456947327
exists,0.3020588457584381,0.26307329535484314,0.2771550118923187,0.29877129197120667,0.24219655990600586,0.23276618123054504,0.2298482358455658,0.29496249556541443,0.17916683852672577,0.17426340281963348,0.13649260997772217,0.024081893265247345,0.1720750629901886,0.14133471250534058,0.2298482358455658,0.15796911716461182,0.26845401525497437
rotational,0.20972047746181488,0.21274006366729736,0.27617505192756653,0.23343583941459656,1.0,0.5475309491157532,0.2599866986274719,0.34437718987464905,0.25434327125549316,0.10531226545572281,0.22811266779899597,0.002570119686424732,0.14816060662269592,0.1494091898202896,0.2599866986274719,0.44286248087882996,0.12318766117095947
inertia,0.2659069001674652,0.21597421169281006,0.24234452843666077,0.2222520112991333,0.5475309491157532,0.9999998807907104,0.23255228996276855,0.24480025470256805,0.3656233847141266,0.18054869771003723,0.30453911423683167,-0.02465587668120861,0.1837179958820343,0.29094550013542175,0.23255228996276855,0.48541054129600525,0.20492924749851227
that,0.6297725439071655,0.5895259380340576,0.3988441526889801,0.5473989248275757,0.2984658181667328,0.3041691482067108,0.41498205065727234,0.47537946701049805,0.32291916012763977,0.26447200775146484,0.22769790887832642,0.04397977516055107,0.3482176661491394,0.23277728259563446,0.41498205065727234,0.2637788951396942,0.32716336846351624
ensures,0.24508050084114075,0.3222310245037079,0.31789669394493103,0.29392126202583313,0.23561391234397888,0.3189205825328827,0.24102051556110382,0.20132485032081604,0.25229954719543457,0.25394681096076965,0.053598642349243164,-0.04812626913189888,0.22382192313671112,0.21637803316116333,0.24102051556110382,0.21094100177288055,0.17174078524112701
that,0.6297725439071655,0.5895259380340576,0.3988441526889801,0.5473989248275757,0.2984658181667328,0.3041691482067108,0.41498205065727234,0.47537946701049805,0.32291916012763977,0.26447200775146484,0.22769790887832642,0.04397977516055107,0.3482176661491394,0.23277728259563446,0.41498205065727234,0.2637788951396942,0.32716336846351624
all,0.41981086134910583,0.41205164790153503,0.3071799874305725,0.4860881567001343,0.25868916511535645,0.22549296915531158,0.42798417806625366,0.2696802616119385,0.23237572610378265,0.27064406871795654,0.1317182183265686,0.03181743621826172,0.34243571758270264,0.21162362396717072,0.42798417806625366,0.21164080500602722,0.29575422406196594
bodies,0.1688588559627533,0.2865811884403229,0.21193353831768036,0.2745959758758545,0.28577813506126404,0.3451681435108185,0.2732889950275421,0.20684704184532166,0.6635226607322693,0.20267480611801147,0.19104959070682526,0.0661325752735138,0.18103180825710297,0.22686834633350372,0.2732889950275421,0.2445032000541687,0.18285469710826874
maintain,0.2619679272174835,0.3538462817668915,0.3045039474964142,0.2896709144115448,0.28562355041503906,0.30957403779029846,0.2703363299369812,0.23409044742584229,0.273003488779068,0.2493683397769928,0.10620316863059998,-0.059555113315582275,0.10652453452348709,0.21680201590061188,0.2703363299369812,0.24693575501441956,0.20568779110908508
their,0.35142919421195984,0.4112042188644409,0.28483736515045166,0.516537070274353,0.19680380821228027,0.22959627211093903,0.4329940676689148,0.29698723554611206,0.28403112292289734,0.24656233191490173,0.13899730145931244,-0.005530759692192078,0.26809096336364746,0.17199353873729706,0.4329940676689148,0.21278102695941925,0.1898253709077835
