,what,does,the,kcpe,determine,?
at,0.2838611304759979,0.17465277016162872,0.457212895154953,0.2873380482196808,0.2584746479988098,0.21978627145290375
the,0.42745697498321533,0.35928019881248474,1.0,0.24288804829120636,0.40889066457748413,0.22068053483963013
end,0.29234179854393005,0.15173913538455963,0.39658910036087036,0.1208297610282898,0.1829448640346527,0.12543344497680664
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2551211714744568,0.3512130081653595,0.1826142966747284
primary,0.2113915979862213,0.24340936541557312,0.25688621401786804,0.18009580671787262,0.24752669036388397,0.16286636888980865
education,0.19940856099128723,0.1943693906068802,0.23982903361320496,0.3489581048488617,0.18651288747787476,0.18067774176597595
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3405006527900696,0.2144405096769333,0.31091248989105225
pupils,0.180222749710083,0.16209210455417633,0.161826953291893,0.2159179449081421,0.14616842567920685,0.06499303877353668
sit,0.2215278148651123,0.16176427900791168,0.21260488033294678,0.13352222740650177,0.15409702062606812,0.19120019674301147
the,0.42745697498321533,0.35928019881248474,1.0,0.24288804829120636,0.40889066457748413,0.22068053483963013
kenya,0.18398970365524292,0.15162554383277893,0.21657514572143555,0.33079826831817627,0.10393314808607101,0.17197901010513306
certificate,0.17650939524173737,0.2057761251926422,0.15229563415050507,0.34384986758232117,0.26879122853279114,0.22899624705314636
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2551211714744568,0.3512130081653595,0.1826142966747284
primary,0.2113915979862213,0.24340936541557312,0.25688621401786804,0.18009580671787262,0.24752669036388397,0.16286636888980865
education,0.19940856099128723,0.1943693906068802,0.23982903361320496,0.3489581048488617,0.18651288747787476,0.18067774176597595
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.3312762975692749,0.21235394477844238,0.40561532974243164
kcpe,0.2021729052066803,0.20040209591388702,0.24288804829120636,0.9999999403953552,0.2181917130947113,0.2612970471382141
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.3530063331127167,0.19434958696365356,0.42300865054130554
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3405006527900696,0.2144405096769333,0.31091248989105225
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.22653049230575562,0.39783817529678345,0.25814583897590637
determines,0.30754899978637695,0.40630975365638733,0.3987143337726593,0.23323531448841095,0.9028086066246033,0.24495068192481995
those,0.44466671347618103,0.3144809603691101,0.42861196398735046,0.1631980985403061,0.31995099782943726,0.3328189253807068
who,0.40942975878715515,0.25013914704322815,0.3733934462070465,0.20220977067947388,0.2680947780609131,0.26220351457595825
proceed,0.3778398036956787,0.3203089237213135,0.2329144924879074,0.20840640366077423,0.4153668284416199,0.22601620852947235
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.2530050575733185,0.4076496958732605,0.29463258385658264
secondary,0.20388361811637878,0.24464774131774902,0.21037471294403076,0.24205222725868225,0.2391148954629898,0.18118004500865936
school,0.18774057924747467,0.1536676436662674,0.22953221201896667,0.24274089932441711,0.1122162938117981,0.15091250836849213
or,0.33867141604423523,0.4248845875263214,0.4174870550632477,0.24802975356578827,0.3392714262008667,0.32389625906944275
vocational,0.25595757365226746,0.24665026366710663,0.23646128177642822,0.3562004864215851,0.3090001046657562,0.1961013227701187
training,0.19520394504070282,0.21068888902664185,0.22380973398685455,0.2680496871471405,0.24208804965019226,0.14311334490776062
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.2981676757335663,0.323413223028183,0.4130953550338745
