,when,were,most,of,the,places,of,religious,worship,destroyed,in,warsaw,?
most,0.299309104681015,0.3543298542499542,1.0,0.4178851246833801,0.47635307908058167,0.3442201316356659,0.4178851246833801,0.1754503846168518,0.23647379875183105,0.18873485922813416,0.41416558623313904,0.06817606836557388,0.2107497900724411
of,0.3757161796092987,0.34038281440734863,0.4178851246833801,1.0,0.733189046382904,0.26612308621406555,1.0,0.2958606779575348,0.2610277831554413,0.27498680353164673,0.5696388483047485,0.19253842532634735,0.1826142966747284
them,0.4773717522621155,0.4602346122264862,0.41988104581832886,0.34503093361854553,0.4788833558559418,0.37964314222335815,0.34503093361854553,0.27565231919288635,0.31970566511154175,0.22549469769001007,0.29119014739990234,0.20014114677906036,0.35435691475868225
were,0.29649975895881653,1.0000001192092896,0.3543298542499542,0.34038281440734863,0.3906462490558624,0.2636408507823944,0.34038281440734863,0.23646323382854462,0.23369212448596954,0.3411653935909271,0.3815755248069763,0.18216076493263245,0.17890112102031708
destroyed,0.27850767970085144,0.3411653935909271,0.18873485922813416,0.27498680353164673,0.3403017520904541,0.20381782948970795,0.27498680353164673,0.20345044136047363,0.23076224327087402,1.0,0.3248254656791687,0.18114720284938812,0.10318030416965485
in,0.4431333839893341,0.3815755248069763,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.3709096312522888,0.5696388483047485,0.24099457263946533,0.17689664661884308,0.3248254656791687,1.0,0.22642600536346436,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,0.47635307908058167,0.733189046382904,1.0,0.31653955578804016,0.733189046382904,0.22950971126556396,0.2739982008934021,0.3403017520904541,0.6662389636039734,0.23137180507183075,0.22068053483963013
aftermath,0.1969868540763855,0.2585277855396271,0.12461171299219131,0.18747471272945404,0.24227569997310638,0.13928985595703125,0.18747471272945404,0.2090727686882019,0.1863240748643875,0.33616480231285095,0.24593965709209442,0.2130635678768158,0.13848184049129486
of,0.3757161796092987,0.34038281440734863,0.4178851246833801,1.0,0.733189046382904,0.26612308621406555,1.0,0.2958606779575348,0.2610277831554413,0.27498680353164673,0.5696388483047485,0.19253842532634735,0.1826142966747284
the,0.5091903209686279,0.3906462490558624,0.47635307908058167,0.733189046382904,1.0,0.31653955578804016,0.733189046382904,0.22950971126556396,0.2739982008934021,0.3403017520904541,0.6662389636039734,0.23137180507183075,0.22068053483963013
warsaw,0.1615014374256134,0.18216076493263245,0.06817606836557388,0.19253842532634735,0.23137180507183075,0.1427195817232132,0.19253842532634735,0.15114745497703552,0.1060621365904808,0.18114720284938812,0.22642600536346436,1.0,0.09769917279481888
uprising,0.1701411008834839,0.265140175819397,0.17950546741485596,0.2703337073326111,0.2853594124317169,0.14210951328277588,0.2703337073326111,0.281250536441803,0.21037644147872925,0.2513369023799896,0.2857716679573059,0.4463900625705719,0.13645027577877045
of,0.3757161796092987,0.34038281440734863,0.4178851246833801,1.0,0.733189046382904,0.26612308621406555,1.0,0.2958606779575348,0.2610277831554413,0.27498680353164673,0.5696388483047485,0.19253842532634735,0.1826142966747284
1944,0.09802473336458206,0.16306714713573456,0.19255563616752625,0.12181630730628967,0.12787654995918274,0.08978816121816635,0.12181630730628967,0.2323954850435257,0.2364257276058197,0.018141476437449455,0.09645288437604904,0.16826167702674866,0.21799609065055847
.,0.475719153881073,0.3378238379955292,0.35404038429260254,0.5352458953857422,0.5934505462646484,0.27904579043388367,0.5352458953857422,0.23880675435066223,0.19617199897766113,0.278834730386734,0.5591574311256409,0.26825499534606934,0.4130953550338745
